Name,Director,original_index,unique_index
The Hunger Games,Gary Ross,1203,1203
The Hobbit: The Desolation of Smaug,Peter Jackson,1204,1204
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,1205,1205
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,1206,1206
Titanic,James Cameron,1207,1207
The Hunger Games: Catching Fire,Francis Lawrence,1208,1208
The Wolverine,James Mangold,1209,1209
Spider-Man 3,Sam Raimi,1210,1210
The Transformers: The Movie,Nelson Shin,1211,1211
Transformers: Dark of the Moon,Michael Bay,1212,1212
Spider-Man 2,Sam Raimi,1213,1213
X-Men Origins: Wolverine,Gavin Hood,1214,1214
X-Men: The Last Stand,Brett Ratner,1215,1215
El Dorado,Howard Hawks,1216,1216
Transformers: Revenge of the Fallen,Michael Bay,1217,1217
Transformers: Age of Extinction,Michael Bay,1218,1218
War of the Worlds,Steven Spielberg,1219,1219
Men in Black II,Barry Sonnenfeld,1220,1220
Hancock,Peter Berg,1221,1221
2012,Roland Emmerich,1222,1222
Armageddon,Michael Bay,1223,1223
The Day After Tomorrow,Roland Emmerich,1224,1224
The Tourist,Florian Henckel von Donnersmarck,1225,1225
Gone in Sixty Seconds,Dominic Sena,1226,1226
Van Helsing,Stephen Sommers,1227,1227
Mr. & Mrs. Smith,Doug Liman,1228,1228
Lara Croft: Tomb Raider,Simon West,1229,1229
National Treasure: Book of Secrets,Jon Turteltaub,1230,1230
Salt,Phillip Noyce,1231,1231
Superman,Richard Donner,1232,1232
Planes: Fire & Rescue,Roberts Gannaway,1233,1233
The Lord of the Rings: The Two Towers,Peter Jackson,1234,1234
The Lord of the Rings: The Return of the King,Peter Jackson,1235,1235
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,1236,1236
Star Wars: Episode I - The Phantom Menace,George Lucas,1237,1237
Star Wars: Episode III - Revenge of the Sith,George Lucas,1238,1238
Star Wars: Episode II - Attack of the Clones,George Lucas,1239,1239
Indiana Jones and the Temple of Doom,Steven Spielberg,1240,1240
The Thomas Crown Affair,John McTiernan,1241,1241
Goldfinger,Guy Hamilton,1242,1242
Silverado,Lawrence Kasdan,1243,1243
Octopussy,John Glen,1244,1244
A Time of Destiny,Gregory Nava,1245,1245
Tombstone,"George P. Cosmatos,Kevin Jarre",1246,1246
Young Guns II,Geoff Murphy,1247,1247
A Cinderella Story,Mark Rosman,1248,1248
The Princess Diaries 2: Royal Engagement,Garry Marshall,1249,1249
Freaky Friday,Mark Waters,1250,1250
The Princess and the Frog,"Ron Clements,John Musker",1251,1251
TRON: Legacy,Joseph Kosinski,1252,1252
Harry Potter and the Goblet of Fire,Mike Newell,1253,1253
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,1254,1254
Harry Potter and the Deathly Hallows: Part 1,David Yates,1255,1255
Harry Potter and the Half-Blood Prince,David Yates,1256,1256
Harry Potter and the Order of the Phoenix,David Yates,1257,1257
Harry Potter and the Chamber of Secrets,Chris Columbus,1258,1258
Heat,Michael Mann,1259,1259
Scent of a Woman,Martin Brest,1260,1260
...And Justice for All.,Norman Jewison,1261,1261
Donnie Brasco,Mike Newell,1262,1262
Ali,Michael Mann,1263,1263
The Last of the Mohicans,Michael Mann,1264,1264
A Perfect Murder,Andrew Davis,1265,1265
Wall Street: Money Never Sleeps,Oliver Stone,1266,1266
Fatal Attraction,Adrian Lyne,1267,1267
Disclosure,Barry Levinson,1268,1268
Traffic,Steven Soderbergh,1269,1269
Dial M for Murder,Alfred Hitchcock,1270,1270
Talk Radio,Oliver Stone,1271,1271
Nixon,Oliver Stone,1272,1272
Falling Down,Joel Schumacher,1273,1273
Born on the Fourth of July,Oliver Stone,1274,1274
Phone Booth,Joel Schumacher,1275,1275
People I Know,Daniel Algrant,1276,1276
S.W.A.T.,Clark Johnson,1277,1277
Film Geek,James Westby,1278,1278
S1m0ne,Andrew Niccol,1279,1279
88 Minutes,Jon Avnet,1280,1280
The Doors,Oliver Stone,1281,1281
Young Guns,Christopher Cain,1282,1282
Heaven & Earth,Oliver Stone,1283,1283
Natural Born Killers,Oliver Stone,1284,1284
Dances with Wolves,Kevin Costner,1285,1285
Thirteen Days,Roger Donaldson,1286,1286
The Fugitive,Andrew Davis,1287,1287
The Untouchables,Brian De Palma,1288,1288
Agent Crush,Sean Robinson,1289,1289
Mishima: A Life in Four Chapters,Paul Schrader,1290,1290
World Trade Center,Oliver Stone,1291,1291
The Son of No One,Dito Montiel,1292,1292
Stand Up Guys,Fisher Stevens,1293,1293
Sahara,Breck Eisner,1294,1294
We Are Marshall,McG,1295,1295
The Lincoln Lawyer,Brad Furman,1296,1296
Glory Road,James Gartner,1297,1297
42,Brian Helgeland,1298,1298
Remember the Titans,Boaz Yakin,1299,1299
Invincible,Ericson Core,1300,1300
The Blind Side,John Lee Hancock,1301,1301
Gridiron Gang,Phil Joanou,1302,1302
Rudy,David Anspaugh,1303,1303
Coach Carter,Thomas Carter,1304,1304
Miracle,Gavin O'Connor,1305,1305
The Express,Gary Fleder,1306,1306
Sea of Love,Harold Becker,1307,1307
Bobby Deerfield,Sydney Pollack,1308,1308
Two Bits,James Foley,1309,1309
The Local Stigmatic,David F. Wheeler,1310,1310
Chinese Coffee,Al Pacino,1311,1311
Frankie & Johnny,Garry Marshall,1312,1312
A Bronx Tale,Robert De Niro,1313,1313
Once Upon a Time in America,Sergio Leone,1314,1314
Casino,Martin Scorsese,1315,1315
The Game,David Fincher,1316,1316
Speed,Jan de Bont,1317,1317
The Matrix Reloaded,"Andy Wachowski,Lana Wachowski",1318,1318
The Matrix Revolutions,"Andy Wachowski,Lana Wachowski",1319,1319
Constantine,Francis Lawrence,1320,1320
Face/Off,John Woo,1321,1321
A Walk in the Clouds,Alfonso Arau,1322,1322
Feeling Minnesota,Steven Baigelman,1323,1323
The Longest Yard,Peter Segal,1324,1324
Chain Reaction,Andrew Davis,1325,1325
Hard Ball,Brian Robbins,1326,1326
Major League,David S. Ward,1327,1327
Damn Yankees!,"George Abbott,Stanley Donen",1328,1328
Johnny Mnemonic,Robert Longo,1329,1329
The Watcher,Joe Charbanic,1330,1330
The Merchant of Venice,Michael Radford,1331,1331
The Score,Frank Oz,1332,1332
My Fair Lady,George Cukor,1333,1333
The Wizard of Oz,"Victor Fleming,George Cukor",1334,1334
Bedknobs and Broomsticks,Robert Stevenson,1335,1335
How Green Was My Valley,John Ford,1336,1336
Around the World in Eighty Days,"Michael Anderson,John Farrow",1337,1337
The Greatest Show on Earth,Cecil B. DeMille,1338,1338
Who Framed Roger Rabbit,Robert Zemeckis,1339,1339
Because I Said So,Michael Lehmann,1340,1340
Mrs. Doubtfire,Chris Columbus,1341,1341
The Adventures of Ichabod and Mr. Toad,"James Algar,Clyde Geronimi",1342,1342
The AristoCats,Wolfgang Reitherman,1343,1343
Dumbo,"Samuel Armstrong,Norman Ferguson",1344,1344
Robin Hood,Wolfgang Reitherman,1345,1345
Pinocchio,"Norman Ferguson,T. Hee",1346,1346
Alice in Wonderland,"Clyde Geronimi,Wilfred Jackson",1347,1347
Lady and the Tramp,"Clyde Geronimi,Wilfred Jackson",1348,1348
The Sword in the Stone,Wolfgang Reitherman,1349,1349
Song of the South,"Wilfred Jackson,Harve Foster",1350,1350
Bambi,"James Algar,Samuel Armstrong",1351,1351
Cinderella,"Clyde Geronimi,Wilfred Jackson",1352,1352
Sleeping Beauty,Clyde Geronimi,1353,1353
Herbie Fully Loaded,Angela Robinson,1354,1354
Confessions of a Teenage Drama Queen,Sara Sugarman,1355,1355
The Lizzie McGuire Movie,Jim Fall,1356,1356
Free Willy,Simon Wincer,1357,1357
Angels Sing,Tim McCanlies,1358,1358
Earth to Echo,Dave Green,1359,1359
Friday the 13th Part 2,Steve Miner,1360,1360
Ghost Squad,Joel Souza,1361,1361
Grace Stirs Up Success,Vince Marcello,1362,1362
"Synecdoche, New York",Charlie Kaufman,1363,1363
Chasing Ghosts,Joshua Shreve,1364,1364
Parental Guidance,Andy Fickman,1365,1365
Diary of a Wimpy Kid: Dog Days,David Bowers,1366,1366
Nanny McPhee Returns,Susanna White,1367,1367
We Bought a Zoo,Cameron Crowe,1368,1368
Oz the Great and Powerful,Sam Raimi,1369,1369
Bedtime Stories,Adam Shankman,1370,1370
Charlotte's Web,Gary Winick,1371,1371
Mississippi Burning,Alan Parker,1372,1372
Blackfish,Gabriela Cowperthwaite,1373,1373
Music Box,Costa-Gavras,1374,1374
Earthlings,Shaun Monson,1375,1375
Sicko,Michael Moore,1376,1376
Hostel,Eli Roth,1377,1377
Bowling for Columbine,Michael Moore,1378,1378
Fahrenheit 9/11,Michael Moore,1379,1379
"Food, Inc.",Robert Kenner,1380,1380
Rear Window,Alfred Hitchcock,1381,1381
Vertigo,Alfred Hitchcock,1382,1382
Citizen Kane,Orson Welles,1383,1383
Terror House,Bud Townsend,1384,1384
The Birds,Alfred Hitchcock,1385,1385
One Flew Over the Cuckoo's Nest,Milos Forman,1386,1386
Home Alone 3,Raja Gosnell,1387,1387
Batman Returns,Tim Burton,1388,1388
The NeverEnding Story,Wolfgang Petersen,1389,1389
Arthur Christmas,"Sarah Smith,Barry Cook",1390,1390
Romeo and Juliet,J. Stuart Blackton,1391,1391
The Verdict,Sidney Lumet,1392,1392
The Polar Express,Robert Zemeckis,1393,1393
Doctor Dolittle,Betty Thomas,1394,1394
101 Dalmatians,Stephen Herek,1395,1395
Black Sheep,Penelope Spheeris,1396,1396
Airheads,Michael Lehmann,1397,1397
Beverly Hills Ninja,Dennis Dugan,1398,1398
Bill & Ted's Bogus Journey,Peter Hewitt,1399,1399
Bill and Ted's Excellent Adventure,Stephen Herek,1400,1400
Billy Madison,Tamra Davis,1401,1401
Tommy Boy,Peter Segal,1402,1402
BASEketball,David Zucker,1403,1403
The Living Daylights,John Glen,1404,1404
Tomorrow Never Dies,Roger Spottiswoode,1405,1405
Save the Tiger,John G. Avildsen,1406,1406
Wedding Crashers,David Dobkin,1407,1407
Aftershock,Nicolás López,1408,1408
Dodgeball: A True Underdog Story,Rawson Marshall Thurber,1409,1409
Blades of Glory,"Josh Gordon,Will Speck",1410,1410
Anchorman: The Legend of Ron Burgundy,Adam McKay,1411,1411
Anchorman 2: The Legend Continues,Adam McKay,1412,1412
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,1413,1413
Step Brothers,Adam McKay,1414,1414
Happy Gilmore,Dennis Dugan,1415,1415
Orgazmo,Trey Parker,1416,1416
Brüno,Larry Charles,1417,1417
The Number 23,Joel Schumacher,1418,1418
Scary Movie,Keenen Ivory Wayans,1419,1419
School of Rock,Richard Linklater,1420,1420
Little Fockers,Paul Weitz,1421,1421
The Dictator,Larry Charles,1422,1422
American Pie,"Paul Weitz,Chris Weitz",1423,1423
Ali G Indahouse,Mark Mylod,1424,1424
My Little Pony: The Movie,Mike Joens,1425,1425
Alpha and Omega,"Anthony Bell,Ben Gluck",1426,1426
Cabin Fever,Eli Roth,1427,1427
Hostel: Part II,Eli Roth,1428,1428
Hoodwinked,"Anne Hathaway,Anthony Anderson,Chazz Palminteri,Glenn Close,James Belushi,Patrick Warburton,Sally Struthers,Tara Strong,Cory Edwards,Tom Kenny,Todd Edwards,Tony Leech,Xzibit",1429,1429
Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,1430,1430
Aliens in the Attic,John Schultz,1431,1431
How the Grinch Stole Christmas,Ron Howard,1432,1432
The Golden Compass,Chris Weitz,1433,1433
A Christmas Carol,Robert Zemeckis,1434,1434
Finding Neverland,Marc Forster,1435,1435
The Karate Kid,John G. Avildsen,1436,1436
The Goonies,Richard Donner,1437,1437
Eragon,Stefen Fangmeier,1438,1438
Bridge to Terabithia,Gabor Csupo,1439,1439
Zathura: A Space Adventure,Jon Favreau,1440,1440
Inkheart,Iain Softley,1441,1441
The Prince of Egypt,"Brenda Chapman,Steve Hickner",1442,1442
Mr. Magorium's Wonder Emporium,Zach Helm,1443,1443
The Little Rascals,Penelope Spheeris,1444,1444
Raise Your Voice,Sean McNamara,1445,1445
Ice Princess,Tim Fywell,1446,1446
"Yours, Mine & Ours",Raja Gosnell,1447,1447
Daddy Day Care,Steve Carr,1448,1448
Percy Jackson: Sea of Monsters,Thor Freudenthal,1449,1449
Journey 3: From the Earth to the Moon,Brad Peyton,1450,1450
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,1451,1451
Underdog,Frederik Du Chau,1452,1452
Soccer Mom,Gregory McClatchy,1453,1453
Zookeeper,Frank Coraci,1454,1454
Evan Almighty,Tom Shadyac,1455,1455
Astro Boy,David Bowers,1456,1456
Escape from Planet Earth,Cal Brunker,1457,1457
The Ant Bully,John A. Davis,1458,1458
The Karate Kid,Harald Zwart,1459,1459
Terminator Salvation,McG,1460,1460
Aliens,James Cameron,1461,1461
Terminator 3: Rise of the Machines,Jonathan Mostow,1462,1462
Alien,Ridley Scott,1463,1463
Alien³,David Fincher,1464,1464
Total Recall,Paul Verhoeven,1465,1465
Commando,Mark L. Lester,1466,1466
True Lies,James Cameron,1467,1467
AVP: Alien vs. Predator,Paul W.S. Anderson,1468,1468
Predator 2,Stephen Hopkins,1469,1469
Predators,Nimród Antal,1470,1470
RoboCop,Paul Verhoeven,1471,1471
The Running Man,Paul Michael Glaser,1472,1472
The Illusionauts,Eduardo Schuldt,1473,1473
Legend of Kung Fu Rabbit,Lijun Sun,1474,1474
Thumbelina,Barry Mahon,1475,1475
Foodfight!,Lawrence Kasanoff,1476,1476
The Oogieloves in the Big Balloon Adventure,Matthew Diamond,1477,1477
Rocky,John G. Avildsen,1478,1478
Tiny Heroes,"József Gémes,Jenõ Koltai",1479,1479
Felix the Cat: The Movie,Tibor Hernádi,1480,1480
The Stupids,John Landis,1481,1481
Spies Like Us,John Landis,1482,1482
Closer to the Moon,Nae Caranfil,1483,1483
Extinction,Miguel Ángel Vivas,1484,1484
Wildlike,Frank Hall Green,1485,1485
Banjo,Richard Fleischer,1486,1486
Gypsy Colt,Andrew Marton,1487,1487
Twice Upon a Time,"John Korty,Charles Swenson",1488,1488
Ernest Saves Christmas,John R. Cherry III,1489,1489
I Love You Phillip Morris,"Glenn Ficarra,John Requa",1490,1490
Dumb and Dumber To,"Bobby Farrelly,Peter Farrelly",1491,1491
Animal House,John Landis,1492,1492
Surf Ninjas,Neal Israel,1493,1493
Kazaam,Paul Michael Glaser,1494,1494
The Secret Agent Club,John Murlowski,1495,1495
Ri¢hie Ri¢h,Donald Petrie,1496,1496
Ernest Goes to School,Coke Sams,1497,1497
We're Back! A Dinosaur's Story,"Phil Nibbelink,Simon Wells",1498,1498
The Fox and the Hound,"Ted Berman,Richard Rich",1499,1499
The Great Mouse Detective,"Ron Clements,Burny Mattinson",1500,1500
The Rescuers,"John Lounsbery,Wolfgang Reitherman",1501,1501
Balto,Simon Wells,1502,1502
The Swan Princess: The Mystery of the Enchanted Treasure,Richard Rich,1503,1503
Once Upon a Forest,Charles Grosvenor,1504,1504
All Dogs Go to Heaven 2,"Larry Leker,Paul Sabella",1505,1505
The Swan Princess,Richard Rich,1506,1506
Labyrinth,Jim Henson,1507,1507
The Neverending Story II: The Next Chapter,George Miller,1508,1508
FernGully: The Last Rainforest,Bill Kroyer,1509,1509
Quest for Camelot,Frederik Du Chau,1510,1510
The Swan Princess: Escape from Castle Mountain,Richard Rich,1511,1511
Oliver & Company,George Scribner,1512,1512
Hitman: Agent 47,Aleksander Bach,1513,1513
We Are Your Friends,Max Joseph,1514,1514
The Flight of Dragons,"Jules Bass,Arthur Rankin Jr.",1515,1515
The Black Cauldron,"Ted Berman,Richard Rich",1516,1516
Material Girls,Martha Coolidge,1517,1517
Nancy Drew,Andrew Fleming,1518,1518
The Perfect Man,Mark Rosman,1519,1519
D3: The Mighty Ducks,Robert Lieberman,1520,1520
The Big Green,Holly Goldberg Sloan,1521,1521
Rookie of the Year,Daniel Stern,1522,1522
Little Giants,Duwayne Dunham,1523,1523
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,1524,1524
D2: The Mighty Ducks,Sam Weisman,1525,1525
The Mighty Ducks,Stephen Herek,1526,1526
Blank Check,Rupert Wainwright,1527,1527
Treehouse Hostage,Sean McNamara,1528,1528
Ernest Goes to Camp,John R. Cherry III,1529,1529
Ernest Scared Stupid,"John Cherry,John R. Cherry III",1530,1530
The Beverly Hillbillies,Penelope Spheeris,1531,1531
Ernest Rides Again,John R. Cherry III,1532,1532
Ernest Goes to Africa,John R. Cherry III,1533,1533
Ernest Goes to Jail,John R. Cherry III,1534,1534
The Next Karate Kid,Christopher Cain,1535,1535
First Kid,David M. Evans,1536,1536
Marmaduke,Tom Dey,1537,1537
G-Force,Hoyt Yeatman,1538,1538
Cats & Dogs,Lawrence Guterman,1539,1539
Sex Tape,Jake Kasdan,1540,1540
Ride Along,Tim Story,1541,1541
The Interview,"Evan Goldberg,Seth Rogen",1542,1542
Armor of Light,K.B. Montgomery,1543,1543
The Wedding Ringer,Jeremy Garelick,1544,1544
48 Hrs.,Walter Hill,1545,1545
Bark Ranger,Duncan Christie,1546,1546
Beverly Hills Cop II,Tony Scott,1547,1547
Heaven and Earth,Ulli Lommel,1548,1548
Beverly Hills Cop III,John Landis,1549,1549
Once I Was a Beehive,Maclain Nelson,1550,1550
Antique Prayers,Paul Kaitson,1551,1551
The Last Treasure Hunt,Patrick Biesemans,1552,1552
K-9 Adventures: Legend of the Lost Gold,Stephen Shimek,1553,1553
Finding Hope,Julian Grant,1554,1554
Runaway Hearts,Keith Alan Morris,1555,1555
Writer's Cramp,Darva Campbell,1556,1556
Sylvester,Tim Hunter,1557,1557
A Gift Horse,Teddy Smith,1558,1558
Virginia's Run,Peter Markle,1559,1559
Horse Camp,Joel Paul Reisig,1560,1560
Coming to America,John Landis,1561,1561
Moondance Alexander,Michael Damian,1562,1562
Lost Stallions: The Journey Home,David Rotan,1563,1563
Midnight Stallion,William Dear,1564,1564
All Roads Lead Home,Dennis Fallon,1565,1565
A Horse Story,John Rogers,1566,1566
Say Anything...,Cameron Crowe,1567,1567
Almost Famous,Cameron Crowe,1568,1568
Glen Campbell: I'll Be Me,James Keach,1569,1569
Dead Men Don't Wear Plaid,Carl Reiner,1570,1570
The Zeroes,Steve Royall,1571,1571
Catching Faith,John K.D. Graham,1572,1572
Wish You Well,Darnell Martin,1573,1573
All of Me,Carl Reiner,1574,1574
Rich Hill,"Andrew Droz Palermo,Tracy Droz Tragos",1575,1575
Advantageous,Jennifer Phang,1576,1576
The Man with Two Brains,Carl Reiner,1577,1577
Easy Money,James Signorelli,1578,1578
Blues Brothers 2000,John Landis,1579,1579
Doctor Zhivago,David Lean,1580,1580
Boogie Nights,Paul Thomas Anderson,1581,1581
The Pirates! Band of Misfits,"Peter Lord,Jeff Newitt",1582,1582
Smitty,David M. Evans,1583,1583
Two-Bit Waltz,Clara Mamet,1584,1584
Space Warriors,Sean McNamara,1585,1585
Jeremy Fink and the Meaning of Life,Tamar Halpern,1586,1586
Fan Girl,Paul Jarrett,1587,1587
A Dog and Pony Show,Demetrius Navarro,1588,1588
White Wilderness,James Algar,1589,1589
The Littlest Outlaw,Roberto Gavaldón,1590,1590
The Vanishing Prairie,James Algar,1591,1591
Secrets of Life,James Algar,1592,1592
Jungle Cat,James Algar,1593,1593
The Living Desert,James Algar,1594,1594
Evil Dead II,Sam Raimi,1595,1595
Side by Side,Christopher Kenneally,1596,1596
Anna and the King,Andy Tennant,1597,1597
Dance Flick,Damien Dante Wayans,1598,1598
Stand by Me Doraemon,"Tony Oliver,Ryuichi Yagi",1599,1599
Play It to the Bone,Ron Shelton,1600,1600
Honkytonk Man,Clint Eastwood,1601,1601
True Crime,Clint Eastwood,1602,1602
Blood Work,Clint Eastwood,1603,1603
Space Cowboys,Clint Eastwood,1604,1604
The Bridges of Madison County,Clint Eastwood,1605,1605
Transcendence,Wally Pfister,1606,1606
The Equalizer,Antoine Fuqua,1607,1607
The Gunrunner,Nardo Castillo,1608,1608
Divergent,Neil Burger,1609,1609
Fandango,Kevin Reynolds,1610,1610
American Flyers,John Badham,1611,1611
The Young Black Stallion,Simon Wincer,1612,1612
Duma,Carroll Ballard,1613,1613
Operation Dumbo Drop,Simon Wincer,1614,1614
Tuck Everlasting,Jay Russell,1615,1615
Revenge,Tony Scott,1616,1616
"Clarence, the Cross-Eyed Lion",Andrew Marton,1617,1617
The Bear,Jean-Jacques Annaud,1618,1618
Born Free,"James Hill,Tom McGowan",1619,1619
Fly Away Home,Carroll Ballard,1620,1620
The New Daughter,Luiso Berdejo,1621,1621
The Great Race,Blake Edwards,1622,1622
Ice Age: Collision Course,"Mike Thurmeier,Galen T. Chu",1623,1623
The Perfect Holiday,Lance Rivera,1624,1624
Mr. Brooks,Bruce A. Evans,1625,1625
The Upside of Anger,Mike Binder,1626,1626
What Women Want,Nancy Meyers,1627,1627
Lethal Weapon 3,Richard Donner,1628,1628
Conspiracy Theory,Richard Donner,1629,1629
Beverly Hills Cop,Martin Brest,1630,1630
Hidden Hills,Dan Steadman,1631,1631
Come Worry with Us!,Helene Klodawsky,1632,1632
Payback,Brian Helgeland,1633,1633
Lethal Weapon 4,Richard Donner,1634,1634
Precious Life,Shlomi Eldar,1635,1635
Above the Law,Andrew Davis,1636,1636
Fire Down Below,Félix Enríquez Alcalá,1637,1637
You Should Meet My Son!,Keith Hartman,1638,1638
Out for Justice,John Flynn,1639,1639
Naked As We Came,Richard LeMay,1640,1640
How to Die in Oregon,Peter Richardson,1641,1641
Exit Wounds,Andrzej Bartkowiak,1642,1642
Under Siege 2: Dark Territory,Geoff Murphy,1643,1643
On Deadly Ground,Steven Seagal,1644,1644
Into the Sun,mink,1645,1645
Hugo,Martin Scorsese,1646,1646
The Adventures of Tintin,Steven Spielberg,1647,1647
Midnight in Paris,Woody Allen,1648,1648
Hard to Kill,Bruce Malmuth,1649,1649
The Glimmer Man,John Gray,1650,1650
Mad Hot Ballroom,Marilyn Agrelo,1651,1651
Executive Decision,Stuart Baird,1652,1652
Murder at 1600,Dwight H. Little,1653,1653
The Mosquito Coast,Peter Weir,1654,1654
I Am Not a Rock Star,Bobbi Jo Hart,1655,1655
Hanna Ranch,Mitch Dickman,1656,1656
Plastic Paradise: The Great Pacific Garbage Patch,Angela Sun,1657,1657
Documented,"Jose Antonio Vargas,Ann Raffaela Lupo",1658,1658
My Own Man,David Sampliner,1659,1659
Elena,Petra Costa,1660,1660
Little White Lie,"Lacey Schwartz,James Adolphus",1661,1661
Cape Fear,J. Lee Thompson,1662,1662
Turner & Hooch,Roger Spottiswoode,1663,1663
Philadelphia,Jonathan Demme,1664,1664
A Fish Called Wanda,"Charles Crichton,John Cleese",1665,1665
Chaos Theory,Marcos Siega,1666,1666
Celeste & Jesse Forever,Lee Toland Krieger,1667,1667
Amazing Grace,Michael Apted,1668,1668
Captain Phillips,Paul Greengrass,1669,1669
Private Benjamin,Howard Zieff,1670,1670
El Americano: The Movie,"Ricardo Arnaiz,Mike Kunkel",1671,1671
What About Bob?,Frank Oz,1672,1672
Bunyan and Babe,Tony Bancroft,1673,1673
The Story of Ferdinand,Carlos Saldanha,1674,1674
Snake Eyes,Brian De Palma,1675,1675
Trespass,Joel Schumacher,1676,1676
The Last Leprechaun,David Lister,1677,1677
Riley's First Date?,Josh Cooley,1678,1678
Stolen,Simon West,1679,1679
It Could Happen to You,Andrew Bergman,1680,1680
City of Angels,Brad Silberling,1681,1681
The Rugrats Movie,"Igor Kovalyov,Norton Virgien",1682,1682
Rugrats in Paris: The Movie,"Stig Bergqvist,Paul Demeyer",1683,1683
Something You Can't Find,Zachary Wyman,1684,1684
Jack Frost,Troy Miller,1685,1685
Snowmen,Robert Kirbyson,1686,1686
Uncle Nino,Robert Shallcross,1687,1687
Leaving Las Vegas,Mike Figgis,1688,1688
Immortal Beloved,Bernard Rose,1689,1689
Secret of the Wings,"Roberts Gannaway,Peggy Holmes",1690,1690
Undisputed 2: Last Man Standing,Isaac Florentine,1691,1691
High Crimes,Carl Franklin,1692,1692
Adventure Scouts,Jim Fitzpatrick,1693,1693
The Dilemma,Ron Howard,1694,1694
Little Ghost,Linda Shayne,1695,1695
Kiss the Girls,Gary Fleder,1696,1696
The Indian,James R. Gorrie,1697,1697
Apocalypse Now,Francis Ford Coppola,1698,1698
Are We There Yet?,Brian Levant,1699,1699
Racing Stripes,Frederik Du Chau,1700,1700
Eight Below,Frank Marshall,1701,1701
Daddy Day Camp,Fred Savage,1702,1702
Air Bud,Charles Martin Smith,1703,1703
Pirate's Code: The Adventures of Mickey Matson,Harold Cronk,1704,1704
A Guide to Recognizing Your Saints,Dito Montiel,1705,1705
Ribbit,Chuck Powers,1706,1706
Stop-Loss,Kimberly Peirce,1707,1707
MF,Robert Schwartzman,1708,1708
Henry Joseph Church,Bruce Beresford,1709,1709
Mothers Day,"Paul Duddridge,Nigel Levy",1710,1710
Undisputed 3: Redemption,Isaac Florentine,1711,1711
New Year's Eve,Garry Marshall,1712,1712
Never Back Down 2: The Beatdown,Michael Jai White,1713,1713
Lavender,Ed Gass-Donnelly,1714,1714
Blank Nation,Susan Dynner,1715,1715
MallBrats,Kevin Smith,1716,1716
Yoga Hosers,Kevin Smith,1717,1717
Blood and Bone,Ben Ramsey,1718,1718
Moose Jaws,Kevin Smith,1719,1719
Two Weeks Notice,Marc Lawrence,1720,1720
Steel Magnolias,Herbert Ross,1721,1721
Mona Lisa Smile,Mike Newell,1722,1722
Notting Hill,Roger Michell,1723,1723
My Best Friend's Wedding,P.J. Hogan,1724,1724
Pretty Woman,Garry Marshall,1725,1725
Runaway Bride,Garry Marshall,1726,1726
America's Sweethearts,Joe Roth,1727,1727
Dying Young,Joel Schumacher,1728,1728
Step Up,Anne Fletcher,1729,1729
"Hail, Caesar!","Ethan Coen,Joel Coen",1730,1730
Tulip Fever,Justin Chadwick,1731,1731
Manglehorn,David Gordon Green,1732,1732
Jane Got a Gun,Gavin O'Connor,1733,1733
Miss Pettigrew Lives for a Day,Bharat Nalluri,1734,1734
Miss Julie,Liv Ullmann,1735,1735
Emerald City,Scott Coffey,1736,1736
Ellie Parker,Scott Coffey,1737,1737
Youngblood,Noel Nosseck,1738,1738
Creed,Ryan Coogler,1739,1739
The Bronze,Bryan Buckley,1740,1740
Wilde Salomé,Al Pacino,1741,1741
By the Sea,Angelina Jolie,1742,1742
Spotlight,Tom McCarthy,1743,1743
Trumbo,Jay Roach,1744,1744
The Finest Hours: An IMAX 3D Experience,Craig Gillespie,1745,1745
Kill the Messenger,Michael Cuesta,1746,1746
The 33,Patricia Riggen,1747,1747
London Has Fallen,Babak Najafi,1748,1748
Snowden,Oliver Stone,1749,1749
Dark Tide,John Stockwell,1750,1750
Big Eyes,Tim Burton,1751,1751
"McFarland, USA",Niki Caro,1752,1752
Far from the Madding Crowd,Thomas Vinterberg,1753,1753
While We're Young,Noah Baumbach,1754,1754
Few Options,George A. Pappy Jr.,1755,1755
Mental,P.J. Hogan,1756,1756
Beautiful Boy,Shawn Ku,1757,1757
God Is Good,Caryn Waechter,1758,1758
Child 44,Daniel Espinosa,1759,1759
Lucky Them,Megan Griffiths,1760,1760
Juice,Ernest R. Dickerson,1761,1761
Soul Food,George Tillman Jr.,1762,1762
Jason's Lyric,Doug McHenry,1763,1763
Baby Boy,John Singleton,1764,1764
Friday,F. Gary Gray,1765,1765
Menace II Society,"Albert Hughes,Allen Hughes",1766,1766
Above the Rim,Jeff Pollack,1767,1767
Laugh at My Pain,"Leslie Small,Tim Story",1768,1768
Love Jones,Theodore Witcher,1769,1769
Poetic Justice,John Singleton,1770,1770
New Jack City,Mario Van Peebles,1771,1771
South Central,Stephen Milburn Anderson,1772,1772
Dead Presidents,"Albert Hughes,Allen Hughes",1773,1773
