Condition,Sample,original_index,unique_index,count
surgical infection prevention,852 patients,799,485,1
surgical infection prevention,269 patients,800,486,2
surgical infection prevention,269 patients,801,486,2
heart attack,123 patients,802,487,1
heart attack,134 patients,803,328,2
heart attack,18 patients,804,488,2
heart attack,79 patients,805,489,1
heart attack,117 patients,806,490,1
heart attack,25 patients,807,491,2
heart attack,12 patients,808,492,2
heart failure,211 patients,809,493,1
heart failure,259 patients,810,60,2
heart failure,69 patients,811,38,3
heart failure,70 patients,812,494,2
pneumonia,255 patients,813,495,1
pneumonia,187 patients,814,496,2
pneumonia,130 patients,815,497,1
pneumonia,266 patients,816,498,1
pneumonia,153 patients,817,402,2
pneumonia,187 patients,818,496,2
surgical infection prevention,109 patients,819,499,1
surgical infection prevention,557 patients,820,500,1
surgical infection prevention,564 patients,821,501,1
surgical infection prevention,520 patients,822,502,1
surgical infection prevention,186 patients,823,503,1
surgical infection prevention,854 patients,824,504,1
surgical infection prevention,315 patients,825,505,2
surgical infection prevention,315 patients,826,505,2
heart attack,1 patients,827,91,21
heart attack,1 patients,828,91,21
heart attack,1 patients,829,91,21
heart attack,0 patients,830,5,76
heart attack,1 patients,831,91,21
heart attack,0 patients,832,5,76
heart attack,0 patients,833,5,76
heart failure,19 patients,834,506,2
heart failure,28 patients,835,507,1
heart failure,4 patients,836,411,3
heart failure,4 patients,837,411,3
pneumonia,47 patients,838,282,3
pneumonia,36 patients,839,508,2
pneumonia,16 patients,840,95,3
pneumonia,44 patients,841,109,2
pneumonia,38 patients,842,509,1
pneumonia,37 patients,843,168,4
surgical infection prevention,2 patients,844,101,6
surgical infection prevention,4 patiexts,845,510,1
surgical infection prevention,4 patients,846,102,7
surgical infection prevention,4 patients,847,102,7
surgical infection prevention,0 patients,848,50,22
surgical infection prevention,5 patients,849,117,4
surgical infection prevention,0 patients,850,50,22
surgical infxction prxvxntion,0 patients,851,511,1
heart attack,3 patients,852,104,13
heart attack,3 patients,853,104,13
heart attack,1 patients,854,91,21
heart attack,0 patients,855,5,76
heart attack,3 patients,856,104,13
heart attack,0 patients,857,5,76
heart attack,0 patients,858,5,76
heart failure,38 patients,859,371,2
heart failure,46 patients,860,280,2
heart failure,18 patients,861,310,2
heart failure,10 patients,862,107,4
pneumonia,101 patients,863,129,4
pneumonia,78 patients,864,512,1
pneumonia,42 patients,865,513,1
pneumonia,121 patiexts,866,514,1
pneumonia,97 patients,867,359,2
pneumonia,85 patients,868,68,5
surgical ixfectiox prevextiox,3 patients,869,515,1
surgical infection prevention,15 patients,870,186,3
surgical infection prevention,15 patients,871,186,3
surgical infection prevention,15 patiexts,872,516,1
surgical infection prevention,0 patients,873,50,22
surgical infection prevention,19 patients,874,253,4
surgical infection prevention,4 patients,875,102,7
surgical infection prevention,4 patients,876,102,7
heart attack,18 patients,877,488,2
heart attack,12 patients,878,492,2
heart attack,1 patients,879,91,21
heart attack,1 patients,880,91,21
heart attack,11 patients,881,160,3
heart attack,0 patients,882,5,76
heart attack,0 patients,883,5,76
heart failure,67 patients,884,517,1
heart failure,85 patients,885,518,2
heart failure,19 patients,886,506,2
heart failure,16 patients,887,519,1
pneumonia,117 patients,888,520,1
pneumonia,41 patients,889,441,2
pneumonia,34 patients,890,374,2
pneumonia,109 patients,891,521,2
pneumonia,79 patients,892,298,2
pneumonia,86 patients,893,522,1
surgical infection prevention,0 patients,894,50,22
surgical infection prevention,0 patients,895,50,22
surgical infection prevention,0 patients,896,50,22
surgical infection prevention,0 patients,897,50,22
surgical infection prevention,0 patients,898,50,22
surgical infection prevention,7 patients,899,116,2
surgical infection prevention,3 patients,900,114,4
surgical infection prevention,3 patients,901,114,4
children s asthma care,4 patients,902,523,3
children s asthma care,4 patients,903,523,3
children s asthma care,4 patients,904,523,3
heart attack,126 patxents,905,524,1
heart attack,145 patients,906,525,1
heart attack,25 patients,907,491,2
heart attack,68 patients,908,526,1
heart attack,125 patients,909,527,1
heart attack,8 patients,910,120,4
heart attack,16 patients,911,264,3
heart failure,268 patients,912,528,1
heart failure,350 patients,913,529,1
heart failure,90 patients,914,530,1
heart failure,85 patients,915,518,2
pneumonia,239 patients,916,200,2
pneumonia,196 patients,917,23,2
pneumonia,109 patients,918,521,2
pneumonia,261 patients,919,531,1
pneumonia,212 patients,920,532,1
pneumonia,178 patients,921,533,1
surgical infection prevention,107 patients,922,69,2
surgical infection prevention,402 patients,923,534,1
surgical infection prevention,404 patients,924,535,1
surgical infection prevention,352 patients,925,536,1
surgical infection prevention,114 patients,926,537,1
surgical infection prevention,607 patients,927,538,1
surgical infection prevention,280 patients,928,539,2
surgical infection prevention,280 patients,929,539,2
heart attack,19 patients,930,540,1
heart attack,16 patients,931,264,3
heart attack,1 patients,932,91,21
heart attack,6 patients,933,103,5
heart attack,15 patients,934,219,3
heart attack,0 patients,935,5,76
heart attack,0 patients,936,5,76
heart failure,51 patients,937,475,2
heart failure,59 patients,938,76,3
heart failure,6 patients,939,541,1
heart failure,8 patients,940,79,3
pneumonia,39 patients,941,287,3
pneumonia,2 patients,942,542,1
pneumonia,5 patients,943,543,1
pneumonia,36 patients,944,508,2
pneumonia,30 patients,945,110,5
pneumonia,31 patients,946,327,3
surgical infection prevention,empty,947,0,33
surgical infection prevention,empty,948,0,33
surgical infection prevention,empty,949,0,33
surgical infection prevention,empty,950,0,33
surgical infection prevention,empty,951,0,33
surgical infection prevention,empty,952,0,33
surgical infection prevention,empty,953,0,33
surgical infection prevention,empty,954,0,33
hexrt attxck,4 patients,955,544,1
heart attack,1 patients,956,91,21
heart attack,0 patients,957,5,76
heart attack,0 patients,958,5,76
heart attack,2 patients,959,36,12
heart attack,0 patients,960,5,76
heart attack,0 patients,961,5,76
heart failure,70 patients,962,494,2
heart failure,82 patients,963,545,1
heart failure,34 patients,964,39,4
heart failure,15 patients,965,322,2
pneumonia,72 patients,966,546,1
pneumonia,49 patients,967,547,1
pneumonia,24 patients,968,184,3
pneumonia,85 patients,969,68,5
pneumonia,67 patients,970,273,3
pneumonia,37 patients,971,168,4
surgical infection prevention,27 paxienxs,972,548,1
surgical infection prevention,397 patients,973,549,1
surgical xnfection prevention,399 patients,974,550,1
surgical infection prevention,391 patients,975,551,1
surgical infection prevention,0 patients,976,50,22
surgical infection prevention,485 patients,977,552,1
surgical infection prevention,196 patients,978,553,2
surgical infection prevention,196 patients,979,553,2
heart attack,7 patients,980,246,2
heart attack,2 patients,981,36,12
heart attack,2 patients,982,36,12
heart attack,0 patients,983,5,76
heart attack,3 patients,984,104,13
heart attack,0 patients,985,5,76
heart attack,0 patients,986,5,76
heart failure,24 patients,987,554,1
heart failure,34 patients,988,39,4
heart failure,7 patients,989,555,2
heart failure,7 patients,990,555,2
pneumonia,92 patients,991,556,1
pneumonia,103 patients,992,338,2
pneumonia,29 patients,993,289,2
pneumonia,105 patients,994,557,1
pneumonia,74 patients,995,313,2
pneumonia,55 patients,996,372,3
surgical infection prevention,8 patients,997,558,1
surgical infection prevention,28 patients,998,559,1
surgical infection prevention,25 patients,999,560,1
