HospitalOwner,original_index,unique_index,count
voluntary non-profit - private,939,0,258
voluntary non-profit - private,940,0,258
voluntary non-profit - private,941,0,258
voluntary non-profit - private,942,0,258
voluntary non-profit - private,943,0,258
voluntary non-profit - private,944,0,258
voluntary non-profit - private,945,0,258
voluntary non-profit - private,946,0,258
voluntary non-profit - private,947,0,258
voluntary non-profit - private,948,0,258
voluntary non-profit - private,949,0,258
voluntary non-profit - private,950,0,258
voluntary non-profit - private,951,0,258
voluntary non-profit - private,952,0,258
voluntary non-profit - private,953,0,258
voluntary non-profit - private,954,0,258
proprietary,955,9,209
proprietary,956,9,209
proprietary,957,9,209
proprietary,958,9,209
proprietary,959,9,209
proprietary,960,9,209
proprietary,961,9,209
proprietary,962,9,209
proprietary,963,9,209
proprietary,964,9,209
proprietary,965,9,209
proprietary,966,9,209
proprietary,967,9,209
proprietary,968,9,209
proprietary,969,9,209
proprietary,970,9,209
proprietary,971,9,209
proprietary,972,9,209
proprietary,973,9,209
proprietary,974,9,209
proprietary,975,9,209
proprietary,976,9,209
proprietary,977,9,209
proprietary,978,9,209
proprietary,979,9,209
voluntary non-profit - private,980,0,258
voluntary non-profit - private,981,0,258
voluntary non-profit - private,982,0,258
voluntary non-profit - private,983,0,258
voluntary non-profit - private,984,0,258
voluntary non-profit - private,985,0,258
voluntary non-profit - private,986,0,258
voluntary non-profit - private,987,0,258
voluntary non-profit - private,988,0,258
voluntary non-profit - private,989,0,258
voluntary non-profit - private,990,0,258
voluntary non-profit - private,991,0,258
voluntary non-profit - private,992,0,258
voluntary non-profit - private,993,0,258
voluntary non-profit - private,994,0,258
voluntary non-profit - private,995,0,258
voluntary non-profit - private,996,0,258
voluntary non-profit - private,997,0,258
voluntary non-profit - private,998,0,258
voluntary non-profit - private,999,0,258
