MeasureName,Score,original_index,unique_index,count
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,98%,366,225,2
pneumonia patients given smoking cessation advice/counseling,98%,367,226,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,100%,368,227,2
pneumonia patients given the most appropriate initial antibiotic(s),100%,369,122,3
pneumonia patients assessed and given influenza vaccination,82%,370,228,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,89%,371,190,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,372,191,3
surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,373,74,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,374,75,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,375,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,376,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,377,77,4
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,x5%,378,229,1
heart attack patients given aspirin at arrival,99%,379,141,3
heaxt attack patients given aspixin at dischaxge,97%,380,230,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,381,42,15
heart attack patients given smoking cessation advice/counseling,100%,382,11,21
heart attack patients given beta blocker at discharge,96%,383,62,3
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,384,13,32
heart attack patients given pci within 90 minutes of arrival,50%,385,231,1
heart failure patients given discharge instructions,83%,386,232,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,387,117,4
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,388,233,2
heart xailure patients given smoking cessation advice/counseling,100%,389,234,1
pneumonia patients assessed and given pneumococcal vaccination,71%,390,235,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,391,27,3
heart attack patients given aspirin at discharge,100%,392,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),67%,393,236,1
heart attack patients given smoking cessation advice/counseling,empty,394,43,16
heart attack patients given beta blocker at discharge,100%,395,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,396,13,32
heart attack patients given pci within 90 minutes of arrival,empty,397,14,25
heart failure patients given discharge instructions,96%,398,237,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,94%,399,238,3
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,400,161,4
heart failure patients given smoking cessation advice/counseling,96%,401,239,1
pneumonia patients assessed and given pneumococcal vaccination,94%,402,240,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,403,68,5
pneumonia patients given smoking cessation advice/counseling,100%,404,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,x4%,405,241,1
pneumonia patients given the most appropriate initial antibiotic(s),92%,406,51,3
pneumonia patients assessed and given influenza vaccination,99%,407,215,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,408,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,90%,409,242,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,90%,410,243,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),1xx%,411,244,2
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,412,112,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,98%,413,245,1
heart attack patients given aspirin at arrival,90%,414,246,1
heart attack patients given aspirin at discharge,100%,415,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,416,42,15
heart attack patients given smoking cessation advice/counseling,empty,417,43,16
heart attack patients given beta blocker at discharge,100%,418,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,419,13,32
heart attack patients given pci within 90 minutes of arrival,empty,420,14,25
heart failure patients given discharge instructions,77%,421,247,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,422,16,6
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,423,223,3
heart failure patients given smoking cessation advice/counseling,100%,424,18,26
pneumonia patients assessed and given pneumococcal vaccination,93%,425,26,3
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,x7%,426,248,1
pneumonia patients given smoking cessation advice/counseling,100%,427,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,428,136,7
pneumonia patients given the most appropriate initial antibiotic(s),96%,429,249,2
pneumonia patients assessed and given influenza vaccination,88%,430,71,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,82%,431,250,1
heart failure patients given discharge instructions,91%,432,251,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,433,117,4
heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd),100%,434,252,1
heart failure patients given smoking cessation advice/counseling,100%,435,18,26
pneumonia patients assessed and given pneumococcal vaccination,97%,436,47,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,437,120,8
pneumonia patients given smoking cessation advice/counseling,96%,438,253,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,439,136,7
pneumonia patients given the most appropriate initial antibiotic(s),95%,440,254,2
pneumonia patients assessed and given influenza vaccination,90%,441,89,4
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,87%,442,255,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96%,443,54,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,444,34,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,445,35,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,94%,446,256,2
surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor),100%,447,257,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,94%,448,258,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,449,194,3
heart attack patients given aspirin at arrival,empty,450,169,5
heart attack patients given aspirin at discharge,empty,451,170,4
pneumonia patients assessed and given pneumococcal vaccination,89%,452,259,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,99%,453,260,3
pneumonia patients given smoking cessation advice/counseling,97%,454,49,3
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,455,261,4
pneumonia patients given the most appropriate initial antibiotic(s),86%,456,262,1
pneumonia patients assessed and given influenza vaccination,82%,457,228,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,81%,458,263,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,92%,459,264,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,460,92,3
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),84%,461,265,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,462,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),97%,463,266,3
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,85%,464,267,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,79%,465,268,1
heart attack patients given aspirin at arrival,100%,466,114,12
heart attack patients given aspirin at discharge,100%,467,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,468,81,8
heart attack patients given smoking cessation advice/counseling,100%,469,11,21
heart attack patients given beta blocker at discharge,83%,470,130,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,471,208,4
heart attack patients given pci within 90 minutes of arrival,empty,472,14,25
heaxt failuxe patients given dischaxge instxuctions,66%,473,269,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,96%,474,270,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,475,161,4
heart failure patients given smoking cessation advice/counseling,94%,476,46,2
pneumonia patients assessed and given pneumococcal vaccination,85%,477,271,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,94%,478,134,2
pneumonia patients given smoking cessation advice/counseling,87%,479,272,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,480,87,4
pneumonia patients given the most appropriate initial antibiotic(s),64%,481,273,1
pneumonia patients assessed and given influenza vaccination,90%,482,89,4
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,483,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,484,33,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,96%,485,274,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),85%,486,275,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,487,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1xx%,488,276,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,88%,489,277,3
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,68%,490,278,1
heart attack patients given aspirin at arrival,empty,491,169,5
heart attack patients given aspirin at discharge,100%,492,128,15
hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),empty,493,279,1
heart attack patients given smoking cessation advice/counseling,empty,494,43,16
heart attack patients given beta blocker at discharge,empty,495,171,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,496,13,32
heart attack patients given pci within 90 minutes of arrival,empty,497,14,25
heart failure patients given discharge instructions,83%,498,232,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,94%,499,238,3
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90%,500,45,3
heart failure patients given smoking cessation advice/counseling,100%,501,18,26
pneumonia patients assessed and given pneumococcal vaccination,93%,502,26,3
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,97%,503,48,3
pneumonia patients given smoking cessation advice/counseling,100%,504,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,89%,505,280,1
pneumonia patients given the most appropriate initial antibiotic(s),93x,506,281,1
pneumonix pxtients assessed xnd given influenzx vxccinxtion,81%,507,282,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,508,179,6
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,0%,509,283,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,510,110,6
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0%,511,284,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,512,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,513,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,1xx%,514,285,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,515,113,6
heart attack patients given aspirin at arrival,100%,516,114,12
heart attack patients given aspirin at discharge,100%,517,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,518,42,15
heart attack patients given smoking cessation advice/counseling,100%,519,11,21
heart attack patients given beta blocker at discharge,100%,520,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,521,13,32
heart attack patients given pci within 90 minutes of arrival,96%,522,286,1
heart failure patients given discharge instructions,100%,523,172,5
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,524,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,525,118,7
heart failure patients given smoking cessation advice/counseling,100%,526,18,26
pneumonia patients assessed and given pneumococcal vaccination,94%,527,240,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,528,146,3
pneumonia patients given smoking cessation advice/counseling,94%,529,135,3
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,530,87,4
pneumonia patients given the most appropriate initial antibiotic(s),90%,531,287,1
pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,92%,532,288,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,97%,533,289,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,534,150,3
surgery patients who were given the  right kind  of antibiotic to help prevent infection,97%,535,290,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,536,75,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,95%,537,291,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,538,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,98%,539,292,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,540,194,3
hexrt attxck pxtients given aspirin xt arrivxl,95%,541,293,1
heart attack patients given aspirin at discharge,92%,542,9,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,543,294,1
heart attack patients given smoking cessation advice/counseling,97%,544,295,1
heaxt attack patients given beta blockex at dischaxge,95%,545,296,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,546,13,32
heart attack patients given pci within 90 minutes of arrival,40%,547,158,2
heart failure patients given discharge instructions,45%,548,297,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,90%,549,298,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,550,223,3
heart failure patients given smoking cessation advice/counseling,99%,551,299,1
pneumonia patients assessed and given pneumococcal vaccination,85%,552,271,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,553,68,5
pneumonia patients given smoking cessation advice/counseling,91%,554,300,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,88%,555,301,1
pneumonia patients given the most appropriate initial antibiotic(s),82%,556,302,1
pneumonia patients assessed and given influenza vaccination,82%,557,228,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,558,124,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,78%,559,303,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,560,34,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),83%,561,304,1
allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,72%,562,305,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),97%,563,266,3
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92%,564,306,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,87%,565,221,3
heart attack patients given aspirin at arrival,92%,566,307,1
heart attack patients given aspirin at discharge,90%,567,308,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,568,42,15
heart attack patients given smoking cessation advice/counseling,50%,569,309,1
heart attack patients given beta blocker at discharge,92%,570,310,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,571,208,4
heart attack patients given pci within 90 minutes of arrival,empty,572,14,25
heart failure patients given discharge instructions,54%,573,311,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,574,16,6
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,575,233,2
heart failure patients given smoking cessation advice/counseling,97%,576,312,1
pneumonia patients assessed and given pneumococcal vaccination,80%,577,313,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,578,68,5
pneumonia patients given smoking cessation advice/counseling,91%,579,300,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,82%,580,314,1
pneumonia patients given the most appropriate initial antibiotic(s),85%,581,315,2
pneumonia patients assessed and given influenza vaccination,75%,582,316,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,32%,583,317,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,584,109,6
surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,585,55,4
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),79%,586,318,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,587,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),96%,588,319,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,88%,589,277,3
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,82%,590,320,1
heart attack patients given aspirin at arrival,empty,591,169,5
heart attack patients given aspirin at discharge,empty,592,170,4
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,593,81,8
heart attack patients given smoking cessation advice/counseling,empty,594,43,16
heart attack patients given beta blocker at discharge,empty,595,171,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,596,13,32
heart attack patients given pci within 90 minutes of arrival,empty,597,14,25
heart failure patients given discharge instructions,100%,598,172,5
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,599,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,600,197,2
heart failure patients given smoking cessation advice/counseling,empty,601,198,2
pneumonia patients assessed and given pneumococcal vaccination,100%,602,212,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,603,120,8
pneumonia patients given smoking cessation advice/counseling,100%,604,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,100%,605,227,2
pneumonia patients given the most appropriate initial antibiotic(s),93%,606,137,3
pneumonia patients assessed and given influenza vaccination,100%,607,321,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,608,179,6
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,609,1,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,610,2,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,611,3,5
all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,empty,612,322,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,613,5,4
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,614,6,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,615,7,5
heart attack patients given aspirin at arrival,98%,616,19,5
heart attack patients given aspirin at discharge,97%,617,184,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,618,61,3
heart attack patients given smoking cessation advice/counseling,100%,619,11,21
heart attack patients given beta blocker at discharge,98%,620,323,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,621,13,32
heart attack patients given pci within 90 minutes of arrival,85%,622,143,2
heart failure patients given discharge instructions,82%,623,324,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,624,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,625,17,2
heart failure patients given smoking cessation advice/counseling,100%,626,18,26
pneumonia patients assessed and given pneumococcal vaccination,92%,627,176,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,91%,628,325,1
pneumonia patients given smoking cessation advice/counseling,100%,629,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,630,50,5
pneumonia patients given the most appropriate initial antibiotic(s),97%,631,326,1
pneumonia patients assessed and given influenza vaccination,88%,632,71,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,98%,633,327,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,634,73,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,635,74,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),97%,636,328,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,98%,637,217,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,638,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92%,639,306,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90%,640,183,3
heart attack patients given aspirin at arrival,50%,641,329,1
heart attack patients given aspirin at discharge,67%,642,330,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,643,81,8
heart attack patients given smoking cessation advice/counseling,empty,644,43,16
heart attack patients given beta blocker at discharge,67%,645,331,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,646,13,32
heart attack patients given pci within 90 minutes of arrival,empty,647,14,25
heart failure patients given discharge instructions,0%,648,332,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,38%,649,333,1
heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),25%,650,334,1
heart faxlure patxents gxven smokxng cessatxon advxce/counselxng,100%,651,335,1
pneumonia patients assessed and given pneumococcal vaccination,25%,652,103,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,653,120,8
pneumonia patients given smoking cessation advice/counseling,67%,654,336,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,90%,655,337,1
pneumonia patients given the most appropriate initial antibiotic(s),96%,656,249,2
pneumonia patients assessed and given influenza vaccination,12%,657,338,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,658,179,6
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,659,1,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,660,2,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,661,3,5
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,662,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,663,5,4
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,664,6,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,665,7,5
heart attack patients given aspirin at arrival,98%,666,19,5
heart attack patients given aspirin at discharge,98%,667,219,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,668,142,3
heart attack patients given smoking cessation advice/counseling,100%,669,11,21
heart attack patients given beta blocker at discharge,97%,670,185,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,671,13,32
heartxattackxpatientsxgivenxpcixwithinx90xminutesxofxarrival,98%,672,339,1
heart failure patients given discharge instructions,46%,673,340,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,96%,674,270,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,675,161,4
heart failure patients given smoking cessation advice/counseling,100%,676,18,26
pneumonia patients assessed and given pneumococcal vaccination,74%,677,341,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,92%,678,342,2
pneumonia patients given smoking cessation advice/counseling,100%,679,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,680,29,2
pneumonia patients given the most appropriate initial antibiotic(s),85%,681,315,2
pneumonia patients assessed and given influenza vaccination,79%,682,343,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,69%,683,344,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,684,91,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,95%,685,345,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),87%,686,346,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,76%,687,347,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),97%,688,266,3
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,79%,689,348,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,77%,690,349,1
heart attack patients given aspirin at arrival,77%,691,350,1
heart attack patients given aspirin at discharge,100%,692,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,693,42,15
heart attack patients given smoking cessation advice/counseling,empty,694,43,16
heart attack patients given beta blocker at discharge,75%,695,351,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,696,13,32
heart attack patients given pci within 90 minutes of arrival,empty,697,14,25
heart failure patients given discharge instructions,xx%,698,352,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,699,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,700,118,7
heart failure patients given smoking cessation advice/counseling,100%,701,18,26
pneumonia patients assessed and given pneumococcal vaccination,87%,702,85,4
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,703,68,5
pneumonia patients given smoking cessation advice/counseling,90%,704,353,2
pxeumoxia patiexts givex ixitial axtibiotic(s) withix 6 hours after arrival,97%,705,354,1
pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),96%,706,355,1
pneumonia patients assessed and given influenza vaccination,93%,707,356,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,708,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,709,109,6
surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,710,110,6
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),1xx%,711,244,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,712,4,23
surgery paxienxs needing hair removed from xhe surgical area before surgery who had hair removed using a safer mexhod (elecxric clippers or hair removal cream c nox a razor),100%,713,357,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,88%,714,277,3
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,715,95,2
heart attack patients given aspirin at arrival,100%,716,114,12
heart attack patients given aspirin at discharge,100%,717,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),x7%,718,358,1
heart attack patients given smoking cessation advice/counseling,100%,719,11,21
heart attack patients given beta blocker at discharge,100%,720,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,721,13,32
heart attack patients given pci within 90 minutes of arrival,empty,722,14,25
heart failure patients given discharge instructions,99%,723,359,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,724,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,725,188,2
