beer-name,style,original_index,unique_index
Wiregrass Post-Prohibition Ale,American Pale Ale (APA),607,589
Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,608,590
Hopped on the High Seas (Citra),American IPA,609,591
Hopped on the High Seas (Ahtanum),American IPA,610,592
Gwar Beer,American Pale Ale (APA),611,593
Tropical Heatwave,American Pale Wheat Ale,612,594
Humidor Series India Pale Ale,American IPA,613,595
Jai Alai IPA Aged on White Oak,American IPA,614,596
José Martí American Porter,American Porter,615,597
Invasion Pale Ale,American Pale Ale (APA),616,598
Maduro Brown Ale,English Brown Ale,617,599
Maduro Brown Ale,American Brown Ale,618,600
Hotter Than Helles Lager,Munich Helles Lager,619,601
Tocobaga Red Ale,American Amber / Red Ale,620,602
Jai Alai IPA,American IPA,621,603
Florida Cracker Belgian Wit,Witbier,622,604
Shark Tracker Light lager,Light Lager,623,605
Pumple Drumkin,Pumpkin Ale,624,606
Grey Lady,Witbier,625,607
Summer of Lager,Munich Helles Lager,626,608
Indie Pale Ale,American IPA,627,609
Sankaty Light Lager,Light Lager,628,610
Whale's Tale Pale Ale,English Pale Ale,629,611
Jacaranada Rye IPA,American IPA,630,612
Cascadian Dark Ale,American Black Ale,631,613
Wheat the People,American Pale Wheat Ale,632,614
Tybee Island Blonde,American Blonde Ale,633,615
Savannah Brown Ale,American Brown Ale,634,616
Rhode Island Blueberry,Kölsch,635,617
Newport Storm IPA,American IPA,636,618
Hurricane Amber Ale (2004),American Amber / Red Ale,637,619
Hurricane Amber Ale,American Amber / Red Ale,638,620
Big Blue Van,Fruit / Vegetable Beer,639,621
Des Moines IPA,American IPA,640,622
Capital Gold Golden Lager,German Pilsener,641,623
Farmer John's Multi-Grain Ale,American Blonde Ale,642,624
Behemoth,American Pilsner,643,625
Arkansas Red,American Amber / Red Ale,644,626
Core Oatmeal Stout,Oatmeal Stout,645,627
Core ESB,Extra Special / Strong Bitter (ESB),646,628
Chester's Beer (2005),American Pale Lager,647,629
Heiner Brau Kölsch,Kölsch,648,630
Trigger Blonde Ale,American Blonde Ale,649,631
Crabtree Oatmeal Stout,Oatmeal Stout,650,632
Eclipse Black IPA,American Black Ale,651,633
Neomexicanus Native,American Pale Ale (APA),652,634
Old Soul,Belgian Strong Pale Ale,653,635
Snowcat Coffee Stout,American Stout,654,636
WinterWonderGrass Festival Ale,American Amber / Red Ale,655,637
Boohai Red Ale,American Amber / Red Ale,656,638
Lava Lake Wit,Witbier,657,639
Mountain Livin' Pale Ale,American Pale Ale (APA),658,640
Crazy Mountain Amber Ale,American Amber / Red Ale,659,641
Tropicalia,American IPA,660,642
Athena,Berliner Weissbier,661,643
Aviator Raspberry Blonde,American Blonde Ale,662,644
3 Picket Porter,American Porter,663,645
Rusty Nail Pale Ale,American Pale Ale (APA),664,646
Red Water Irish Style Red,American Amber / Red Ale,665,647
Mjöllnir,Herbed / Spiced Beer,666,648
Bear Butte Nut Brown Ale,American Brown Ale,667,649
Easy Livin' Summer Ale,American Blonde Ale,668,650
Canyon Cream Ale,Cream Ale,669,651
Pile O'Dirt Porter,American Porter,670,652
11th Hour IPA,American IPA,671,653
South Ridge Amber Ale,American Amber / Red Ale,672,654
Summertime Ale,Kölsch,673,655
Lost River Blonde Ale,American Blonde Ale,674,656
Monon Wheat,Witbier,675,657
Floyd's Folly,Scottish Ale,676,658
Half Court IPA,American IPA,677,659
Geary's Pale Ale,English Pale Ale,678,660
Geary's Summer Ale,Kölsch,679,661
Stone of Arbroath,Scotch Ale / Wee Heavy,680,662
The Tradition,American Blonde Ale,681,663
El Hefe Speaks,Hefeweizen,682,664
Penn Quarter Porter,American Porter,683,665
On the Wings of Armageddon,American Double / Imperial IPA,684,666
The Corruption,American IPA,685,667
The Citizen,Belgian Pale Ale,686,668
The Public,American Pale Ale (APA),687,669
Dank IPA,American IPA,688,670
Dank IPA (2012),American IPA,689,671
Lift Off IPA,American IPA,690,672
BrewFarm Select Golden Lager,American Pale Lager,691,673
Sprocket Blonde Ale (2006),American Blonde Ale,692,674
Sprocket Pale Ale (2006),American Pale Ale (APA),693,675
Dead Armadillo Amber Ale,American Amber / Red Ale,694,676
Neato Bandito,Euro Pale Lager,695,677
Oak Cliff Coffee Ale,American Brown Ale,696,678
Dream Crusher Double IPA,American Double / Imperial IPA,697,679
Deep Ellum Pale Ale,American Pale Ale (APA),698,680
Double Brown Stout,Baltic Porter,699,681
Farmhouse Wit,Saison / Farmhouse Ale,700,682
Rye Pils Session Lager,German Pilsener,701,683
Dallas Blonde,American Blonde Ale,702,684
Deep Ellum IPA,American IPA,703,685
Thrasher Session India Pale Ale,American IPA,704,686
Gutch English Style Mild Ale,English Pale Mild Ale,705,687
Chuli Stout,Irish Dry Stout,706,688
Mother Ale,American Blonde Ale,707,689
Twister Creek India Pale Ale,American IPA,708,690
Single Engine Red,Irish Red Ale,709,691
Incredible Pedal IPA,American IPA,710,692
Graham Cracker Porter,American Porter,711,693
Mirror Pond Pale Ale,American Pale Ale (APA),712,694
Weissenheimer,Hefeweizen,713,695
Abbey's Single (2015- ),Abbey Single Ale,714,696
Vertex IPA,American IPA,715,697
Here Gose Nothin',Gose,716,698
Strawberry Blonde,Fruit / Vegetable Beer,717,699
Hoperation Overload,American Double / Imperial IPA,718,700
Abbey's Single Ale (Current),Abbey Single Ale,719,701
Bravo Four Point,American Pale Ale (APA),720,702
Striped Bass Pale Ale,American Pale Ale (APA),721,703
Deadicated Amber,American Amber / Red Ale,722,704
Kaleidoscope Collaboration 2012,American Black Ale,723,705
California Sunshine Rye IPA,American IPA,724,706
Full Boar Scotch Ale,Scotch Ale / Wee Heavy,725,707
12 Man Pale Ale,American Pale Ale (APA),726,708
Filthy Hoppin' IPA,American IPA,727,709
Dock Street Amber Beer (1992),American Amber / Red Ale,728,710
Dolores River Hefeweizen,Hefeweizen,729,711
Dolores River ESB,Extra Special / Strong Bitter (ESB),730,712
Snaggletooth Double Pale Ale,American Double / Imperial IPA,731,713
Dolores River Pale Ale,American Pale Ale (APA),732,714
Dolores River Dry Stout,Irish Dry Stout,733,715
Dolores River Mild,English Dark Mild Ale,734,716
Cranberry Blend,Cider,735,717
Orignal Blend,Cider,736,718
Hop Abomination,American IPA,737,719
Apricot Blonde,Fruit / Vegetable Beer,738,720
Dry Dock Hefeweizen,Hefeweizen,739,721
Dry Dock Amber Ale,American Amber / Red Ale,740,722
Category 3 IPA,American IPA,741,723
Dundee Summer Wheat Beer,American Pale Wheat Ale,742,724
Pumpkin Patch Ale,Pumpkin Ale,743,725
Crank Yanker IPA,American IPA,744,726
River Runners Pale Ale,American Pale Ale (APA),745,727
Pumpkin Patch Ale (2012),Pumpkin Ale,746,728
Mountain Fairy Raspberry Wheat,Fruit / Vegetable Beer,747,729
Boater Beer,German Pilsener,748,730
Crank Yanker IPA (2011),American IPA,749,731
Bleeding Buckeye Red Ale,Extra Special / Strong Bitter (ESB),750,732
Dottie Seattle Lager,American Amber / Red Lager,751,733
Nut Sack Imperial Brown Ale,American Brown Ale,752,734
Underachiever,American Adjunct Lager,753,735
Lil' Brainless Raspberries,Fruit / Vegetable Beer,754,736
Element 29,American Pale Ale (APA),755,737
Hop Syndrome,American Pale Lager,756,738
Escape to Colorado,American IPA,757,739
Little Sister India Style Session Ale,American IPA,758,740
Country Boy IPA,American IPA,759,741
Blonde Czich,American Blonde Ale,760,742
White Reaper,Belgian IPA,761,743
Bobblehead,American Pale Wheat Ale,762,744
Lucky Dog,American Pale Ale (APA),763,745
Voodoo,American Porter,764,746
General George Patton Pilsner,Czech Pilsener,765,747
Nomader Weiss,Berliner Weissbier,766,748
Molotov Lite,American Double / Imperial IPA,767,749
Hipster Ale (Two Roads Brewing),American Pale Ale (APA),768,750
Bikini Beer,American IPA,769,751
Hipster Ale (Westbrook Brewing),American Pale Ale (APA),770,752
Iron Horse Pale Ale,American Pale Ale (APA),771,753
Stone's Throw IPA,Scottish Ale,772,754
Wood Chipper India Pale Ale,American IPA,773,755
Trail Head,American Pale Ale (APA),774,756
Hop Stalker Fresh Hop IPA,American IPA,775,757
Sudice American Stout,American Stout,776,758
Parcae Belgian Style Pale Ale,Belgian Pale Ale,777,759
Norns Roggenbier,Roggenbier,778,760
Laimas Kölsch Style Ale,Kölsch,779,761
Moirai India Pale Ale,American IPA,780,762
Loki Red Ale,American Amber / Red Ale,781,763
Peaches & Cream,Fruit / Vegetable Beer,782,764
Quaff India Style Session Ale,American IPA,783,765
Loki Red Ale (2013),American Amber / Red Ale,784,766
Mjolnir Imperial IPA,American Double / Imperial IPA,785,767
Fearless Scottish Ale,Scottish Ale,786,768
Mastermind,American Double / Imperial IPA,787,769
Hyzer Flip,American Double / Imperial IPA,788,770
Second Fiddle,American Double / Imperial IPA,789,771
Hodad Porter,American Porter,790,772
Weiss Weiss Baby,Kristalweizen,791,773
Czech Yo Self,Czech Pilsener,792,774
FMB 101,Kölsch,793,775
Hardcore Chimera,American Double / Imperial IPA,794,776
Sobek & Set,American Black Ale,795,777
Nuclear Winter,Belgian Strong Dark Ale,796,778
Wet Hot American Wheat Ale,American Pale Wheat Ale,797,779
Secret Stache Stout,American Stout,798,780
Fascist Pig Ale,American Amber / Red Ale,799,781
Cut Throat Pale Ale,American Pale Ale (APA),800,782
Threadless IPA,American IPA,801,783
Cut Throat Pale Ale (2011),American Pale Ale (APA),802,784
Golden Wing Blonde Ale,American Blonde Ale,803,785
Easy Jack,American IPA,804,786
Union Jack,American IPA,805,787
Pivo Pils,German Pilsener,806,788
805 Blonde Ale,American Blonde Ale,807,789
805,American Blonde Ale,808,790
Deflator,Doppelbock,809,791
Hinchtown Hammer Down,American Blonde Ale,810,792
Half Cycle IPA,American IPA,811,793
Inclined Plane Ale,American IPA,812,794
Moped Traveler,American Pale Ale (APA),813,795
Snake Dog IPA,American IPA,814,796
Underdog Atlantic Lager,American Pale Lager,815,797
Flying Mouse 8,American Porter,816,798
Flying Mouse 4,American IPA,817,799
La Ferme Urbaine Farmhouse Ale,Saison / Farmhouse Ale,818,800
Backyahd IPA,American IPA,819,801
Raincloud Robust Porter,American Porter,820,802
Barstool American Golden Ale,American Blonde Ale,821,803
What the Butler Saw,Witbier,822,804
1916 Shore Shiver,American IPA,823,805
Quick WIT,Belgian Pale Ale,824,806
The Optimist,American IPA,825,807
Suicide Squeeze IPA,American IPA,826,808
Java the Hop,American IPA,827,809
Next Adventure Black IPA,American Black Ale,828,810
3-Way IPA (2013),American IPA,829,811
Tender Loving Empire NWPA,American Pale Ale (APA),830,812
Quick Wit Belgianesque Ale,Witbier,831,813
Sunrise Oatmeal Pale Ale,American Pale Ale (APA),832,814
Cavatica Stout,American Double / Imperial Stout,833,815
1811 Lager,American Amber / Red Lager,834,816
Vortex IPA,American IPA,835,817
Fort Pitt Ale,American Amber / Red Ale,836,818
Park,American Pale Wheat Ale,837,819
Westfalia,American Amber / Red Ale,838,820
KSA,Kölsch,839,821
Villager,American IPA,840,822
Dirty Bastard,Scotch Ale / Wee Heavy,841,823
Centennial IPA,American IPA,842,824
All Day IPA,American IPA,843,825
El Chingon IPA,American IPA,844,826
Block Party Robust Porter,American Porter,845,827
Local Buzz,American Blonde Ale,846,828
Feel Like Maplin' Love,Oatmeal Stout,847,829
Father's Beer,Belgian Pale Ale,848,830
The 26th,American IPA,849,831
The Gadget,American IPA,850,832
Leprechaun Lager,American Pale Lager,851,833
Sunbru Kölsch,Kölsch,852,834
Kilt Lifter Scottish-Style Ale,,853,835
Pumpkin Porter,American Porter,854,836
Four Peaks Peach Ale,Fruit / Vegetable Beer,855,837
Hop Knot IPA,American IPA,856,838
Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,857,839
Sunbru Kölsch,Kölsch,858,834
Four String Vanilla Porter,American Porter,859,840
Suncaster Summer Wheat,American Pale Wheat Ale,860,841
Brass Knuckle Pale Ale,American Pale Ale (APA),861,842
Big Star White IPA,American White IPA,862,843
Old Detroit,American Amber / Red Ale,863,844
Batch 69 IPA,American IPA,864,845
Twisted Helles Summer Lager,Munich Helles Lager,865,846
OktoberFiesta,,866,847
Texicali,American Brown Ale,867,848
Pinata Protest,Witbier,868,849
Bat Outta Helles,Munich Helles Lager,869,850
Original,American Amber / Red Ale,870,851
Rye Wit,Witbier,871,852
Soul Doubt,American IPA,872,853
Yo Soy Un Berliner,Berliner Weissbier,873,854
77 Fremont Select Spring Session IPA,American IPA,874,855
Fremont Organic Pale Ale,American Pale Ale (APA),875,856
Abominable Ale,English Strong Ale,876,857
Harvest Ale,Saison / Farmhouse Ale,877,858
Fremont Summer Ale,American Pale Ale (APA),878,859
Universale Pale Ale,American Pale Ale (APA),879,860
Interurban IPA,American IPA,880,861
Gateway Kolsch Style Ale,Kölsch,881,862
Wee-Heavy-Er Scotch Ale,Scotch Ale / Wee Heavy,882,863
13 Rebels ESB,Extra Special / Strong Bitter (ESB),883,864
Salamander Slam,American IPA,884,865
Cack-A-Lacky,American Pale Ale (APA),885,866
No Wake IPA,American IPA,886,867
Boathouse Blonde,American Blonde Ale,887,868
Cedar Point,American Amber / Red Ale,888,869
Clean Shave IPA,American IPA,889,870
Might As Well IPL,American Pale Lager,890,871
Saison Pamplemousse,Saison / Farmhouse Ale,891,872
2020 IPA,American IPA,892,873
Wolf Among Weeds IPA,American IPA,893,874
Better Weather IPA,American IPA,894,875
Point the Way IPA,American IPA,895,876
Golden Road Hefeweizen,Hefeweizen,896,877
Heal the Bay IPA,American IPA,897,878
Point the Way IPA,American IPA,898,876
Cabrillo Kölsch,Kölsch,899,879
Get Up Offa That Brown,American Brown Ale,900,880
Burning Bush Smoked IPA,American IPA,901,881
Wolf Among Weeds IPA (2012),American IPA,902,882
Point the Way IPA (2012),American IPA,903,883
Golden Road Hefeweizen (2012),Hefeweizen,904,884
Vanilla Porter,American Porter,905,885
Descender IPA,American IPA,906,886
Sweet As Pacific Ale,American Pale Wheat Ale,907,887
Good People Pale Ale,American Pale Ale (APA),908,888
Snake Handler Double IPA,American Double / Imperial IPA,909,889
Coffee Oatmeal Stout,Oatmeal Stout,910,890
Good People IPA,American IPA,911,891
Good People American Brown Ale,American Brown Ale,912,892
Mountain Rescue Pale Ale,American Pale Ale (APA),913,893
Goose Island India Pale Ale,American IPA,914,894
312 Urban Pale Ale,American Pale Ale (APA),915,895
312 Urban Pale Ale,American Pale Ale (APA),916,895
312 Urban Wheat Ale,American Pale Wheat Ale,917,896
312 Urban Wheat Ale,American Pale Wheat Ale,918,896
312 Urban Wheat Ale (2012),American Pale Wheat Ale,919,897
Beaver Logger,American Pale Lager,920,898
White Water Wheat,American Pale Wheat Ale,921,899
Grand Canyon American Pilsner,American Pilsner,922,900
Grand Canyon Sunset Amber Ale,American Amber / Red Ale,923,901
Black Iron India Pale Ale,American IPA,924,902
Monarch Classic American Wheat,American Pale Wheat Ale,925,903
Sir William's English Brown Ale,English Brown Ale,926,904
Lakefire Rye Pale Ale,American Pale Ale (APA),927,905
Beer Agent Re-Ignition,American Blonde Ale,928,906
Cherry Ale,Fruit / Vegetable Beer,929,907
Bourbon Barrel Aged Coconut Porter,American Porter,930,908
Great Crescent IPA,American IPA,931,909
Aurora Lager,Dortmunder / Export Lager,932,910
Great Crescent Blonde Ale,American Blonde Ale,933,911
Great Crescent Coconut Porter,American Porter,934,912
Great Crescent Oktoberfest Lager,Märzen / Oktoberfest,935,913
Great Crescent Brown Ale,American Brown Ale,936,914
Cherry Ale (1),Fruit / Vegetable Beer,937,915
Aurora Lager (2011),Dortmunder / Export Lager,938,916
Frosted Fields Winter Wheat,American Dark Wheat Ale,939,917
Great Crescent Belgian Style Wit,Witbier,940,918
Bourbon's Barrel Stout,American Stout,941,919
Great Crescent Stout,English Stout,942,920
Great Crescent Coconut Porter (2012),American Porter,943,921
Great Crescent Dark Lager,Euro Dark Lager,944,922
Great Crescent Mild Ale,English Dark Mild Ale,945,923
Great Crescent IPA (2011),American IPA,946,924
Great Crescent Blonde Ale (2011),American Blonde Ale,947,925
Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),948,926
Hibernation Ale,Old Ale,949,927
Whitewater,American Pale Wheat Ale,950,928
Rumble,American IPA,951,929
Orabelle,Tripel,952,930
Lasso,American IPA,953,931
Yeti  Imperial Stout,Russian Imperial Stout,954,932
Colette,Saison / Farmhouse Ale,955,933
Titan IPA,American IPA,956,934
Black Star Double Hopped Golden Lager (24 oz.),American Pale Lager,957,935
Black Star Double Hopped Golden Lager (12 oz.),American Pale Lager,958,936
Commotion APA,American Pale Ale (APA),959,937
Southern Drawl Pale Lager,American Pale Lager,960,938
Chickawawa Lemonale,Fruit / Vegetable Beer,961,939
Barrel Aged Farmer,American Brown Ale,962,940
Great River Golden Ale,American Blonde Ale,963,941
Dirty Blonde Chocolate Ale,American Blonde Ale,964,942
Dos Pistolas,Vienna Lager,965,943
Owney Irish Style Red Ale,Irish Red Ale,966,944
Aaah Bock Lager,Vienna Lager,967,945
Widespread Wit,Witbier,968,946
Roller Dam Red Ale,Irish Red Ale,969,947
483 Pale Ale,American Pale Ale (APA),970,948
Hop A Potamus Double Dark Rye Pale Ale,Rye Beer,971,949
Farmer Brown Ale,American Brown Ale,972,950
Big Cock IPA,American IPA,973,951
Oktoberfest,Märzen / Oktoberfest,974,573
40th Annual Bix Street Fest Copper Ale (Current),American Amber / Red Ale,975,952
Redband Stout,American Stout,976,953
483 Pale Ale (2010),American Pale Ale (APA),977,954
Roller Dam Red Ale (2010),Irish Red Ale,978,955
Pablo Beach Pale Ale,American Pale Ale (APA),979,956
Wild Trail Pale Ale,American Pale Ale (APA),980,957
Mothman Black IPA,American Black Ale,981,958
Autumn Winds Fest Beer,Märzen / Oktoberfest,982,959
Captain's Daughter,American Double / Imperial IPA,983,960
Autumn Winds,Märzen / Oktoberfest,984,961
Flying Jenny Extra Pale Ale,American Pale Ale (APA),985,962
Hazy Day Belgian-Style Wit,Witbier,986,963
Bring Back the Beach Blonde Ale,American Blonde Ale,987,964
Leaning Chimney Smoked Porter,American Porter,988,965
Flying Jenny Extra Pale Ale (2012),American Pale Ale (APA),989,966
Flagship Ale,Cream Ale,990,967
Mr. Blue Sky,American Pale Wheat Ale,991,968
3 Scrooges,Winter Warmer,992,969
Screamin’ Pumpkin,Pumpkin Ale,993,970
Grand Trunk Bohemian Pils,Czech Pilsener,994,971
El Rojo,American Amber / Red Ale,995,972
Norm's Raggedy Ass IPA,American IPA,996,973
Grind Line,American Pale Ale (APA),997,974
Norm's Gateway IPA,American IPA,998,975
Lemon Shandy Tripel,Tripel,999,976
Little Red Cap,Altbier,1000,977
Supergoose IPA,American IPA,1001,978
Hale's Pale American Ale,American Pale Ale (APA),1002,979
Heyoka IPA,American IPA,1003,980
Guest Lager,American Double / Imperial Pilsner,1004,981
Pony Pilsner,German Pilsener,1005,982
Akari Shogun American Wheat Ale,American Pale Wheat Ale,1006,983
Meat Wave,English India Pale Ale (IPA),1007,984
Over Ale,American Brown Ale,1008,985
Gossamer Golden Ale,American Blonde Ale,1009,986
Daisy Cutter Pale Ale,American Pale Ale (APA),1010,987
Pursuit,American IPA,1011,988
Half Full Bright Ale,American Blonde Ale,1012,989
Orange Wheat,Fruit / Vegetable Beer,1013,990
Hangar 24 Helles Lager,Munich Helles Lager,1014,991
The Great Return,American IPA,1015,992
Hardywood Cream Ale,Cream Ale,1016,993
Capital Trail Pale Ale,American Pale Ale (APA),1017,994
UFO Gingerland,Herbed / Spiced Beer,1018,995
The Long Thaw White IPA,American White IPA,1019,996
Honey Cider,Cider,1020,997
Harpoon Summer Beer,Kölsch,1021,998
Harpoon IPA,American IPA,1022,999
UFO Pumpkin,Pumpkin Ale,1023,1000
Harpoon Octoberfest,Märzen / Oktoberfest,1024,1001
Harpoon IPA (2012),American IPA,1025,1002
Harpoon Summer Beer (2012),Kölsch,1026,1003
UFO White,American Pale Wheat Ale,1027,1004
Harpoon Summer Beer (2010),Kölsch,1028,1005
Harpoon IPA (2010),American IPA,1029,1006
Great Falls Select Pale Ale,American Blonde Ale,1030,1007
Beltian White,Witbier,1031,1008
Kaua'i Golden Ale,American Blonde Ale,1032,1009
Sunset Amber,American Pale Ale (APA),1033,1010
Hapa Brown Ale,American Brown Ale,1034,1011
Hapa Brown Ale,American Brown Ale,1035,1011
Southern Cross,Flanders Red Ale,1036,1012
Groupe G,Belgian IPA,1037,1013
Pt. Bonita Rustic Lager,American Pale Lager,1038,1014
Hill 88 Double IPA,American Double / Imperial IPA,1039,1015
Loose Cannon,American IPA,1040,1016
AARGHtoberfest!,Märzen / Oktoberfest,1041,1017
Davy Jones Lager,Cream Ale,1042,1018
Grazias,Cream Ale,1043,1019
Habitus IPA,American IPA,1044,1020
Ex Umbris Rye Imperial Stout,American Double / Imperial Stout,1045,1021
The Golden One,American Pilsner,1046,1022
The Power of Zeus,American Pale Ale (APA),1047,1023
Tonganoxie Honey Wheat,American Pale Wheat Ale,1048,1024
Oregon Trail Unfiltered Raspberry Wheat,Fruit / Vegetable Beer,1049,1025
Annie's Amber Ale,American Amber / Red Ale,1050,1026
The 12th Can™,American Pale Ale (APA),1051,1027
Hilliard's Pils,Czech Pilsener,1052,1028
Hilliard's Blonde,American Blonde Ale,1053,1029
Hilliard's Amber Ale,American Amber / Red Ale,1054,1030
Hilliard's Saison,Saison / Farmhouse Ale,1055,1031
White Cap White IPA,American White IPA,1056,1032
Provision,Saison / Farmhouse Ale,1057,1033
One Nut Brown,American Brown Ale,1058,1034
Hop Farm IPA,American IPA,1059,1035
Double D Blonde,American Blonde Ale,1060,1036
Festeroo Winter Ale,American Strong Ale,1061,1037
Proxima IPA,American IPA,1062,1038
Double D Blonde (2013),American Blonde Ale,1063,1039
541 American Lager,American Pale Lager,1064,1040
Alphadelic IPA,American IPA,1065,1041
Alphadelic IPA (2011),American IPA,1066,1042
Double D Blonde (2011),American Blonde Ale,1067,1043
Green House India Pale Ale,American IPA,1068,1044
The One They Call Zoe,American Pale Lager,1069,1045
Alteration,Altbier,1070,1046
Pale Dog,American Pale Ale (APA),1071,1047
Porter Culture,American Porter,1072,1048
Hard Cider,Cider,1073,1049
Totally Radler,Radler,1074,1050
Nonstop Hef Hop,American Pale Wheat Ale,1075,1051
Nonstop Hef Hop,American Pale Wheat Ale,1076,1051
Nonstop Hef Hop,American Pale Wheat Ale,1077,1051
Nonstop Hef Hop,American Pale Wheat Ale,1078,1051
Nonstop Hef Hop,American Pale Wheat Ale,1079,1051
Nonstop Hef Hop,American Pale Wheat Ale,1080,1051
Nonstop Hef Hop,American Pale Wheat Ale,1081,1051
Nonstop Hef Hop,American Pale Wheat Ale,1082,1051
Nonstop Hef Hop,American Pale Wheat Ale,1083,1051
Nonstop Hef Hop,American Pale Wheat Ale,1084,1051
Nonstop Hef Hop,American Pale Wheat Ale,1085,1051
Nonstop Hef Hop,American Pale Wheat Ale,1086,1051
Rise Up Red,American Amber / Red Ale,1087,1052
Survival Stout,American Stout,1088,1053
Hopworks IPA,American IPA,1089,1054
Abominable Winter Ale,American Strong Ale,1090,1055
Pigwar White India Pale Ale,American White IPA,1091,1056
Rise-Up Red (2014),American Amber / Red Ale,1092,1057
Abominable Winter Ale (2012),American Strong Ale,1093,1058
HUB Lager,Czech Pilsener,1094,1059
Hopworks IPA (2012),American IPA,1095,1060
Watermelon Wheat,American Pale Wheat Ale,1096,1061
Laka Laka Pineapple,Hefeweizen,1097,1062
Oktoberfest,Märzen / Oktoberfest,1098,573
Trail Maker Pale Ale,American Pale Ale (APA),1099,1063
Action Man Lager,Vienna Lager,1100,1064
Let It Ride IPA,American IPA,1101,1065
Stir Crazy Winter Ale,Winter Warmer,1102,1066
Sweet Yamma Jamma Ale,Fruit / Vegetable Beer,1103,1067
Shenanigans Summer Ale,American Pale Wheat Ale,1104,1068
Midnight Ryder,American Black Ale,1105,1069
Day Tripper Pale Ale,American Pale Ale (APA),1106,1070
Oklahoma Suks,American Amber / Red Ale,1107,1071
Power & Light,American Pale Ale (APA),1108,1072
White Rabbit,Witbier,1109,1073
Tribute,American Pale Ale (APA),1110,1074
Infamous IPA,American IPA,1111,1075
Hijack,Cream Ale,1112,1076
Jon Boat Coastal Ale,American Blonde Ale,1113,1077
I-10 IPA,American IPA,1114,1078
People's Pale Ale,American Pale Ale (APA),1115,1079
Summer Ale,American Blonde Ale,1116,1080
Appreciation Ale,American IPA,1117,1081
House Lager,Keller Bier / Zwickel Bier,1118,1082
Leisure Time,American Pale Lager,1119,1083
Excess IPL,American India Pale Lager,1120,1084
Hoponius Union,American India Pale Lager,1121,1085
Calyptra,American India Pale Lager,1122,1086
Helen's Blend,Cider,1123,1087
Jack's Hard Cider,Cider,1124,1088
Thunder Ann,American Pale Ale (APA),1125,1089
Razz Wheat,Fruit / Vegetable Beer,1126,1090
Hop Ryot,American IPA,1127,1091
Mystic Mama IPA,American IPA,1128,1092
Firefly Amber Ale,American Amber / Red Ale,1129,1093
Chomolungma Honey Nut Brown Ale,English Brown Ale,1130,1094
Welcome to Scoville,American IPA,1131,1095
Bastian,American Strong Ale,1132,1096
Healani,Hefeweizen,1133,1097
Yabba Dhaba Chai Tea Porter,American Porter,1134,1098
A Capella Gluten Free Pale Ale,American Pale Ale (APA),1135,1099
Casper White Stout,American Blonde Ale,1136,1100
JP's Ould Sod Irish Red IPA,American IPA,1137,1101
Weize Guy,Hefeweizen,1138,1102
Fox Tail Gluten Free Ale,American Pale Ale (APA),1139,1103
Hop Box Imperial IPA,American Double / Imperial IPA,1140,1104
Joseph James American Lager,American Adjunct Lager,1141,1105
Sucha Much IPA,American IPA,1142,1106
Lewbricator Wheat Dopplebock,Doppelbock,1143,1107
Weisse Versa (2012),Hefeweizen,1144,1108
Mother in Lager,Munich Dunkel Lager,1145,1109
Weekend Warrior Pale Ale,American Pale Ale (APA),1146,1110
Karbachtoberfest,Märzen / Oktoberfest,1147,1111
Love Street Summer Seasonal (2014),Kölsch,1148,1112
Barn Burner Saison,Saison / Farmhouse Ale,1149,1113
Rodeo Clown Double IPA,American Double / Imperial IPA,1150,1114
Sympathy for the Lager,American Amber / Red Lager,1151,1115
Weisse Versa,Hefeweizen,1152,1116
Hopadillo India Pale Ale,American IPA,1153,1117
KelSo Nut Brown Lager,Euro Dark Lager,1154,1118
KelSo India Pale Ale,American IPA,1155,1119
KelSo Pilsner,Czech Pilsener,1156,1120
Skilak Scottish Ale,Scottish Ale,1157,1121
Peninsula Brewers Reserve (PBR),American Blonde Ale,1158,1122
Sunken Island IPA,American IPA,1159,1123
Skilak Scottish Ale (2011),Scottish Ale,1160,1124
Cold Smoke Scotch Ale (2007),Scotch Ale / Wee Heavy,1161,1125
Double Haul IPA (2009),American IPA,1162,1126
Double Haul IPA (2006),American IPA,1163,1127
Eddy Out Pale Ale,American Pale Ale (APA),1164,1128
Double Haul IPA,American IPA,1165,1129
Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,1166,1130
U. P. Witbier,Witbier,1167,1131
November Gale Pale Ale,American Pale Ale (APA),1168,1132
Olde Ore Dock Scottish Ale,Scottish Ale,1169,1133
Widow Maker Black Ale,American Brown Ale,1170,1134
Lift Bridge Brown Ale,American Brown Ale,1171,1135
Pick Axe Blonde Ale,American Blonde Ale,1172,1136
Red Jacket Amber Ale,American Amber / Red Ale,1173,1137
Amber Ale,American Amber / Red Ale,1174,1138
King Street Pilsner,Czech Pilsener,1175,1139
King Street IPA,American IPA,1176,1140
King Street Hefeweizen,Hefeweizen,1177,1141
King Street Blonde Ale,American Blonde Ale,1178,1142
India Pale Ale,American IPA,1179,1143
Blackberry Wheat,American Pale Wheat Ale,1180,1144
Longboard Island Lager,American Amber / Red Lager,1181,1145
Longboard Island Lager,American Amber / Red Lager,1182,1145
