article_jcreated_at,article_pagination,original_index,unique_index
1/1/98,,916,850
8/31/10,813-20,917,851
3/1/02,277-80,918,852
1/1/14,41-7,919,853
9/1/94,471-3,920,854
,,921,46
1/1/03,P435,922,855
,131-134,923,856
4/1/15,248-54,924,857
1/1/93,409-414,925,858
9/1/12,733-743,926,859
,18-Nov,927,860
1/1/86,20-4 ST  - Preferences and practices of Americans and their physicians in antihypertensive therapy-,928,861
1/1/01,e7,929,862
2/1/15,141-8,930,863
7/10/13,2607-18,931,864
,,932,46
,,933,46
1/1/05,105-109,934,865
1/1/15,2.05427E+015,935,866
1/1/03,454-60,936,867
1/1/87,570-4,937,868
1/1/14,545-9,938,869
1/1/08,247-256 10p,939,870
1/1/14,449-457,940,871
1/1/10,S25-7,941,872
,300-306,942,873
5/1/11,446-55,943,874
1/1/09,134-44,944,875
1/1/11,488-96,945,876
1/1/76,449-455,946,877
,,947,46
,,948,46
1/1/12,261-270 ST  - Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?-,949,878
1/1/14,e109114,950,879
1/1/14,677-680,951,880
,159-166,952,881
5/1/10,791-9,953,882
1/1/10,720-6,954,883
,225-263,955,884
1/1/05,323-333,956,885
10/1/13,574-84,957,886
1/1/95,179-186,958,887
5/1/15,703,959,888
1/1/15,1943-1946,960,889
6/1/05,546-8,961,890
1/1/14,iii-vii,962,891
1/1/94,701-707,963,892
1/1/13,,964,110
8/1/13,1270-7,965,893
10/1/03,693-9,966,894
1/1/13,556-65,967,895
1/1/91,104-7; discussion 108,968,896
1/1/91,103-119,969,897
1/1/13,68-75,970,898
1/1/13,25-33,971,899
1/1/07,11-Sep,972,900
6/1/14,1159-73,973,901
10/1/14,513-6,974,902
9/1/15,71-7,975,903
,,976,46
11/1/10,iii35-44,977,904
1/1/93,,978,905
7/1/12,3017-28,979,906
8/1/09,74570A-74570A-9,980,907
1/1/86,240-54,981,908
1/1/10,i48-55,982,909
2/1/01,295-301,983,910
1/1/13,S331-,984,911
1/1/90,728-730-,985,912
1/1/13,2371-8,986,913
1/1/99,617-23,987,914
1/1/05,63-66,988,915
9/1/14,833-9,989,916
1/1/00,1343S-1353S,990,917
11/1/13,1147-60,991,918
4/1/14,3917-31,992,919
1/1/14,141-149,993,920
6/1/02,374-8,994,921
1/1/91,297-301,995,922
1/1/07,33501,996,923
10/27/14,,997,924
1/1/11,1219-1220,998,925
1/1/12,71-80,999,926
