Director,Actors,original_index,unique_index
Orson Welles,"Charlton Heston,Orson Welles,Janet Leigh",2011,1989
Jon M. Chu,"Dwayne Johnson,Channing Tatum,Adrianne Palicki",2012,1990
Dito Montiel,"Liam Hemsworth,Michael Angarano,Dwayne Johnson",2013,1991
Peter Segal,"Steve Carell,Anne Hathaway,Alan Arkin",2014,1992
Paul Hunter,"Yun-Fat Chow,Seann William Scott,Jaime King",2015,1993
John Huston,"Humphrey Bogart,Mary Astor,Gladys George",2016,1994
Fred Zinnemann,"Gary Cooper,Grace Kelly,Thomas Mitchell",2017,1995
Robert Day,"Robert Sacchi,Franco Nero,Michelle Phillips",2018,1996
Howard Hawks,"Humphrey Bogart,Lauren Bacall,Walter Brennan",2019,1997
John Huston,"Humphrey Bogart,Edward G. Robinson,Lauren Bacall",2020,1998
Billy Wilder,"Marilyn Monroe,Tom Ewell,Evelyn Keyes",2021,1999
Peter Berg,"Christian Slater,Daniel Stern,Cameron Diaz",2022,2000
Sydney Pollack,"Harrison Ford,Julia Ormond,Greg Kinnear",2023,2001
Blake Edwards,"Audrey Hepburn,George Peppard,Patricia Neal",2024,2002
Richard Quine,"William Holden,Audrey Hepburn,Grégoire Aslan",2025,2003
William Wyler,"Gregory Peck,Audrey Hepburn,Eddie Albert",2026,2004
Billy Wilder,"Gary Cooper,Audrey Hepburn,Maurice Chevalier",2027,2005
Stanley Donen,"Audrey Hepburn,Fred Astaire,Kay Thompson",2028,2006
Terence Young,"Audrey Hepburn,Alan Arkin,Richard Crenna",2029,2007
William Wyler,"Audrey Hepburn,Peter O'Toole,Eli Wallach",2030,2008
Stanley Donen,"Cary Grant,Audrey Hepburn,Walter Matthau",2031,2009
Frank Capra,"Clark Gable,Claudette Colbert,Walter Connolly",2032,2010
Joseph L. Mankiewicz,"Bette Davis,Anne Baxter,George Sanders",2033,2011
Sidney Lumet,"Henry Fonda,Lee J. Cobb,Martin Balsam",2034,2012
Robert Florey,"Dennis Morgan,Irene Manning,Bruce Cabot",2035,2013
William Wyler,"Greer Garson,Walter Pidgeon,Teresa Wright",2036,2014
Alfred Hitchcock,"Laurence Olivier,Joan Fontaine,George Sanders",2037,2015
Billy Wilder,"Robert Stephens,Christopher Lee,Colin Blakely",2038,2016
Billy Wilder,"Jack Lemmon,Shirley MacLaine,Lou Jacobi",2039,2017
Michael Curtiz,"James Cagney,Pat O'Brien,Humphrey Bogart",2040,2018
Stanley Kubrick,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",2041,2019
Charles Chaplin,"Charles Chaplin,Virginia Cherrill,Florence Lee",2042,2020
Andrew Davis,"Arnold Schwarzenegger,John Leguizamo,Francesca Neri",2043,2021
"John Cromwell,Edward F. Cline","Claudette Colbert,Jennifer Jones,Joseph Cotten",2044,2022
Frank Capra,"Jean Arthur,James Stewart,Lionel Barrymore",2045,2023
Edmund Goulding,"Greta Garbo,John Barrymore,Joan Crawford",2046,2024
Norman Krasna,"Van Johnson,Elizabeth Taylor,Percy Waram",2047,2025
William Dieterle,"Paul Muni,Gale Sondergaard,Joseph Schildkraut",2048,2026
Leo McCarey,"Bing Crosby,Barry Fitzgerald,Frank McHugh",2049,2027
Harold Ramis,"Bill Murray,Andie MacDowell,Chris Elliott",2050,2028
Jean-Jacques Annaud,"Brad Pitt,David Thewlis,BD Wong",2051,2029
"Carol Hughes,David Hughes","Peter Elliott,Michael Gambon,Brian Abrahams",2052,2030
Sydney Pollack,"Robert Redford,Will Geer,Delle Bolton",2053,2031
Stuart Rosenberg,"Robert Redford,Yaphet Kotto,Morgan Freeman",2054,2032
Sydney Pollack,"Robert Redford,Jane Fonda,Valerie Perrine",2055,2033
Michael Chapman,"Daryl Hannah,Pamela Reed,James Remar",2056,2034
Ivan Reitman,"Robert Redford,Debra Winger,Daryl Hannah",2057,2035
Carl Gottlieb,"Ringo Starr,Dennis Quaid,Shelley Long",2058,2036
Ang Lee,"Suraj Sharma,Irrfan Khan,Adil Hussain",2059,2037
Kevin Reynolds,"Jim Caviezel,Guy Pearce,Richard Harris",2060,2038
Michael Anderson,"Michael York,Jenny Agutter,Richard Jordan",2061,2039
John Maybury,"Adrien Brody,Keira Knightley,Daniel Craig",2062,2040
"Simon Wells,Gore Verbinski","Guy Pearce,Yancey Arias,Mark Addy",2063,2041
Paul Verhoeven,"Kevin Bacon,Elisabeth Shue,Josh Brolin",2064,2042
Robert Lieberman,"Harley Jane Kozak,Jamey Sheridan,Ethan Embry",2065,2043
Ernie Barbarash,"Jean-Claude Van Damme,Joe Flanigan,Anna-Louise Plowman",2066,2044
William Friedkin,"Roy Scheider,Bruno Cremer,Francisco Rabal",2067,2045
William Friedkin,"William Petersen,Willem Dafoe,John Pankow",2068,2046
Baltasar Kormákur,"Jason Clarke,Ang Phula Sherpa,Thomas M. Wright",2069,2047
William Friedkin,"Michael Biehn,Alex McArthur,Nicholas Campbell",2070,2048
"Anthony Russo,Joe Russo",,2071,2049
Frank Capra,"Cary Grant,Priscilla Lane,Raymond Massey",2072,2050
Howard Hawks,"Katharine Hepburn,Cary Grant,Charles Ruggles",2073,2051
Howard Hawks,"Cary Grant,Jean Arthur,Rita Hayworth",2074,2052
Preston Sturges,"Barbara Stanwyck,Henry Fonda,Charles Coburn",2075,2053
Ernst Lubitsch,"Margaret Sullavan,James Stewart,Frank Morgan",2076,2054
Leo McCarey,"Irene Dunne,Cary Grant,Ralph Bellamy",2077,2055
Martha Coolidge,"Geena Davis,Stephen Rea,James Gandolfini",2078,2056
Gregory La Cava,"William Powell,Carole Lombard,Alice Brady",2079,2057
George Cukor,"Katharine Hepburn,Cary Grant,Doris Nolan",2080,2058
Ron Maxwell,"Tom Berenger,Martin Sheen,Stephen Lang",2081,2059
Ang Lee,"Eric Bana,Jennifer Connelly,Sam Elliott",2082,2060
Roland Emmerich,"Kurt Russell,James Spader,Jaye Davidson",2083,2061
"Ryan Page,Christopher Pomerenke","Lizzy Caplan,Ron Livingston,Joe Lo Truglio",2084,2062
Matthew Chapman,"Charlie Hunnam,Terrence Howard,Patrick Wilson",2085,2063
Stephen Gaghan,"Katie Holmes,Benjamin Bratt,Charlie Hunnam",2086,2064
Peter Hewitt,"Tom Courtenay,Michael Legge,Laura Fraser",2087,2065
Lexi Alexander,"Elijah Wood,Charlie Hunnam,Claire Forlani",2088,2066
Tom Donahue,"Deborah Aquila,Risa Bramon Garcia,Ellen Chenoweth",2089,2067
Douglas McGrath,"Charlie Hunnam,Jamie Bell,Christopher Plummer",2090,2068
Stefan Ruzowitzky,"Eric Bana,Olivia Wilde,Charlie Hunnam",2091,2069
Zack Snyder,"Gerard Butler,Lena Headey,David Wenham",2092,2070
David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman",2093,2071
Rob Marshall,"Johnny Depp,Penélope Cruz,Ian McShane",2094,2072
Peter Jackson,"Ian McKellen,Martin Freeman,Richard Armitage",2095,1197
Edward Buzzell,"Groucho Marx,Chico Marx,Harpo Marx",2096,2073
Francis Lawrence,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",2097,1200
Michael Mann,"Colin Farrell,Jamie Foxx,Li Gong",2098,2074
David Fincher,"Brad Pitt,Cate Blanchett,Tilda Swinton",2099,2075
Steven Spielberg,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",2100,2076
"Danny Boyle,Loveleen Tandan","Dev Patel,Freida Pinto,Saurabh Shukla",2101,2077
Nick Cassavetes,"Gena Rowlands,James Garner,Rachel McAdams",2102,2078
Jason Moore,"Anna Kendrick,Brittany Snow,Rebel Wilson",2103,2079
William Shatner,"William Shatner,Leonard Nimoy,DeForest Kelley",2104,2080
Carl Miller,Carl Ray Miller,2105,2081
Tommy Kraft,"Rico E. Anderson,Marc Bowers,Callie Bussell",2106,2082
Jean-Christophe Jeauffre,"Zachary Quinto,Charlotte Rampling,Pascal Lee",2107,2083
Justin Lin,"Zoe Saldana,Idris Elba,Chris Pine",2108,2084
Steve Barron,"Judith Hoag,Elias Koteas,Josh Pais",2109,2085
Justin Lin,"Vin Diesel,Paul Walker,Dwayne Johnson",2110,2086
Norman Z. McLeod,"Groucho Marx,Harpo Marx,The Marx Brothers",2111,2087
Henry Hathaway,"John Wayne,Kim Darby,Glen Campbell",2112,2088
Howard Hawks,"John Wayne,Dean Martin,Ricky Nelson",2113,2089
Burt Kennedy,"John Wayne,Kirk Douglas,Howard Keel",2114,2090
Stuart Millar,"John Wayne,Katharine Hepburn,Anthony Zerbe",2115,2091
Howard Hawks,"John Wayne,Jorge Rivero,Jennifer O'Neill",2116,2092
Barry Sonnenfeld,"Gene Hackman,Rene Russo,Danny DeVito",2117,2093
Andrew V. McLaglen,"John Wayne,Forrest Tucker,Christopher George",2118,2094
"George Sherman,John Wayne","John Wayne,Richard Boone,Maureen O'Hara",2119,2095
Jonathan Liebesman,"Megan Fox,Will Arnett,William Fichtner",2120,2096
Noam Murro,"Sullivan Stapleton,Eva Green,Lena Headey",2121,2097
Patrick Hughes,"Sylvester Stallone,Jason Statham,Jet Li",2122,2098
Michael Bay,"Will Smith,Martin Lawrence,Lisa Boyle",2123,2099
Michael Bay,"Will Smith,Martin Lawrence,Gabrielle Union",2124,2100
Brian De Palma,"Tom Cruise,Jon Voight,Emmanuelle Béart",2125,2101
Byron Haskin,"Gene Barry,Ann Robinson,Les Tremayne",2126,2102
Bryan Singer,"Tom Cruise,Bill Nighy,Carice van Houten",2127,2103
J.J. Abrams,"Tom Cruise,Michelle Monaghan,Ving Rhames",2128,2104
"Joel Coen,Ethan Coen","Tim Robbins,Paul Newman,Jennifer Jason Leigh",2129,2105
Paul Verhoeven,"Casper Van Dien,Denise Richards,Dina Meyer",2130,2106
"Robert Florey,Joseph Santley","Groucho Marx,Harpo Marx,Chico Marx",2131,2107
Simon West,"Nicolas Cage,John Cusack,John Malkovich",2132,2108
Michael Bay,"Ben Affleck,Kate Beckinsale,Josh Hartnett",2133,2109
James Mangold,"Hugh Jackman,Patrick Stewart",2134,2110
Rob Cohen,"Brendan Fraser,Jet Li,Maria Bello",2135,2111
Guillermo del Toro,"Wesley Snipes,Kris Kristofferson,Ron Perlman",2136,2112
Chuck Russell,"Dwayne Johnson,Steven Brand,Michael Clarke Duncan",2137,2113
Guillermo del Toro,"Ron Perlman,Doug Jones,Selma Blair",2138,2114
Guillermo del Toro,"Ron Perlman,Selma Blair,Doug Jones",2139,2115
Ron Howard,"Tom Hanks,Audrey Tautou,Jean Reno",2140,2116
Lee Tamahori,"Nicolas Cage,Julianne Moore,Jessica Biel",2141,2117
Michael Bay,"Sean Connery,Nicolas Cage,Ed Harris",2142,2118
"Jon Turtletaub,Jon Turteltaub","Nicolas Cage,Jay Baruchel,Alfred Molina",2143,2119
F. Gary Gray,"Donald Sutherland,Mark Wahlberg,Edward Norton",2144,2120
Doug Liman,"Hayden Christensen,Samuel L. Jackson,Jamie Bell",2145,2121
Paul W.S. Anderson,"Jason Statham,Joan Allen,Tyrese Gibson",2146,2122
"Louis Leterrier,Corey Yuen","Jason Statham,Qi Shu,Matt Schulze",2147,2123
David Koepp,"Johnny Depp,Maria Bello,John Turturro",2148,2124
Tim Burton,"Johnny Depp,Helena Bonham Carter,Alan Rickman",2149,2125
Tim Burton,"Johnny Depp,Michelle Pfeiffer,Eva Green",2150,2126
Michael Mann,"Christian Bale,Johnny Depp,David Wenham",2151,2127
Tom Hooper,"Colin Firth,Geoffrey Rush,Helena Bonham Carter",2152,2128
Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest",2153,2129
Dominic Sena,"John Travolta,Hugh Jackman,Halle Berry",2154,2130
Andrew Niccol,"Nicolas Cage,Ethan Hawke,Jared Leto",2155,2131
David S. Goyer,"Wesley Snipes,Kris Kristofferson,Parker Posey",2156,2132
Patrick Tatopoulos,"Rhona Mitra,Michael Sheen,Bill Nighy",2157,2133
Francis Ford Coppola,"Gary Oldman,Winona Ryder,Anthony Hopkins",2158,2134
"Måns Mårlind,Björn Stein","Kate Beckinsale,Michael Ealy,India Eisley",2159,2135
Steven Soderbergh,"George Clooney,Brad Pitt,Julia Roberts",2160,2136
Steven Soderbergh,"George Clooney,Brad Pitt,Julia Roberts",2161,2136
Steven Soderbergh,"George Clooney,Brad Pitt,Matt Damon",2162,2137
Guy Ritchie,"Robert Downey Jr.,Jude Law,Jared Harris",2163,2138
Lincoln Ruchti,"Ronald Bailey,Sam Blackburn,Leo Daniels",2164,2139
Ron Howard,"Tom Hanks,Ewan McGregor,Ayelet Zurer",2165,2140
Mark Steven Johnson,"Nicolas Cage,Eva Mendes,Sam Elliott",2166,2141
Clint Eastwood,"Angelina Jolie,Colm Feore,Amy Ryan",2167,2142
Sylvester Stallone,"Sylvester Stallone,Jason Statham,Jet Li",2168,2143
Henry Selick,"Dakota Fanning,Teri Hatcher,John Hodgman",2169,2144
Louis Leterrier,"Sam Worthington,Liam Neeson,Ralph Fiennes",2170,2145
Shane Acker,"Elijah Wood,Jennifer Connelly,Crispin Glover",2171,2146
Richard Lester,"Christopher Reeve,Richard Pryor,Margot Kidder",2172,2147
Joe Dante,"Zach Galligan,Phoebe Cates,Hoyt Axton",2173,2148
Ivan Reitman,"Bill Murray,Dan Aykroyd,Sigourney Weaver",2174,2149
Joel Schumacher,"Val Kilmer,Tommy Lee Jones,Jim Carrey",2175,2150
Joel Schumacher,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell",2176,2151
Bryan Singer,"Brandon Routh,Kevin Spacey,Kate Bosworth",2177,2152
Tim Burton,"Alec Baldwin,Geena Davis,Michael Keaton",2178,2153
"Richard Lester,Richard Donner","Gene Hackman,Christopher Reeve,Margot Kidder",2179,2154
Tim Burton,"Michael Keaton,Jack Nicholson,Kim Basinger",2180,2155
Ivan Reitman,"Bill Murray,Dan Aykroyd,Sigourney Weaver",2181,2149
Peter Lepeniotis,"Will Arnett,Brendan Fraser,Liam Neeson",2182,2156
Jimmy Hayward,"Woody Harrelson,Owen Wilson,Dan Fogler",2183,2157
John Glen,"Timothy Dalton,Robert Davi,Carey Lowell",2184,2158
Sam Wood,"Groucho Marx,Chico Marx,Harpo Marx",2185,2159
Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard",2186,2160
Steven Lisberger,"Jeff Bridges,Bruce Boxleitner,David Warner",2187,2161
Mike Newell,"Jake Gyllenhaal,Gemma Arterton,Ben Kingsley",2188,2162
Shawn Levy,"Hugh Jackman,Evangeline Lilly,Dakota Goyo",2189,2163
Andrew Stanton,"Taylor Kitsch,Lynn Collins,Willem Dafoe",2190,2164
D.J. Caruso,"Alex Pettyfer,Timothy Olyphant,Dianna Agron",2191,2165
Peter Weir,"Russell Crowe,Paul Bettany,Billy Boyd",2192,2166
Archie Mayo,"Groucho Marx,Harpo Marx,Chico Marx",2193,2167
Jerry Schatzberg,"Gene Hackman,Al Pacino,Dorothy Tristan",2194,2168
Warren Beatty,"Warren Beatty,Madonna,Al Pacino",2195,2169
Curtis Hanson,"Kevin Spacey,Russell Crowe,Guy Pearce",2196,2170
Charles Reisner,"Groucho Marx,Chico Marx,Harpo Marx",2197,2171
Bryan Singer,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",2198,2172
Guy Ritchie,"Jason Statham,Brad Pitt,Benicio Del Toro",2199,2173
Victor Heerman,"Groucho Marx,Harpo Marx,Chico Marx",2200,2174
Francis Ford Coppola,"Al Pacino,Diane Keaton,Andy Garcia",2201,2175
Ridley Scott,"Denzel Washington,Russell Crowe,Chiwetel Ejiofor",2202,2176
Edward Buzzell,"Groucho Marx,Chico Marx,Harpo Marx",2203,2073
William A. Seiter,"Groucho Marx,Harpo Marx,Chico Marx",2204,2177
Clint Eastwood,"Sean Penn,Tim Robbins,Kevin Bacon",2205,2178
Ben Affleck,"Morgan Freeman,Ed Harris,Casey Affleck",2206,2179
David Fincher,"Jodie Foster,Kristen Stewart,Forest Whitaker",2207,2180
Tony Scott,"Will Smith,Gene Hackman,Jon Voight",2208,2181
Andy Tennant,"Will Smith,Eva Mendes,Kevin James",2209,2182
Barry Sonnenfeld,"Will Smith,Kevin Kline,Kenneth Branagh",2210,2183
Gabriele Muccino,"Will Smith,Rosario Dawson,Woody Harrelson",2211,2184
Gabriele Muccino,"Will Smith,Thandie Newton,Jaden Smith",2212,2185
Robert Redford,"Will Smith,Matt Damon,Charlize Theron",2213,2186
Nicholas Hytner,"Daniel Day-Lewis,Winona Ryder,Paul Scofield",2214,2187
Steven Spielberg,"Daniel Day-Lewis,Sally Field,David Strathairn",2215,2188
"Sam Wood,Edmund Goulding","Groucho Marx,Chico Marx,Harpo Marx",2216,2189
Jim Sheridan,"Daniel Day-Lewis,Daragh Donnelly,Frank Coughlan",2217,2190
"Ford Beebe,B. Reeves Eason","Harry Carey,Hobart Bosworth,Frank Coghlan Jr.",2218,2191
Rebecca Miller,"Daniel Day-Lewis,Catherine Keener,Camilla Belle",2219,2192
Martin Scorsese,"Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder",2220,2193
Jim Sheridan,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",2221,2194
Martin Scorsese,"Leonardo DiCaprio,Cameron Diaz,Daniel Day-Lewis",2222,2195
Lewis Teague,"Michael Douglas,Kathleen Turner,Danny DeVito",2223,2196
Danny DeVito,"Michael Douglas,Kathleen Turner,Danny DeVito",2224,2197
Robert Zemeckis,"Michael Douglas,Kathleen Turner,Danny DeVito",2225,2198
Ridley Scott,"Michael Douglas,Andy Garcia,Ken Takakura",2226,2199
Adrian Lyne,"Robert Redford,Demi Moore,Woody Harrelson",2227,2200
Gary Fleder,"Michael Douglas,Sean Bean,Brittany Murphy",2228,2201
J.C. Chandor,"Zachary Quinto,Stanley Tucci,Kevin Spacey",2229,2202
Oliver Stone,"Aaron Taylor-Johnson,Taylor Kitsch,Blake Lively",2230,2203
Paul Greengrass,"Matt Damon,Jason Isaacs,Greg Kinnear",2231,2204
D.J. Caruso,"Shia LaBeouf,Michelle Monaghan,Rosario Dawson",2232,2205
D.J. Caruso,"Shia LaBeouf,David Morse,Carrie-Anne Moss",2233,2206
Robert Luketic,"Jim Sturgess,Kate Bosworth,Kevin Spacey",2234,2207
Douglas Sirk,"Rock Hudson,Lauren Bacall,Robert Stack",2235,2208
Adrian Lyne,"Mickey Rourke,Kim Basinger,Margaret Whitton",2236,2209
John McNaughton,"Kevin Bacon,Matt Dillon,Neve Campbell",2237,2210
Michael Caton-Jones,"Sharon Stone,David Morrissey,David Thewlis",2238,2211
Phillip Noyce,"Sharon Stone,William Baldwin,Tom Berenger",2239,2212
Chris Columbus,"Elisabeth Shue,Maia Brewton,Keith Coogan",2240,2213
Andrew Bergman,"Demi Moore,Burt Reynolds,Armand Assante",2241,2214
Steven Soderbergh,"Julia Ormond,Benicio Del Toro,Oscar Isaac",2242,2215
Alejandro González Iñárritu,"Sean Penn,Benicio Del Toro,Naomi Watts",2243,2216
Alejandro González Iñárritu,"Brad Pitt,Cate Blanchett,Gael García Bernal",2244,2217
Antoine Fuqua,"Denzel Washington,Ethan Hawke,Scott Glenn",2245,2218
Spike Lee,"Edward Norton,Barry Pepper,Philip Seymour Hoffman",2246,2219
Alfred Hitchcock,"James Stewart,Doris Day,Brenda de Banzie",2247,2220
Oliver Stone,"Tariq Ali,Raúl Castro,Hugo Chávez",2248,2221
Oliver Stone,"Michael Caine,Andrea Marcovicci,Annie McEnroe",2249,2222
Oliver Stone,"James Woods,James Belushi,Michael Murphy",2250,2223
Oliver Stone,"Fidel Castro,Oliver Stone,Juanita Vera",2251,2224
Oliver Stone,"Jonathan Frid,Martine Beswick,Joseph Sirola",2252,2225
Oliver Stone,"Sean Penn,Jennifer Lopez,Nick Nolte",2253,2226
Ron Howard,"Frank Langella,Michael Sheen,Kevin Bacon",2254,2227
"Robert Pulcini,Shari Springer Berman","Paul Giamatti,Shari Springer Berman,Harvey Pekar",2255,2228
Rob Reiner,"Michael Douglas,Annette Bening,Martin Sheen",2256,2229
David Lynch,"Bill Pullman,Patricia Arquette,John Roselius",2257,2230
David Lynch,"Jack Nance,Charlotte Stewart,Allen Joseph",2258,2231
Martin Scorsese,"Paul Newman,Tom Cruise,Mary Elizabeth Mastrantonio",2259,2232
Rob Reiner,"Tom Cruise,Jack Nicholson,Demi Moore",2260,2233
Barry Levinson,"Dustin Hoffman,Tom Cruise,Valeria Golino",2261,2234
Tony Scott,"Tom Cruise,Nicole Kidman,Robert Duvall",2262,2235
Paul Brickman,"Tom Cruise,Rebecca De Mornay,Joe Pantoliano",2263,2236
Harold Becker,"George C. Scott,Timothy Hutton,Ronny Cox",2264,2237
Roger Donaldson,"Tom Cruise,Bryan Brown,Elisabeth Shue",2265,2238
Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman",2266,2239
Cameron Crowe,"Tom Cruise,Cuba Gooding Jr.,Renée Zellweger",2267,2240
Pete Travis,"Dennis Quaid,Forest Whitaker,Matthew Fox",2268,2241
Robert Schwentke,"Jodie Foster,Peter Sarsgaard,Sean Bean",2269,2242
Richard Donner,"Bruce Willis,Yasiin Bey,David Morse",2270,2243
Paul McGuigan,"Josh Hartnett,Ben Kingsley,Morgan Freeman",2271,2244
Martin McDonagh,"Colin Farrell,Brendan Gleeson,Ciarán Hinds",2272,2245
Bob Rafelson,"Jack Nicholson,Bruce Dern,Ellen Burstyn",2273,2246
Rob Cohen,"Vin Diesel,Asia Argento,Marton Csokas",2274,2247
Lee Tamahori,"Ice Cube,Samuel L. Jackson,Willem Dafoe",2275,2248
Sean Donnelly,"Kelly McCormick,Tiffany,Jeff Turner",2276,2249
James Westby,"Bill Hader,John Waters,Gus Van Sant",2277,2250
"Angela Christlieb,Stephen Kijak","Jack Angstreich,Eric Chadbourne,Bill Heidbreder",2278,2251
Kirby Dick,"Kirby Dick,Kimberly Peirce,Darren Aronofsky",2279,2252
"Andrew James,Joshua Ligairi","Ray Lines,Allan Erb,Scott Nybo",2280,2253
David Lynch,"Laura Dern,Jeremy Irons,Justin Theroux",2281,2254
James Westby,"Melik Malkasian,Denise Chanterelle DuBois,Loren Hoskins",2282,2255
James Westby,"Katie O'Grady,John Keyser,Storm Large",2283,2256
Mike Judge,"Jason Bateman,Kristen Wiig,Ben Affleck",2284,2257
Jordan Susman,"Devon Gummersall,Dylan Bruno,Gina Philips",2285,2258
James Westby,Melik Malkasian,2286,2259
Woody Allen,"Woody Allen,Diane Keaton,Georges Adet",2287,2260
"Hironobu Sakaguchi,Motonori Sakakibara","Alec Baldwin,Steve Buscemi,Ming-Na Wen",2288,2261
Tom DiCillo,"Johnny Depp,John Densmore,Robby Krieger",2289,2262
David Lynch,"Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz",2290,2263
David Lynch,"Nicolas Cage,Laura Dern,Willem Dafoe",2291,2264
Rob Cohen,"Dennis Quaid,Sean Connery,Dina Meyer",2292,2265
Ridley Scott,"Russell Crowe,Cate Blanchett,Matthew Macfadyen",2293,2266
Jon Amiel,"Sean Connery,Catherine Zeta-Jones,Ving Rhames",2294,2267
Jerry Zucker,"Sean Connery,Richard Gere,Julia Ormond",2295,2268
Ron Shelton,"Kevin Costner,Rene Russo,Don Johnson",2296,2269
Lawrence Kasdan,"Kevin Costner,Dennis Quaid,Gene Hackman",2297,2270
Kevin Costner,"Kevin Costner,Will Patton,Larenz Tate",2298,2271
Costa-Gavras,"Jack Lemmon,Sissy Spacek,Melanie Mayron",2299,2272
Frank Darabont,"Thomas Jane,Marcia Gay Harden,Laurie Holden",2300,2273
Brian DePalma,"Sissy Spacek,Piper Laurie,Amy Irving",2301,2274
Daniel Stamm,"Patrick Fabian,Ashley Bell,Iris Bahr",2302,2275
Mary Lambert,"Dale Midkiff,Denise Crosby,Fred Gwynne",2303,2276
Taylor Hackford,"Kathy Bates,Jennifer Jason Leigh,Christopher Plummer",2304,2277
George Huang,"Kevin Spacey,Frank Whaley,Michelle Forbes",2305,2278
John Carpenter,"Keith Gordon,John Stockwell,Alexandra Paul",2306,2279
George Stevens,"Fred Astaire,Ginger Rogers,Victor Moore",2307,2280
Kenneth Branagh,"Alessandro Nivola,Alicia Silverstone,Natascha McElhone",2308,2281
Lloyd Bacon,"James Cagney,Joan Blondell,Ruby Keeler",2309,2282
Robert Rodriguez,"Antonio Banderas,Salma Hayek,Joaquim de Almeida",2310,2283
Robert Rodriguez,"Rose McGowan,Freddy Rodríguez,Josh Brolin",2311,2284
Howard Hawks,"Gary Cooper,Walter Brennan,Joan Leslie",2312,2285
"Allison Anders,Alexandre Rockwell","Tim Roth,Amanda De Cadenet,David Proval",2313,2286
"Robert Rodriguez,Eli Roth,Quentin Tarantino,Edgar Wright,Rob Zombie","Kurt Russell,Rose McGowan,Danny Trejo",2314,2287
"Ethan Maniquis,Robert Rodriguez","Danny Trejo,Michelle Rodriguez,Robert De Niro",2315,2288
Robert Rodriguez,"Harvey Keitel,George Clooney,Juliette Lewis",2316,2289
Quentin Tarantino,"Pam Grier,Samuel L. Jackson,Robert Forster",2317,2290
Robert Rodriguez,"Antonio Banderas,Salma Hayek,Johnny Depp",2318,2291
Anthony Minghella,"Ralph Fiennes,Juliette Binoche,Willem Dafoe",2319,2292
Paul Haggis,"Don Cheadle,Sandra Bullock,Thandie Newton",2320,2293
Demian Lichtenstein,"Kurt Russell,Kevin Costner,Courteney Cox",2321,2294
Clint Eastwood,"Kevin Costner,Clint Eastwood,Laura Dern",2322,2295
Roger Donaldson,"Kevin Costner,Gene Hackman,Sean Young",2323,2296
Tom Shadyac,"Kevin Costner,Susanna Thompson,Joe Morton",2324,2297
Andrew Davis,"Kevin Costner,Ashton Kutcher,Sela Ward",2325,2298
Joshua Michael Stern,"Kevin Costner,Paula Patton,Kelsey Grammer",2326,2299
Kevin Costner,"Kevin Costner,Robert Duvall,Diego Luna",2327,2300
Sam Raimi,"Kevin Costner,Kelly Preston,John C. Reilly",2328,2301
John McTiernan,"Sean Connery,Alec Baldwin,Scott Glenn",2329,2302
Richard Donner,"Mel Gibson,Danny Glover,Gary Busey",2330,2303
Andrew Davis,"Steven Seagal,Gary Busey,Tommy Lee Jones",2331,2304
Stuart Baird,"Tommy Lee Jones,Wesley Snipes,Robert Downey Jr.",2332,2305
Alan J. Pakula,"Harrison Ford,Raul Julia,Greta Scacchi",2333,2306
Peter Weir,"Harrison Ford,Kelly McGillis,Lukas Haas",2334,2307
Phillip Noyce,"Harrison Ford,Sean Bean,Anne Archer",2335,2308
Phillip Noyce,"Harrison Ford,Willem Dafoe,Anne Archer",2336,2309
Wolfgang Petersen,"Harrison Ford,Gary Oldman,Glenn Close",2337,2310
John Frankenheimer,"Robert De Niro,Jean Reno,Natascha McElhone",2338,2311
Martin Scorsese,"Robert De Niro,Nick Nolte,Jessica Lange",2339,2312
Sam Mendes,"Tom Hanks,Tyler Hoechlin,Rob Maxey",2340,2313
Dennis Lee,"Ryan Reynolds,Willem Dafoe,Emily Watson",2341,2314
Martin Scorsese,"Harvey Keitel,Zina Bethune,Anne Collette",2342,2315
Martin Scorsese,"Barbara Hershey,David Carradine,Barry Primus",2343,2316
"David Brooks,Paul Carafotes","Steven R. McQueen,Joe Mantegna,Michael Rispoli",2344,2317
Paul Greengrass,"David Alan Basche,Olivia Thirlby,Liza Colón-Zayas",2345,2318
John Woo,"Nicolas Cage,Adam Beach,Peter Stormare",2346,2319
"Oxide Pang Chun,Danny Pang","Nicolas Cage,Charlie Yeung,Shahkrit Yamnarm",2347,2320
Brett Ratner,"Nicolas Cage,Téa Leoni,Don Cheadle",2348,2321
Gore Verbinski,"Nicolas Cage,Hope Davis,Nicholas Hoult",2349,2322
Dito Montiel,"Channing Tatum,Terrence Howard,Luis Guzmán",2350,2323
