journal_issn,article_jcreated_at,original_index,unique_index
1123-6337 (Print) 1123-6337,1/1/10,941,678
-5990,,942,679
1364-6915,5/1/11,943,680
1464-0325,1/1/09,944,681
,1/1/11,945,14
,1/1/76,946,682
,,947,45
,,948,45
,1/1/12,949,23
1932-6203,1/1/14,950,502
,1/1/14,951,122
,,952,45
1476-5497,5/1/10,953,683
0893-133X,1/1/10,954,684
1538-7933,,955,685
0272-4944,1/1/05,956,686
1531-698X,10/1/13,957,687
1539-3704,1/1/95,958,688
1432-1076,5/1/15,959,689
,1/1/15,960,95
0951-418X,6/1/05,961,690
0966-6362 DO  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,1/1/14,962,691
0951-7375,1/1/94,963,692
2162-3279,1/1/13,964,693
1535-5667,8/1/13,965,694
0935-8943,10/1/03,966,695
1049-2089,1/1/13,967,696
0300-8843,1/1/91,968,697
,1/1/91,969,384
,1/1/13,970,3
0021-9525,1/1/13,971,698
1175-3277,1/1/07,972,699
1432-2048,6/1/14,973,700
1557-8674,10/1/14,974,701
1878-5867,9/1/15,975,702
,,976,45
1460-2091,11/1/10,977,703
,1/1/93,978,249
1945-7170,7/1/12,979,704
,8/1/09,980,705
0009-9201 (Print) 0009-9201,1/1/86,981,706
0300-5771 (Print) 0300-5771,1/1/10,982,707
Feb-65,2/1/01,983,708
1083-8791,1/1/13,984,709
0007-0912,1/1/90,985,710
,1/1/13,986,3
0950-9240 (Print) 0950-9240,1/1/99,987,711
,1/1/05,988,119
1600-0455,9/1/14,989,712
Feb-65,1/1/00,990,713
1535-4970,11/1/13,991,714
1423-0380,4/1/14,992,715
,1/1/14,993,122
0305-4179,6/1/02,994,716
0003-0805 (Print) 0003-0805,1/1/91,995,717
,1/1/07,996,53
2154-4212,10/27/14,997,718
-4473,1/1/11,998,719
,1/1/12,999,23
