beer_name,ounces,original_index,unique_index,count
Dankosaurus,16.0 oz,567,564,1
Scruffy's Smoked Alt,16.0 oz.,568,565,1
Elliott's Phoned Home Pale Ale,16.0 oz,569,566,1
The Lawn Ranger,16.0 oz.,570,567,1
All American Blonde Ale,12.0 ounce,571,568,1
All American Red Ale,12.0 oz,572,569,1
Main St. Virginia Ale,12.0 ounce,573,570,2
Chin Music Amber Lager,12.0 oz. Alumi-Tek,574,571,1
Main St. Virginia Ale,12.0 ounce,575,570,2
Ray Ray’s Pale Ale,12.0 OZ.,576,572,1
Chai Ale,16.0 oz,577,573,1
Lucky Day IPA,16.0 oz.,578,574,1
Terrace Hill Double IPA,16.0 oz.,579,575,1
Catch 23,16.0 oz,580,576,1
Stickin' In My Rye,24.0 oz,581,577,1
Black Me Stout,12.0 OZ.,582,578,1
Killer Kolsch,12.0 oz,583,579,1
Missile IPA,12.0 oz,584,580,1
Enlighten,16.0 oz. Alumi-Tek,585,581,1
Ale Cider,16.0 oz. Alumi-Tek,586,582,1
Pail Ale,16.0 oz.,587,583,1
Englishman,16.0 oz.,588,584,1
8 Barrel,16.0 ounce,589,585,1
Oktoberfest,16.0 ounce,590,586,1
IPA #11,16.0 oz,591,587,1
Blood Orange Honey,16.0 oz.,592,588,1
Lighthouse Amber,16.0 ounce,593,589,1
Bay of Bengal Double IPA (2014),12.0 oz.,594,590,1
Churchkey Pilsner Style Beer,12.0 oz,595,591,1
First Press,12.0 oz.,596,592,1
Magic Apple,12.0 ounce,597,593,1
Cubano Espresso,12.0 oz.,598,594,1
Operation Homefront,12.0 oz,599,595,1
Wandering Pelican,12.0 oz.,600,596,1
Sugar Plum,12.0 oz,601,597,1
Oktoberfest,12.0 oz.,602,598,2
Puppy's Breath Porter,12.0 oz.,603,599,1
Happening Now,12.0 oz. Alumi-Tek,604,600,1
Hopped on the High Seas (Hop #529),12.0 oz. Silo Can,605,601,1
Hopped on the High Seas (Calypso),12.0 ounce,606,602,1
Wiregrass Post-Prohibition Ale,12.0 oz. Alumi-Tek,607,603,1
Dry-Hopped On The High Seas Caribbean-Style IPA,12.0 oz.,608,604,1
Hopped on the High Seas (Citra),12.0 ounce,609,605,1
Hopped on the High Seas (Ahtanum),12.0 oz.,610,606,1
Gwar Beer,12.0 oz.,611,607,1
Tropical Heatwave,16.0 oz,612,608,1
Humidor Series India Pale Ale,12.0 oz,613,609,1
Jai Alai IPA Aged on White Oak,12.0 ounce,614,610,1
José Martí American Porter,12.0 oz,615,611,1
Invasion Pale Ale,12.0 oz,616,612,1
Maduro Brown Ale,12.0 ounce,617,613,1
Maduro Brown Ale,12.0 oz,618,614,1
Hotter Than Helles Lager,12.0 oz.,619,615,1
Tocobaga Red Ale,12.0 oz,620,616,1
Jai Alai IPA,12.0 oz,621,617,1
Florida Cracker Belgian Wit,12.0 oz. Alumi-Tek,622,618,1
Shark Tracker Light lager,12.0 oz.,623,619,1
Pumple Drumkin,12.0 oz,624,620,1
Grey Lady,12.0 oz.,625,621,1
Summer of Lager,12.0 oz.,626,622,1
Indie Pale Ale,12.0 oz,627,623,1
Sankaty Light Lager,12.0 oz.,628,624,1
Whale's Tale Pale Ale,12.0 oz.,629,625,1
Jacaranada Rye IPA,16.0 oz.,630,626,1
Cascadian Dark Ale,12.0 oz,631,627,1
Wheat the People,16.0 oz,632,628,1
Tybee Island Blonde,12.0 oz,633,629,1
Savannah Brown Ale,12.0 ounce,634,630,1
Rhode Island Blueberry,12.0 ounce,635,631,1
Newport Storm IPA,12.0 ounce,636,632,1
Hurricane Amber Ale (2004),12.0 oz.,637,633,1
Hurricane Amber Ale,12.0 oz,638,634,1
Big Blue Van,16.0 OZ.,639,635,1
Des Moines IPA,16.0 ounce,640,636,1
Capital Gold Golden Lager,16.0 ounce,641,637,1
Farmer John's Multi-Grain Ale,16.0 oz.,642,638,1
Behemoth,12.0 oz.,643,639,1
Arkansas Red,12.0 oz,644,640,1
Core Oatmeal Stout,12.0 ounce,645,641,1
Core ESB,12.0 oz.,646,642,1
Chester's Beer (2005),12.0 oz,647,643,1
Heiner Brau Kölsch,12.0 ounce,648,644,1
Trigger Blonde Ale,16.0 oz.,649,645,1
Crabtree Oatmeal Stout,16.0 oz,650,646,1
Eclipse Black IPA,16.0 oz.,651,647,1
Neomexicanus Native,12.0 OZ.,652,648,1
Old Soul,12.0 oz,653,649,1
Snowcat Coffee Stout,12.0 oz. Alumi-Tek,654,650,1
WinterWonderGrass Festival Ale,12.0 oz.,655,651,1
Boohai Red Ale,12.0 ounce,656,652,1
Lava Lake Wit,12.0 oz.,657,653,1
Mountain Livin' Pale Ale,12.0 ounce,658,654,1
Crazy Mountain Amber Ale,12.0 ounce,659,655,1
Tropicalia,12.0 oz.,660,656,1
Athena,12.0 ounce,661,657,1
Aviator Raspberry Blonde,12.0 oz.,662,658,1
3 Picket Porter,12.0 oz.,663,659,1
Rusty Nail Pale Ale,12.0 oz,664,660,1
Red Water Irish Style Red,12.0 OZ.,665,661,1
Mjöllnir,12.0 oz,666,662,1
Bear Butte Nut Brown Ale,12.0 oz.,667,663,1
Easy Livin' Summer Ale,12.0 oz,668,664,1
Canyon Cream Ale,12.0 ounce,669,665,1
Pile O'Dirt Porter,12.0 oz,670,666,1
11th Hour IPA,12.0 oz.,671,667,1
South Ridge Amber Ale,16.0 oz.,672,668,1
Summertime Ale,16.0 oz,673,669,1
Lost River Blonde Ale,16.0 oz,674,670,1
Monon Wheat,16.0 oz.,675,671,1
Floyd's Folly,16.0 oz,676,672,1
Half Court IPA,16.0 oz.,677,673,1
Geary's Pale Ale,12.0 oz,678,674,1
Geary's Summer Ale,12.0 oz. Alumi-Tek,679,675,1
Stone of Arbroath,12.0 oz,680,676,1
The Tradition,12.0 oz,681,677,1
El Hefe Speaks,12.0 oz,682,678,1
Penn Quarter Porter,12.0 oz.,683,679,1
On the Wings of Armageddon,12.0 oz.,684,680,1
The Corruption,12.0 oz.,685,681,1
The Citizen,12.0 ounce,686,682,1
The Public,12.0 oz,687,683,1
Dank IPA,16.0 oz.,688,684,1
Dank IPA (2012),16.0 ounce,689,685,1
Lift Off IPA,16.0 ounce,690,686,1
BrewFarm Select Golden Lager,12.0 oz.,691,687,1
Sprocket Blonde Ale (2006),12.0 oz,692,688,1
Sprocket Pale Ale (2006),12.0 oz,693,689,1
Dead Armadillo Amber Ale,12.0 ounce,694,690,1
Neato Bandito,12.0 ounce,695,691,1
Oak Cliff Coffee Ale,12.0 oz.,696,692,1
Dream Crusher Double IPA,12.0 oz,697,693,1
Deep Ellum Pale Ale,12.0 oz,698,694,1
Double Brown Stout,12.0 oz.,699,695,1
Farmhouse Wit,16.0 oz,700,696,1
Rye Pils Session Lager,12.0 oz.,701,697,1
Dallas Blonde,12.0 oz.,702,698,1
Deep Ellum IPA,12.0 oz,703,699,1
Thrasher Session India Pale Ale,12.0 oz,704,700,1
Gutch English Style Mild Ale,12.0 oz,705,701,1
Chuli Stout,12.0 ounce,706,702,1
Mother Ale,12.0 oz.,707,703,1
Twister Creek India Pale Ale,12.0 oz,708,704,1
Single Engine Red,12.0 oz,709,705,1
Incredible Pedal IPA,12.0 oz,710,706,1
Graham Cracker Porter,12.0 oz.,711,707,1
Mirror Pond Pale Ale,12.0 oz.,712,708,1
Weissenheimer,12.0 oz,713,709,1
Abbey's Single (2015- ),12.0 OZ.,714,710,1
Vertex IPA,12.0 ounce,715,711,1
Here Gose Nothin',12.0 OZ.,716,712,1
Strawberry Blonde,12.0 oz.,717,713,1
Hoperation Overload,12.0 oz.,718,714,1
Abbey's Single Ale (Current),12.0 ounce,719,715,1
Bravo Four Point,12.0 oz.,720,716,1
Striped Bass Pale Ale,12.0 OZ.,721,717,1
Deadicated Amber,16.0 oz.,722,718,1
Kaleidoscope Collaboration 2012,16.0 OZ.,723,719,1
California Sunshine Rye IPA,16.0 oz,724,720,1
Full Boar Scotch Ale,16.0 oz,725,721,1
12 Man Pale Ale,12.0 oz.,726,722,1
Filthy Hoppin' IPA,16.0 ounce,727,723,1
Dock Street Amber Beer (1992),12.0 OZ.,728,724,1
Dolores River Hefeweizen,16.0 oz. Alumi-Tek,729,725,1
Dolores River ESB,16.0 oz.,730,726,1
Snaggletooth Double Pale Ale,16.0 ounce,731,727,1
Dolores River Pale Ale,16.0 oz,732,728,1
Dolores River Dry Stout,16.0 ounce,733,729,1
Dolores River Mild,16.0 oz,734,730,1
Cranberry Blend,12.0 oz,735,731,1
Orignal Blend,12.0 oz,736,732,1
Hop Abomination,12.0 OZ.,737,733,1
Apricot Blonde,12.0 ounce,738,734,1
Dry Dock Hefeweizen,12.0 oz,739,735,1
Dry Dock Amber Ale,12.0 ounce,740,736,1
Category 3 IPA,12.0 ounce,741,737,1
Dundee Summer Wheat Beer,12.0 oz.,742,738,1
Pumpkin Patch Ale,16.0 ounce,743,739,1
Crank Yanker IPA,16.0 ounce,744,740,1
River Runners Pale Ale,16.0 OZ.,745,741,1
Pumpkin Patch Ale (2012),16.0 oz.,746,742,1
Mountain Fairy Raspberry Wheat,16.0 ounce,747,743,1
Boater Beer,16.0 ounce,748,744,1
Crank Yanker IPA (2011),16.0 oz,749,745,1
Bleeding Buckeye Red Ale,16.0 oz.,750,746,1
Dottie Seattle Lager,16.0 oz. Silo Can,751,747,1
Nut Sack Imperial Brown Ale,12.0 ounce,752,748,1
Underachiever,16.0 ounce,753,749,1
Lil' Brainless Raspberries,12.0 oz. Alumi-Tek,754,750,1
Element 29,12.0 oz,755,751,1
Hop Syndrome,12.0 oz.,756,752,1
Escape to Colorado,12.0 oz.,757,753,1
Little Sister India Style Session Ale,12.0 ounce,758,754,1
Country Boy IPA,12.0 oz.,759,755,1
Blonde Czich,16.0 ounce,760,756,1
White Reaper,16.0 ounce,761,757,1
Bobblehead,16.0 oz.,762,758,1
Lucky Dog,16.0 oz.,763,759,1
Voodoo,16.0 oz,764,760,1
General George Patton Pilsner,16.0 oz,765,761,1
Nomader Weiss,12.0 oz,766,762,1
Molotov Lite,16.0 oz.,767,763,1
Hipster Ale (Two Roads Brewing),12.0 oz.,768,764,1
Bikini Beer,12.0 oz,769,765,1
Hipster Ale (Westbrook Brewing),12.0 oz.,770,766,1
Iron Horse Pale Ale,12.0 oz.,771,767,1
Stone's Throw IPA,12.0 oz.,772,768,1
Wood Chipper India Pale Ale,12.0 oz,773,769,1
Trail Head,12.0 oz,774,770,1
Hop Stalker Fresh Hop IPA,16.0 oz.,775,771,1
Sudice American Stout,16.0 oz,776,772,1
Parcae Belgian Style Pale Ale,16.0 oz.,777,773,1
Norns Roggenbier,16.0 oz.,778,774,1
Laimas Kölsch Style Ale,16.0 oz,779,775,1
Moirai India Pale Ale,16.0 ounce,780,776,1
Loki Red Ale,16.0 ounce,781,777,1
Peaches & Cream,16.0 oz.,782,778,1
Quaff India Style Session Ale,16.0 OZ.,783,779,1
Loki Red Ale (2013),16.0 OZ.,784,780,1
Mjolnir Imperial IPA,16.0 oz,785,781,1
Fearless Scottish Ale,16.0 ounce,786,782,1
Mastermind,12.0 oz.,787,783,1
Hyzer Flip,16.0 oz.,788,784,1
Second Fiddle,16.0 oz.,789,785,1
Hodad Porter,16.0 oz.,790,786,1
Weiss Weiss Baby,12.0 oz.,791,787,1
Czech Yo Self,12.0 oz.,792,788,1
FMB 101,12.0 oz.,793,789,1
Hardcore Chimera,16.0 oz.,794,790,1
Sobek & Set,16.0 ounce,795,791,1
Nuclear Winter,16.0 oz.,796,792,1
Wet Hot American Wheat Ale,16.0 ounce,797,793,1
Secret Stache Stout,16.0 oz.,798,794,1
Fascist Pig Ale,16.0 oz. Alumi-Tek,799,795,1
Cut Throat Pale Ale,16.0 ounce,800,796,1
Threadless IPA,16.0 ounce,801,797,1
Cut Throat Pale Ale (2011),16.0 oz,802,798,1
Golden Wing Blonde Ale,16.0 oz,803,799,1
Easy Jack,12.0 oz,804,800,1
Union Jack,12.0 oz.,805,801,1
Pivo Pils,12.0 oz.,806,802,1
805 Blonde Ale,12.0 oz,807,803,1
805,12.0 oz,808,804,1
Deflator,16.0 oz.,809,805,1
Hinchtown Hammer Down,16.0 ounce,810,806,1
Half Cycle IPA,16.0 ounce,811,807,1
Inclined Plane Ale,12.0 ounce,812,808,1
Moped Traveler,16.0 oz,813,809,1
Snake Dog IPA,12.0 ounce,814,810,1
Underdog Atlantic Lager,12.0 oz.,815,811,1
Flying Mouse 8,12.0 oz.,816,812,1
Flying Mouse 4,12.0 ounce,817,813,1
La Ferme Urbaine Farmhouse Ale,12.0 oz. Alumi-Tek,818,814,1
Backyahd IPA,12.0 oz,819,815,1
Raincloud Robust Porter,12.0 ounce,820,816,1
Barstool American Golden Ale,12.0 oz,821,817,1
What the Butler Saw,12.0 oz.,822,818,1
1916 Shore Shiver,12.0 oz.,823,819,1
Quick WIT,12.0 oz.,824,820,1
The Optimist,12.0 ounce,825,821,1
Suicide Squeeze IPA,16.0 oz.,826,822,1
Java the Hop,16.0 oz.,827,823,1
Next Adventure Black IPA,16.0 oz.,828,824,1
3-Way IPA (2013),16.0 ounce,829,825,1
Tender Loving Empire NWPA,16.0 oz.,830,826,1
Quick Wit Belgianesque Ale,16.0 oz.,831,827,1
Sunrise Oatmeal Pale Ale,16.0 oz,832,828,1
Cavatica Stout,16.0 ounce,833,829,1
1811 Lager,16.0 oz,834,830,1
Vortex IPA,16.0 ounce,835,831,1
Fort Pitt Ale,12.0 oz.,836,832,1
Park,12.0 oz.,837,833,1
Westfalia,12.0 ounce,838,834,1
KSA,12.0 oz,839,835,1
Villager,12.0 oz,840,836,1
Dirty Bastard,12.0 ounce,841,837,1
Centennial IPA,12.0 oz.,842,838,1
All Day IPA,12.0 oz.,843,839,1
El Chingon IPA,12.0 oz,844,840,1
Block Party Robust Porter,12.0 ounce,845,841,1
Local Buzz,12.0 oz,846,842,1
Feel Like Maplin' Love,16.0 oz,847,843,1
Father's Beer,16.0 ounce,848,844,1
The 26th,16.0 oz.,849,845,1
The Gadget,16.0 oz. Alumi-Tek,850,846,1
Leprechaun Lager,12.0 oz. Alumi-Tek,851,847,1
Sunbru Kölsch,12.0 oz,852,848,2
Kilt Lifter Scottish-Style Ale,12.0 oz,853,849,1
Pumpkin Porter,12.0 oz.,854,850,1
Four Peaks Peach Ale,12.0 oz.,855,851,1
Hop Knot IPA,12.0 oz,856,852,1
Kilt Lifter Scottish-Style Ale (2009),12.0 oz.,857,853,1
Sunbru Kölsch,12.0 oz,858,848,2
Four String Vanilla Porter,12.0 ounce,859,854,1
Suncaster Summer Wheat,12.0 oz.,860,855,1
Brass Knuckle Pale Ale,12.0 oz. Alumi-Tek,861,856,1
Big Star White IPA,12.0 ounce,862,857,1
Old Detroit,12.0 oz.,863,858,1
Batch 69 IPA,12.0 oz. Alumi-Tek,864,859,1
Twisted Helles Summer Lager,12.0 ounce,865,860,1
OktoberFiesta,12.0 oz. Alumi-Tek,866,861,1
Texicali,12.0 oz.,867,862,1
Pinata Protest,12.0 oz.,868,863,1
Bat Outta Helles,12.0 oz.,869,864,1
Original,12.0 oz.,870,865,1
Rye Wit,12.0 ounce,871,866,1
Soul Doubt,12.0 oz,872,867,1
Yo Soy Un Berliner,12.0 ounce,873,868,1
77 Fremont Select Spring Session IPA,12.0 ounce,874,869,1
Fremont Organic Pale Ale,12.0 oz,875,870,1
Abominable Ale,12.0 ounce,876,871,1
Harvest Ale,12.0 oz,877,872,1
Fremont Summer Ale,12.0 oz,878,873,1
Universale Pale Ale,12.0 oz.,879,874,1
Interurban IPA,12.0 oz,880,875,1
Gateway Kolsch Style Ale,12.0 oz.,881,876,1
Wee-Heavy-Er Scotch Ale,12.0 oz,882,877,1
13 Rebels ESB,12.0 oz.,883,878,1
Salamander Slam,16.0 oz. Alumi-Tek,884,879,1
Cack-A-Lacky,12.0 OZ.,885,880,1
No Wake IPA,12.0 oz.,886,881,1
Boathouse Blonde,12.0 ounce,887,882,1
Cedar Point,12.0 ounce,888,883,1
Clean Shave IPA,12.0 oz,889,884,1
Might As Well IPL,16.0 oz,890,885,1
Saison Pamplemousse,12.0 OZ.,891,886,1
2020 IPA,16.0 oz.,892,887,1
Wolf Among Weeds IPA,16.0 oz.,893,888,1
Better Weather IPA,16.0 oz,894,889,1
Point the Way IPA,16.0 oz.,895,890,1
Golden Road Hefeweizen,16.0 ounce,896,891,1
Heal the Bay IPA,16.0 oz,897,892,1
Point the Way IPA,12.0 oz,898,893,1
Cabrillo Kölsch,16.0 oz,899,894,1
Get Up Offa That Brown,16.0 oz.,900,895,1
Burning Bush Smoked IPA,16.0 oz.,901,896,1
Wolf Among Weeds IPA (2012),16.0 oz.,902,897,1
Point the Way IPA (2012),16.0 oz.,903,898,1
Golden Road Hefeweizen (2012),16.0 ounce,904,899,1
Vanilla Porter,16.0 ounce,905,900,1
Descender IPA,12.0 ounce,906,901,1
Sweet As Pacific Ale,12.0 oz.,907,902,1
Good People Pale Ale,12.0 oz.,908,903,1
Snake Handler Double IPA,12.0 oz,909,904,1
Coffee Oatmeal Stout,12.0 oz.,910,905,1
Good People IPA,12.0 ounce,911,906,1
Good People American Brown Ale,12.0 ounce,912,907,1
Mountain Rescue Pale Ale,12.0 OZ.,913,908,1
Goose Island India Pale Ale,12.0 oz.,914,909,1
312 Urban Pale Ale,16.0 oz.,915,910,1
312 Urban Pale Ale,12.0 oz.,916,911,1
312 Urban Wheat Ale,16.0 oz,917,912,1
312 Urban Wheat Ale,12.0 ounce,918,913,1
312 Urban Wheat Ale (2012),12.0 oz.,919,914,1
Beaver Logger,12.0 ounce,920,915,1
White Water Wheat,12.0 oz.,921,916,1
Grand Canyon American Pilsner,12.0 oz.,922,917,1
Grand Canyon Sunset Amber Ale,12.0 oz. Silo Can,923,918,1
Black Iron India Pale Ale,12.0 oz.,924,919,1
Monarch Classic American Wheat,12.0 oz.,925,920,1
Sir William's English Brown Ale,12.0 oz.,926,921,1
Lakefire Rye Pale Ale,12.0 oz.,927,922,1
Beer Agent Re-Ignition,16.0 oz.,928,923,1
Cherry Ale,16.0 OZ.,929,924,1
Bourbon Barrel Aged Coconut Porter,16.0 oz,930,925,1
Great Crescent IPA,16.0 oz.,931,926,1
Aurora Lager,16.0 oz,932,927,1
Great Crescent Blonde Ale,16.0 oz.,933,928,1
Great Crescent Coconut Porter,16.0 oz.,934,929,1
Great Crescent Oktoberfest Lager,16.0 oz.,935,930,1
Great Crescent Brown Ale,16.0 OZ.,936,931,1
Cherry Ale (1),16.0 oz.,937,932,1
Aurora Lager (2011),16.0 oz.,938,933,1
Frosted Fields Winter Wheat,16.0 oz.,939,934,1
Great Crescent Belgian Style Wit,16.0 oz,940,935,1
Bourbon's Barrel Stout,16.0 oz,941,936,1
Great Crescent Stout,16.0 oz,942,937,1
Great Crescent Coconut Porter (2012),16.0 oz.,943,938,1
Great Crescent Dark Lager,16.0 oz,944,939,1
Great Crescent Mild Ale,16.0 oz.,945,940,1
Great Crescent IPA (2011),16.0 oz.,946,941,1
Great Crescent Blonde Ale (2011),16.0 oz,947,942,1
Denver Pale Ale (Artist Series No. 1),12.0 oz,948,943,1
Hibernation Ale,12.0 oz,949,944,1
Whitewater,12.0 oz.,950,945,1
Rumble,12.0 ounce,951,946,1
Orabelle,12.0 oz,952,947,1
Lasso,12.0 oz.,953,948,1
Yeti  Imperial Stout,12.0 ounce,954,949,1
Colette,12.0 OZ.,955,950,1
Titan IPA,12.0 oz.,956,951,1
Black Star Double Hopped Golden Lager (24 oz.),24.0 oz.,957,952,1
Black Star Double Hopped Golden Lager (12 oz.),12.0 ounce,958,953,1
Commotion APA,12.0 ounce,959,954,1
Southern Drawl Pale Lager,12.0 oz,960,955,1
Chickawawa Lemonale,12.0 oz,961,956,1
Barrel Aged Farmer,16.0 ounce,962,957,1
Great River Golden Ale,12.0 ounce,963,958,1
Dirty Blonde Chocolate Ale,12.0 oz.,964,959,1
Dos Pistolas,12.0 oz.,965,960,1
Owney Irish Style Red Ale,16.0 ounce,966,961,1
Aaah Bock Lager,16.0 OZ.,967,962,1
Widespread Wit,16.0 oz.,968,963,1
Roller Dam Red Ale,16.0 oz. Alumi-Tek,969,964,1
483 Pale Ale,16.0 oz.,970,965,1
Hop A Potamus Double Dark Rye Pale Ale,16.0 oz.,971,966,1
Farmer Brown Ale,16.0 ounce,972,967,1
Big Cock IPA,16.0 oz,973,968,1
Oktoberfest,16.0 oz.,974,969,2
40th Annual Bix Street Fest Copper Ale (Current),16.0 oz.,975,970,1
Redband Stout,16.0 oz.,976,971,1
483 Pale Ale (2010),16.0 oz,977,972,1
Roller Dam Red Ale (2010),16.0 oz,978,973,1
Pablo Beach Pale Ale,12.0 oz.,979,974,1
Wild Trail Pale Ale,12.0 ounce,980,975,1
Mothman Black IPA,12.0 ounce,981,976,1
Autumn Winds Fest Beer,16.0 ounce,982,977,1
Captain's Daughter,12.0 oz,983,978,1
Autumn Winds,16.0 oz. Alumi-Tek,984,979,1
Flying Jenny Extra Pale Ale,12.0 oz.,985,980,1
Hazy Day Belgian-Style Wit,16.0 ounce,986,981,1
Bring Back the Beach Blonde Ale,16.0 ounce,987,982,1
Leaning Chimney Smoked Porter,16.0 OZ.,988,983,1
Flying Jenny Extra Pale Ale (2012),12.0 oz.,989,984,1
Flagship Ale,12.0 oz.,990,985,1
Mr. Blue Sky,16.0 oz.,991,986,1
3 Scrooges,16.0 ounce,992,987,1
Screamin’ Pumpkin,16.0 ounce,993,988,1
Grand Trunk Bohemian Pils,16.0 ounce,994,989,1
El Rojo,16.0 ounce,995,990,1
Norm's Raggedy Ass IPA,16.0 OZ.,996,991,1
Grind Line,16.0 ounce,997,992,1
Norm's Gateway IPA,12.0 oz,998,993,1
Lemon Shandy Tripel,16.0 oz,999,994,1
Little Red Cap,12.0 oz.,1000,995,1
Supergoose IPA,12.0 oz,1001,996,1
Hale's Pale American Ale,12.0 ounce,1002,997,1
Heyoka IPA,16.0 oz.,1003,998,1
Guest Lager,16.0 oz.,1004,999,1
Pony Pilsner,16.0 oz.,1005,1000,1
Akari Shogun American Wheat Ale,16.0 oz,1006,1001,1
Meat Wave,16.0 oz,1007,1002,1
Over Ale,16.0 oz.,1008,1003,1
Gossamer Golden Ale,16.0 oz,1009,1004,1
Daisy Cutter Pale Ale,16.0 oz,1010,1005,1
Pursuit,12.0 oz. Alumi-Tek,1011,1006,1
Half Full Bright Ale,12.0 oz,1012,1007,1
Orange Wheat,12.0 oz. Alumi-Tek,1013,1008,1
Hangar 24 Helles Lager,12.0 oz,1014,1009,1
The Great Return,16.0 oz.,1015,1010,1
Hardywood Cream Ale,12.0 oz,1016,1011,1
Capital Trail Pale Ale,12.0 ounce,1017,1012,1
UFO Gingerland,12.0 oz,1018,1013,1
The Long Thaw White IPA,12.0 ounce,1019,1014,1
Honey Cider,12.0 oz.,1020,1015,1
Harpoon Summer Beer,12.0 oz.,1021,1016,1
Harpoon IPA,12.0 ounce,1022,1017,1
UFO Pumpkin,12.0 oz.,1023,1018,1
Harpoon Octoberfest,12.0 oz.,1024,1019,1
Harpoon IPA (2012),12.0 ounce,1025,1020,1
Harpoon Summer Beer (2012),12.0 oz,1026,1021,1
UFO White,12.0 oz.,1027,1022,1
Harpoon Summer Beer (2010),12.0 OZ.,1028,1023,1
Harpoon IPA (2010),12.0 oz,1029,1024,1
Great Falls Select Pale Ale,12.0 oz.,1030,1025,1
Beltian White,12.0 oz.,1031,1026,1
Kaua'i Golden Ale,12.0 ounce,1032,1027,1
Sunset Amber,12.0 oz,1033,1028,1
Hapa Brown Ale,19.2 oz.,1034,1029,1
Hapa Brown Ale,12.0 ounce,1035,1030,1
Southern Cross,19.2 oz,1036,1031,1
Groupe G,16.0 oz.,1037,1032,1
Pt. Bonita Rustic Lager,16.0 oz,1038,1033,1
Hill 88 Double IPA,16.0 ounce,1039,1034,1
Loose Cannon,12.0 oz,1040,1035,1
AARGHtoberfest!,12.0 oz,1041,1036,1
Davy Jones Lager,12.0 OZ.,1042,1037,1
Grazias,16.0 OZ.,1043,1038,1
Habitus IPA,16.0 oz,1044,1039,1
Ex Umbris Rye Imperial Stout,16.0 oz,1045,1040,1
The Golden One,12.0 ounce,1046,1041,1
The Power of Zeus,12.0 oz. Alumi-Tek,1047,1042,1
Tonganoxie Honey Wheat,12.0 oz,1048,1043,1
Oregon Trail Unfiltered Raspberry Wheat,12.0 oz.,1049,1044,1
Annie's Amber Ale,12.0 ounce,1050,1045,1
The 12th Can™,16.0 oz. Alumi-Tek,1051,1046,1
Hilliard's Pils,16.0 oz.,1052,1047,1
Hilliard's Blonde,16.0 oz.,1053,1048,1
Hilliard's Amber Ale,16.0 oz.,1054,1049,1
Hilliard's Saison,16.0 oz,1055,1050,1
White Cap White IPA,16.0 oz.,1056,1051,1
Provision,12.0 oz.,1057,1052,1
One Nut Brown,12.0 ounce,1058,1053,1
Hop Farm IPA,12.0 oz,1059,1054,1
Double D Blonde,12.0 oz,1060,1055,1
Festeroo Winter Ale,12.0 oz.,1061,1056,1
Proxima IPA,12.0 oz.,1062,1057,1
Double D Blonde (2013),12.0 oz.,1063,1058,1
541 American Lager,12.0 ounce,1064,1059,1
Alphadelic IPA,12.0 oz.,1065,1060,1
Alphadelic IPA (2011),12.0 oz.,1066,1061,1
Double D Blonde (2011),12.0 oz.,1067,1062,1
Green House India Pale Ale,12.0 oz,1068,1063,1
The One They Call Zoe,12.0 oz.,1069,1064,1
Alteration,12.0 oz.,1070,1065,1
Pale Dog,12.0 ounce,1071,1066,1
Porter Culture,12.0 oz.,1072,1067,1
Hard Cider,16.0 oz,1073,1068,1
Totally Radler,16.0 oz,1074,1069,1
Nonstop Hef Hop,16.0 ounce,1075,1070,5
Nonstop Hef Hop,16.0 oz.,1076,1071,1
Nonstop Hef Hop,16.0 ounce,1077,1070,5
Nonstop Hef Hop,16.0 ounce,1078,1070,5
Nonstop Hef Hop,16.0 ounce,1079,1070,5
Nonstop Hef Hop,16.0 oz,1080,1072,5
Nonstop Hef Hop,16.0 ounce,1081,1070,5
Nonstop Hef Hop,16.0 oz,1082,1072,5
Nonstop Hef Hop,16.0 oz. Alumi-Tek,1083,1073,1
Nonstop Hef Hop,16.0 oz,1084,1072,5
Nonstop Hef Hop,16.0 oz,1085,1072,5
Nonstop Hef Hop,16.0 oz,1086,1072,5
Rise Up Red,16.0 oz,1087,1074,1
Survival Stout,16.0 oz.,1088,1075,1
Hopworks IPA,16.0 oz.,1089,1076,1
Abominable Winter Ale,16.0 oz.,1090,1077,1
Pigwar White India Pale Ale,16.0 oz,1091,1078,1
Rise-Up Red (2014),16.0 ounce,1092,1079,1
Abominable Winter Ale (2012),16.0 oz,1093,1080,1
HUB Lager,16.0 oz,1094,1081,1
Hopworks IPA (2012),16.0 oz.,1095,1082,1
Watermelon Wheat,12.0 oz.,1096,1083,1
Laka Laka Pineapple,12.0 oz.,1097,1084,1
Oktoberfest,16.0 oz.,1098,969,2
Trail Maker Pale Ale,12.0 oz.,1099,1085,1
Action Man Lager,12.0 oz.,1100,1086,1
Let It Ride IPA,12.0 oz,1101,1087,1
Stir Crazy Winter Ale,12.0 ounce,1102,1088,1
Sweet Yamma Jamma Ale,12.0 ounce,1103,1089,1
Shenanigans Summer Ale,12.0 oz.,1104,1090,1
Midnight Ryder,12.0 ounce,1105,1091,1
Day Tripper Pale Ale,12.0 oz,1106,1092,1
Oklahoma Suks,12.0 oz,1107,1093,1
Power & Light,12.0 oz.,1108,1094,1
White Rabbit,12.0 oz. Alumi-Tek,1109,1095,1
Tribute,12.0 oz,1110,1096,1
Infamous IPA,12.0 oz.,1111,1097,1
Hijack,12.0 oz.,1112,1098,1
Jon Boat Coastal Ale,12.0 oz.,1113,1099,1
I-10 IPA,12.0 oz,1114,1100,1
