HospitalType,Condition,original_index,unique_index
acute care hospitals,heart failure,751,2
acute care hospitals,pneumonia,752,6
acute care hospitals,pneumonia,753,6
acute care hospitals,pneumonia,754,6
acute care hospitals,pneumonia,755,6
acute care hospitals,pneumonia,756,6
acute care hospitals,pneumonia,757,6
acute care hospitals,surgical infection prevention,758,0
acute care hospitals,surgical infection prevention,759,0
acute care hospitals,surgical infection prevention,760,0
acute care hospitals,surgical infection prevention,761,0
acute care hospitals,surgical infection prevention,762,0
acute care hospitals,surgical infection prevention,763,0
acute care hospitals,surgical infection prevention,764,0
acute care hospitals,surgical infection prevention,765,0
acute care hospitals,children s asthma care,766,20
acute care hospitals,surgical infection prevention,767,0
acute care hospitals,surgical infection prevention,768,0
acute care hospitals,surgical infection prevention,769,0
acute care hospitals,surgical infection prevention,770,0
acute care hospitals,surgical infection prevention,771,0
acute care hospitals,surgical infection prevention,772,0
acute care hospitals,surgical infection prevention,773,0
acute care hospitals,children s asthma care,774,20
acute care hospitals,children s asthma care,775,20
acute care hospitals,children s asthma care,776,20
acute care hospitals,heart attack,777,1
acute care hospitals,heart attack,778,1
acutexcarexhospitals,heart attack,779,39
acute care hospitals,heart attaxk,780,4
acute care hospitals,heart attack,781,1
acute care hospitaxs,heart attack,782,40
acute care hospitals,heart attack,783,1
acute care hospitals,heart failure,784,2
acute care hospitals,heart failure,785,2
acute care hospitals,heart failure,786,2
acute care hospitals,heart failure,787,2
acute care hospitals,pneumonia,788,6
acute care hospitals,pneumonia,789,6
acute care hospitals,pneumonia,790,6
acute care hospitals,pneumonia,791,6
acute care hospitals,pneumonia,792,6
acute care hospitals,pneumonia,793,6
acute care hospitals,surgical infection prevention,794,0
acute care hospitals,surgical infection prevention,795,0
acute care hospitals,surgical infection prevention,796,0
acute care hospitals,surgical infection prevention,797,0
acute care hospitals,surgical infection prevention,798,0
acute care hospitals,surgical infection prevention,799,0
acute care hospitals,surgical infection prevention,800,0
acute care hospitals,surgical infection prevention,801,0
acute care hospitals,heart attack,802,1
acute care hospitals,heart attack,803,1
acute care hospitals,heart attack,804,1
acute care hospitals,heart attack,805,1
acute care hospitals,heart attack,806,1
acute care hospitals,heart attack,807,1
acute care hospitals,heart attack,808,1
acute care hospitals,heart failure,809,2
acute care hospitals,heart failure,810,2
acute care hospitals,heart failure,811,2
acute care hospitals,heart failure,812,2
acute care hospitals,pneumonia,813,6
axute care hospitals,pneumonia,814,41
acute care hospitals,pneumonia,815,6
acute care hospitals,pneumonia,816,6
acute care hospitals,pneumonia,817,6
acute care hospitals,pneumonia,818,6
acute care hospitals,surgical infection prevention,819,0
acute care hospitals,surgical infection prevention,820,0
acute care hospitals,surgical infection prevention,821,0
acute care hospitals,surgical infection prevention,822,0
acute care hospitals,surgical infection prevention,823,0
acute care hospitals,surgical infection prevention,824,0
acute care hospitals,surgical infection prevention,825,0
acute care hospitals,surgical infection prevention,826,0
acute care hospitals,heart attack,827,1
acute care hospitals,heart attack,828,1
acute care hospitals,heart attack,829,1
acute care hospitals,heart attack,830,1
acute care hospitals,heart attack,831,1
acute care hospitals,heart attack,832,1
acute care hospitals,heart attack,833,1
acute care hospitals,heart failure,834,2
acute care hospitals,heart failure,835,2
acute care hospitals,heart failure,836,2
acute care hospitals,heart failure,837,2
acute care hospitals,pneumonia,838,6
acute care hospitals,pneumonia,839,6
acute care hospitals,pneumonia,840,6
acute care hospitals,pneumonia,841,6
acute care hospitals,pneumonia,842,6
acute care hospitals,pneumonia,843,6
acute care hospitals,surgical infection prevention,844,0
acute care hospitals,surgical infection prevention,845,0
acute care hospitals,surgical infection prevention,846,0
acute care hospitals,surgical infection prevention,847,0
acute caxe hospitals,surgical infection prevention,848,26
acute care hospitals,surgical infection prevention,849,0
acute care hospitals,surgical infection prevention,850,0
acute care hospitals,surgical infxction prxvxntion,851,42
acute care hospitals,heart attack,852,1
acute care hospitals,heart attack,853,1
acute care hospitals,heart attack,854,1
acute care hospitals,heart attack,855,1
acute care hospitals,heart attack,856,1
acute care hospitals,heart attack,857,1
acute care hospitals,heart attack,858,1
acute care hospitals,heart failure,859,2
acute care hospitals,heart failure,860,2
acute care hospitals,heart failure,861,2
acute care hospitals,heart failure,862,2
acute care hospitals,pneumonia,863,6
acute care hospitals,pneumonia,864,6
acute care hospitals,pneumonia,865,6
acute care hospitals,pneumonia,866,6
acute care hospitals,pneumonia,867,6
acute care hospitals,pneumonia,868,6
acute care hospitals,surgical ixfectiox prevextiox,869,33
acute care hospitals,surgical infection prevention,870,0
acute care hospitals,surgical infection prevention,871,0
acute care hospitals,surgical infection prevention,872,0
acute care hospitals,surgical infection prevention,873,0
acute care hospitals,surgical infection prevention,874,0
acute care hospitals,surgical infection prevention,875,0
acute care hospitals,surgical infection prevention,876,0
acute care hoxpitalx,heart attack,877,43
acute care hospitals,heart attack,878,1
acute care hospitals,heart attack,879,1
acute care hospitals,heart attack,880,1
acute care hospitals,heart attack,881,1
acute care hospitals,heart attack,882,1
acute care hospitals,heart attack,883,1
acute care hospitals,heart failure,884,2
acute care hospitals,heart failure,885,2
acute care hospitals,heart failure,886,2
acute care hospitals,heart failure,887,2
acute care hospitals,pneumonia,888,6
acute care hospitals,pneumonia,889,6
acute care hospitals,pneumonia,890,6
acute care hospitals,pneumonia,891,6
acute care hospitals,pneumonia,892,6
acute care hospitals,pneumonia,893,6
acute care hospitals,surgical infection prevention,894,0
acute care hospitals,surgical infection prevention,895,0
acute care hospitals,surgical infection prevention,896,0
acute care hospitals,surgical infection prevention,897,0
acute care hospitals,surgical infection prevention,898,0
acute care hospitals,surgical infection prevention,899,0
acute care hospitals,surgical infection prevention,900,0
acute care hospitals,surgical infection prevention,901,0
acutexcarexhospitals,children s asthma care,902,44
acute care hospitals,children s asthma care,903,20
acute care hospitals,children s asthma care,904,20
acute care hospitals,heart attack,905,1
acute care hospitals,heart attack,906,1
acute care hospitals,heart attack,907,1
acute care hospitals,heart attack,908,1
acute care hospitals,heart attack,909,1
acute care hospitals,heart attack,910,1
acute care hospitals,heart attack,911,1
acute care hospitals,heart failure,912,2
acute care hospitals,heart failure,913,2
acute care hospitals,heart failure,914,2
acute care hospitals,heart failure,915,2
acute care hospitals,pneumonia,916,6
acute care hospitals,pneumonia,917,6
acute care hospitals,pneumonia,918,6
acute care hospitals,pneumonia,919,6
acute care hospitals,pneumonia,920,6
acute care hospitals,pneumonia,921,6
acute care hospitals,surgical infection prevention,922,0
acute care hospitals,surgical infection prevention,923,0
acute care hospitals,surgical infection prevention,924,0
acute care hospitals,surgical infection prevention,925,0
acuxe care hospixals,surgical infection prevention,926,17
acute care hospitals,surgical infection prevention,927,0
acute care hospitals,surgical infection prevention,928,0
acute care hospitals,surgical infection prevention,929,0
acute care hospitals,heart attack,930,1
acute care hospitals,heart attack,931,1
acute care hospitals,heart attack,932,1
acute care hospitals,heart attack,933,1
acute care hospitals,heart attack,934,1
acute care hospitals,heart attack,935,1
acute care hospitals,heart attack,936,1
acute care hospitals,heart failure,937,2
acute care hospitals,heart failure,938,2
acute care hospitals,heart failure,939,2
acute care hospitals,heart failure,940,2
acute care hospitals,pneumonia,941,6
acute care hospitals,pneumonia,942,6
acute care hospitals,pneumonia,943,6
acute care hospitals,pneumonia,944,6
acute care hospitals,pneumonia,945,6
acute care hospitals,pneumonia,946,6
acute care hospitals,surgical infection prevention,947,0
acute care hospitals,surgical infection prevention,948,0
acute care hosxitals,surgical infection prevention,949,24
acute care hospitals,surgical infection prevention,950,0
acute care hospitals,surgical infection prevention,951,0
acute care hospitals,surgical infection prevention,952,0
acute care hospitals,surgical infection prevention,953,0
acute care hospitals,surgical infection prevention,954,0
acute care hospitals,hexrt attxck,955,12
acute xare hospitals,heart attack,956,45
acute care hospitals,heart attack,957,1
acute care hospitals,heart attack,958,1
acute care hospitals,heart attack,959,1
acute care hospitals,heart attack,960,1
acute care hospitals,heart attack,961,1
acute care hospitals,heart failure,962,2
acute care hospitals,heart failure,963,2
acutexcarexhospitals,heart failure,964,46
acute care hospitals,heart failure,965,2
acute care hospitals,pneumonia,966,6
acute care hospitals,pneumonia,967,6
acute care hospitals,pneumonia,968,6
acute care hospitals,pneumonia,969,6
acute care hospitals,pneumonia,970,6
acute care hospitals,pneumonia,971,6
acute care hospitals,surgical infection prevention,972,0
acute care hospitals,surgical infection prevention,973,0
acute care hospitals,surgical xnfection prevention,974,47
acute care hospitals,surgical infection prevention,975,0
acutexcarexhospitals,surgical infection prevention,976,48
acute care hospitals,surgical infection prevention,977,0
acute care hospitals,surgical infection prevention,978,0
acute care hospitals,surgical infection prevention,979,0
acute care hospitals,heart attack,980,1
acute care hospitals,heart attack,981,1
acute care hospitals,heart attack,982,1
acute care hospitals,heart attack,983,1
acute care hospitals,heart attack,984,1
acute care hospitals,heart attack,985,1
acute care hospitals,heart attack,986,1
acute care hospitals,heart failure,987,2
acute care hospitals,heart failure,988,2
acute care hospitals,heart failure,989,2
acute care hospitals,heart failure,990,2
acute care hospitals,pneumonia,991,6
acute care hospitals,pneumonia,992,6
acute care hospitals,pneumonia,993,6
acute care hospitals,pneumonia,994,6
acute care hospitals,pneumonia,995,6
acute care hospitals,pneumonia,996,6
acute care hospitals,surgical infection prevention,997,0
acute care hospitals,surgical infection prevention,998,0
acute care hospitals,surgical infection prevention,999,0
