HospitalName,State,original_index,unique_index,count
huntsville hospital,al,801,71,26
gadsden regional medical center,al,802,74,25
gadsden regional medical center,al,803,74,25
gadsden regional medical center,al,804,74,25
gadsden regional medical center,al,805,74,25
gadsden regional medical center,al,806,74,25
gadsden regional medical center,al,807,74,25
gadsden regional medical center,al,808,74,25
gadsden regional medical center,al,809,74,25
gadsden regional medical center,al,810,74,25
gadsden regional medical center,al,811,74,25
gadsden regional medical center,al,812,74,25
gadsden regional medical center,al,813,74,25
gadsden regional medical center,al,814,74,25
gadsden regional medical center,al,815,74,25
gadsden regional medical center,al,816,74,25
gadsden regional medical center,al,817,74,25
gadsden regional medical center,al,818,74,25
gadsden regional medical center,al,819,74,25
gadsden regional medical center,al,820,74,25
gadsden regional medical center,al,821,74,25
gadsden regional medical center,al,822,74,25
gadsden regional medical center,al,823,74,25
gadsden regional medical center,al,824,74,25
gadsden regional medical center,al,825,74,25
gadsden regional medical center,al,826,74,25
chilton medical center,al,827,75,25
chilton medical center,al,828,75,25
chilton medical center,al,829,75,25
chilton medical center,al,830,75,25
chilton medical center,al,831,75,25
chilton medical center,al,832,75,25
chilton medical center,al,833,75,25
chilton medical center,al,834,75,25
chilton medical center,al,835,75,25
chilton medical center,al,836,75,25
chilton medical center,al,837,75,25
chilton medical center,al,838,75,25
chilton medical center,al,839,75,25
chilton medical center,al,840,75,25
chilton medical center,al,841,75,25
chilton medical center,al,842,75,25
chilton medical center,al,843,75,25
chilton medical center,al,844,75,25
chilton medical center,al,845,75,25
chilton medical center,al,846,75,25
chilton medical center,al,847,75,25
chilton medical center,al,848,75,25
chilton medical center,al,849,75,25
chilton medical center,al,850,75,25
chilton medical center,al,851,75,25
marion regional medical center,al,852,76,25
marion regional medical center,al,853,76,25
marion regional medical center,al,854,76,25
marion regional medical center,al,855,76,25
marion regional medical center,al,856,76,25
marion regional medical center,al,857,76,25
marion regional medical center,al,858,76,25
marion regional medical center,al,859,76,25
marion regional medical center,al,860,76,25
marion regional medical center,al,861,76,25
marion regional medical center,al,862,76,25
marion regional medical center,al,863,76,25
marion regional medical center,al,864,76,25
marion regional medical center,al,865,76,25
marion regional medical center,al,866,76,25
marion regional medical center,al,867,76,25
marion regional medical center,al,868,76,25
marion regional medical center,al,869,76,25
marion regional medical center,al,870,76,25
marion regional medical center,al,871,76,25
marion regional medical center,al,872,76,25
marion regional medical center,al,873,76,25
marion regional medical center,al,874,76,25
marion regional medical center,al,875,76,25
marion regional medical center,al,876,76,25
fayette medical center,al,877,77,23
fayette medical center,al,878,77,23
fayette medical center,al,879,77,23
fayette medical center,al,880,77,23
fayette medical center,al,881,77,23
fayette medical center,al,882,77,23
fayette medical center,al,883,77,23
fayette medical center,xl,884,78,2
fayette medical center,al,885,77,23
fayette medical center,xl,886,78,2
fayette medical center,al,887,77,23
fayette medical center,al,888,77,23
fayette medical center,al,889,77,23
fayette medical center,al,890,77,23
fayette medical center,al,891,77,23
fayette medical center,al,892,77,23
fayette medical center,al,893,77,23
fayette medical center,al,894,77,23
fayette medical center,al,895,77,23
fayette medical center,al,896,77,23
fayette medical center,al,897,77,23
fayette medical center,al,898,77,23
fayette medical center,al,899,77,23
fayette medical center,al,900,77,23
fayette medical center,al,901,77,23
riverview regional medical center,al,902,79,25
rivxrvixw rxgional mxdical cxntxr,al,903,80,1
riverview regional medical center,al,904,79,25
riverview regional medical center,al,905,79,25
riverview regional medical center,al,906,79,25
riverview regional medical center,al,907,79,25
riverview regional medical center,al,908,79,25
riverview regional medical center,al,909,79,25
riverview regional medical center,al,910,79,25
riverview regional medical center,al,911,79,25
riverview regional medical center,al,912,79,25
riverview regional medical center,al,913,79,25
riverview regional medical center,al,914,79,25
riverview regional medical center,al,915,79,25
riverview regional medical center,al,916,79,25
riverview regional medical center,al,917,79,25
riverview regional medical center,al,918,79,25
riverview regional medical center,al,919,79,25
riverview regional medical center,al,920,79,25
xivexview xegional medical centex,al,921,81,1
riverview rexional medical center,ax,922,82,1
riverview regional medical center,al,923,79,25
riverview regional medical center,al,924,79,25
riverview regional medical center,al,925,79,25
riverview regional medical center,al,926,79,25
riverview regional medical center,al,927,79,25
riverview regional medical center,al,928,79,25
riverview regional medical center,al,929,79,25
georgiana hospital,al,930,83,24
georgiana hospital,al,931,83,24
georgiana hospital,al,932,83,24
georgiana hospital,al,933,83,24
georgiana hospital,al,934,83,24
georgiana hospital,al,935,83,24
georgiana hospital,al,936,83,24
georgiana hospital,al,937,83,24
georgiaxa hospital,al,938,84,1
georgiana hospital,al,939,83,24
georgiana hospital,al,940,83,24
georgiana hospital,al,941,83,24
georgiana hospital,al,942,83,24
georgiana hospital,al,943,83,24
georgiana hospital,al,944,83,24
georgiana hospital,al,945,83,24
georgiana hospital,al,946,83,24
georgiana hospital,al,947,83,24
georgiana hospital,al,948,83,24
georgiana hospital,al,949,83,24
georgiana hospital,al,950,83,24
georgiana hospital,al,951,83,24
georgiana hospital,al,952,83,24
georgiana hospital,al,953,83,24
georgiana hospital,al,954,83,24
medical center enterprise,al,955,85,23
medixal xenter enterprise,al,956,86,1
medical center enterprise,al,957,85,23
medical center enterprise,al,958,85,23
medical center enterprise,al,959,85,23
medical center enterprise,al,960,85,23
medical center enterprise,al,961,85,23
medxcal center enterprxse,al,962,87,1
medical center enterprise,al,963,85,23
medical center enterprise,al,964,85,23
medical center enterprise,al,965,85,23
medical center enterprise,al,966,85,23
medical center enterprise,al,967,85,23
medical center enterprise,al,968,85,23
medical center enterprise,al,969,85,23
medical center enterprise,al,970,85,23
medical center enterprise,al,971,85,23
medical center enterprise,al,972,85,23
medical center enterprise,al,973,85,23
medical center enterprise,al,974,85,23
medical center enterprise,al,975,85,23
medical center enterprise,al,976,85,23
medical center enterprise,al,977,85,23
medical center enterprise,al,978,85,23
medical center enterprise,al,979,85,23
st vincents blount,al,980,88,19
st vincents blount,al,981,88,19
st vincents blount,al,982,88,19
st vincents blount,al,983,88,19
st vincents blount,al,984,88,19
st vincents blount,al,985,88,19
st vincents blount,al,986,88,19
st vincents bxount,al,987,89,1
st vincents blount,al,988,88,19
st vincents blount,al,989,88,19
st vincents blount,al,990,88,19
st vincents blount,al,991,88,19
st vincents blount,al,992,88,19
st vincents blount,al,993,88,19
st vincents blount,al,994,88,19
st vincents blount,al,995,88,19
st vincents blount,al,996,88,19
st vincents blount,al,997,88,19
st vincents blount,al,998,88,19
st vincents blount,al,999,88,19
