HospitalName,Condition,original_index,unique_index
community hospital inc,heart failure,700,155
community hospital inc,heart failure,701,155
community hospital inc,pneumonia,702,156
community hospital inc,pneumonia,703,156
community hospital inc,pneumonia,704,156
community hospital inc,pneumonia,705,156
community hospital inc,pneumonia,706,156
community hospital inc,pneumonia,707,156
community hospital inc,surgical infection prevention,708,157
community hospital inc,surgical infection prevention,709,157
communixy hospixal inc,surgical infection prevention,710,158
community hospital inc,surgical infection prevention,711,157
community hospital inc,surgical infection xrevention,712,159
community hospital inc,surgical infection prevention,713,157
community hospital inc,surgical infection prevention,714,157
community hospital inc,surgical infection prevention,715,157
cullman regional medical center,heartxattack,716,160
cullman regional medical center,heart attack,717,161
cullman regional medical center,heart attack,718,161
cullman regional medical center,heart attack,719,161
cullman regional medical center,heart attack,720,161
cullman regional medical center,heart attack,721,161
cullman regional medical center,heart attack,722,161
cullman regional medical center,heart failure,723,162
cullman regional medical center,heart failure,724,162
cullman regional medical center,heart failure,725,162
cullman regional medical center,heart failure,726,162
cullman regional medical center,pneumonia,727,163
cullman regional medical center,pneumonia,728,163
cullman regional medical center,pneumonia,729,163
cullmxn regionxl medicxl center,pneumonia,730,164
cullman regional medical center,pneumonia,731,163
cullman regional medical center,pneumonia,732,163
cullman regional medical center,suxgical infection pxevention,733,165
cullman regional medical center,surgical infection prevention,734,166
cullman regional medical center,surgical infection prevention,735,166
cullman regional medical center,surgical infection prevention,736,166
cullman regional medical center,surgical infection prevention,737,166
cullman regional medical center,surgical infection prevention,738,166
cullman regional medical center,surgical infection prevention,739,166
cullman regional medical center,surgical infection prevention,740,166
andalusia regional hospital,heart attack,741,167
andalusia regional hospital,heart attack,742,167
andalusia regional hospital,heart attack,743,167
andalusia regional hospital,heart attack,744,167
andalusia regional hospital,heart attack,745,167
andalusia regional hospital,heart attack,746,167
andalusia regional hospital,heart attack,747,167
andalusia regional hospital,heart failure,748,168
andalusia regional hospital,heart failure,749,168
andalusia regional hospital,heart failure,750,168
andalusia regional hospital,heart failure,751,168
andalusia regional hospital,pneumonia,752,169
andalusia regional hospital,pneumonia,753,169
andalusia regional hospital,pneumonia,754,169
andalusia regional hospital,pneumonia,755,169
andalusia regional hospital,pneumonia,756,169
andalusia regional hospital,pneumonia,757,169
andaxusia regionax hospitax,surgical infection prevention,758,170
andalusia regional hospital,surgical infection prevention,759,171
andalusia regional hospital,surgical infection prevention,760,171
andalusia regional hospital,surgical infection prevention,761,171
andalusia regional hospital,surgical infection prevention,762,171
andalusia regional hospital,surgical infection prevention,763,171
andalusia regional hospital,surgical infection prevention,764,171
andaluxia regional hoxpital,surgical infection prevention,765,172
stringfellow memorial hospital,children s asthma care,766,65
stringfellow memorial hospital,surgical infection prevention,767,69
stringfellow memorial hospital,surgical infection prevention,768,69
stringfellow memorial hospital,surgical infection prevention,769,69
stringfellow memorial hospital,surgical infection prevention,770,69
stringfellow memorial hospital,surgical infection prevention,771,69
stringfellow memorial hospital,surgical infection prevention,772,69
stringfellow memorial hospital,surgical infection prevention,773,69
huntsville hospital,children s asthma care,774,173
huntsville hospital,children s asthma care,775,173
huntsville hospital,children s asthma care,776,173
huntsvxlle hospxtal,heart attack,777,174
huntsville hospital,heart attack,778,175
huntsville hospital,heart attack,779,175
huntsville hospital,heart attaxk,780,176
huntsville hospital,heart attack,781,175
huntsville hospital,heart attack,782,175
huntsville hospital,heart attack,783,175
huntsville hospital,heart failure,784,177
huntsville hospital,heart failure,785,177
huntsville hospital,heart failure,786,177
huntsville hospital,heart failure,787,177
huntsville hospital,pneumonia,788,178
huntsville hospital,pneumonia,789,178
huntsville hospital,pneumonia,790,178
huntsville hospital,pneumonia,791,178
huntsville hospital,pneumonia,792,178
huntsville hospital,pneumonia,793,178
huntsville hospital,surgical infection prevention,794,179
huntsville hospital,surgical infection prevention,795,179
huntsville hospital,surgical infection prevention,796,179
huntsville hospital,surgical infection prevention,797,179
huntsville hospital,surgical infection prevention,798,179
huntsville hospital,surgical infection prevention,799,179
huntsville hospital,surgical infection prevention,800,179
huntsville hospital,surgical infection prevention,801,179
gadsden regional medical center,heart attack,802,180
gadsden regional medical center,heart attack,803,180
gadsden regional medical center,heart attack,804,180
gadsden regional medical center,heart attack,805,180
gadsden regional medical center,heart attack,806,180
gadsden regional medical center,heart attack,807,180
gadsden regional medical center,heart attack,808,180
gadsden regional medical center,heart failure,809,181
gadsden regional medical center,heart failure,810,181
gadsden regional medical center,heart failure,811,181
gadsden regional medical center,heart failure,812,181
gadsden regional medical center,pneumonia,813,182
gadsden regional medical center,pneumonia,814,182
gadsden regional medical center,pneumonia,815,182
gadsden regional medical center,pneumonia,816,182
gadsden regional medical center,pneumonia,817,182
gadsden regional medical center,pneumonia,818,182
gadsden regional medical center,surgical infection prevention,819,183
gadsden regional medical center,surgical infection prevention,820,183
gadsden regional medical center,surgical infection prevention,821,183
gadsden regional medical center,surgical infection prevention,822,183
gadsden regional medical center,surgical infection prevention,823,183
gadsden regional medical center,surgical infection prevention,824,183
gadsden regional medical center,surgical infection prevention,825,183
gadsden regional medical center,surgical infection prevention,826,183
chilton medical center,heart attack,827,184
chilton medical center,heart attack,828,184
chilton medical center,heart attack,829,184
chilton medical center,heart attack,830,184
chilton medical center,heart attack,831,184
chilton medical center,heart attack,832,184
chilton medical center,heart attack,833,184
chilton medical center,heart failure,834,185
chilton medical center,heart failure,835,185
chilton medical center,heart failure,836,185
chilton medical center,heart failure,837,185
chilton medical center,pneumonia,838,186
chilton medical center,pneumonia,839,186
chilton medical center,pneumonia,840,186
chilton medical center,pneumonia,841,186
chilton medical center,pneumonia,842,186
chilton medical center,pneumonia,843,186
chilton medical center,surgical infection prevention,844,187
chilton medical center,surgical infection prevention,845,187
chilton medical center,surgical infection prevention,846,187
chilton medical center,surgical infection prevention,847,187
chilton medical center,surgical infection prevention,848,187
chilton medical center,surgical infection prevention,849,187
chilton medical center,surgical infection prevention,850,187
chilton medical center,surgical infxction prxvxntion,851,188
marion regional medical center,heart attack,852,189
marion regional medical center,heart attack,853,189
marion regional medical center,heart attack,854,189
marion regional medical center,heart attack,855,189
marion regional medical center,heart attack,856,189
marion regional medical center,heart attack,857,189
marion regional medical center,heart attack,858,189
marion regional medical center,heart failure,859,190
marion regional medical center,heart failure,860,190
marion regional medical center,heart failure,861,190
marion regional medical center,heart failure,862,190
marion regional medical center,pneumonia,863,191
marion regional medical center,pneumonia,864,191
marion regional medical center,pneumonia,865,191
marion regional medical center,pneumonia,866,191
marion regional medical center,pneumonia,867,191
marion regional medical center,pneumonia,868,191
marion regional medical center,surgical ixfectiox prevextiox,869,192
marion regional medical center,surgical infection prevention,870,193
marion regional medical center,surgical infection prevention,871,193
marion regional medical center,surgical infection prevention,872,193
marion regional medical center,surgical infection prevention,873,193
marion regional medical center,surgical infection prevention,874,193
marion regional medical center,surgical infection prevention,875,193
marion regional medical center,surgical infection prevention,876,193
fayette medical center,heart attack,877,194
fayette medical center,heart attack,878,194
fayette medical center,heart attack,879,194
fayette medical center,heart attack,880,194
fayette medical center,heart attack,881,194
fayette medical center,heart attack,882,194
fayette medical center,heart attack,883,194
fayette medical center,heart failure,884,195
fayette medical center,heart failure,885,195
fayette medical center,heart failure,886,195
fayette medical center,heart failure,887,195
fayette medical center,pneumonia,888,196
fayette medical center,pneumonia,889,196
fayette medical center,pneumonia,890,196
fayette medical center,pneumonia,891,196
fayette medical center,pneumonia,892,196
fayette medical center,pneumonia,893,196
fayette medical center,surgical infection prevention,894,197
fayette medical center,surgical infection prevention,895,197
fayette medical center,surgical infection prevention,896,197
fayette medical center,surgical infection prevention,897,197
fayette medical center,surgical infection prevention,898,197
fayette medical center,surgical infection prevention,899,197
fayette medical center,surgical infection prevention,900,197
fayette medical center,surgical infection prevention,901,197
riverview regional medical center,children s asthma care,902,198
rivxrvixw rxgional mxdical cxntxr,children s asthma care,903,199
riverview regional medical center,children s asthma care,904,198
riverview regional medical center,heart attack,905,200
riverview regional medical center,heart attack,906,200
riverview regional medical center,heart attack,907,200
riverview regional medical center,heart attack,908,200
riverview regional medical center,heart attack,909,200
riverview regional medical center,heart attack,910,200
riverview regional medical center,heart attack,911,200
riverview regional medical center,heart failure,912,201
riverview regional medical center,heart failure,913,201
riverview regional medical center,heart failure,914,201
riverview regional medical center,heart failure,915,201
riverview regional medical center,pneumonia,916,202
riverview regional medical center,pneumonia,917,202
riverview regional medical center,pneumonia,918,202
riverview regional medical center,pneumonia,919,202
riverview regional medical center,pneumonia,920,202
xivexview xegional medical centex,pneumonia,921,203
riverview rexional medical center,surgical infection prevention,922,204
riverview regional medical center,surgical infection prevention,923,205
riverview regional medical center,surgical infection prevention,924,205
riverview regional medical center,surgical infection prevention,925,205
riverview regional medical center,surgical infection prevention,926,205
riverview regional medical center,surgical infection prevention,927,205
riverview regional medical center,surgical infection prevention,928,205
riverview regional medical center,surgical infection prevention,929,205
georgiana hospital,heart attack,930,206
georgiana hospital,heart attack,931,206
georgiana hospital,heart attack,932,206
georgiana hospital,heart attack,933,206
georgiana hospital,heart attack,934,206
georgiana hospital,heart attack,935,206
georgiana hospital,heart attack,936,206
georgiana hospital,heart failure,937,207
georgiaxa hospital,heart failure,938,208
georgiana hospital,heart failure,939,207
georgiana hospital,heart failure,940,207
georgiana hospital,pneumonia,941,209
georgiana hospital,pneumonia,942,209
georgiana hospital,pneumonia,943,209
georgiana hospital,pneumonia,944,209
georgiana hospital,pneumonia,945,209
georgiana hospital,pneumonia,946,209
georgiana hospital,surgical infection prevention,947,210
georgiana hospital,surgical infection prevention,948,210
georgiana hospital,surgical infection prevention,949,210
georgiana hospital,surgical infection prevention,950,210
georgiana hospital,surgical infection prevention,951,210
georgiana hospital,surgical infection prevention,952,210
georgiana hospital,surgical infection prevention,953,210
georgiana hospital,surgical infection prevention,954,210
medical center enterprise,hexrt attxck,955,211
medixal xenter enterprise,heart attack,956,212
medical center enterprise,heart attack,957,213
medical center enterprise,heart attack,958,213
medical center enterprise,heart attack,959,213
medical center enterprise,heart attack,960,213
medical center enterprise,heart attack,961,213
medxcal center enterprxse,heart failure,962,214
medical center enterprise,heart failure,963,215
medical center enterprise,heart failure,964,215
medical center enterprise,heart failure,965,215
medical center enterprise,pneumonia,966,216
medical center enterprise,pneumonia,967,216
medical center enterprise,pneumonia,968,216
medical center enterprise,pneumonia,969,216
medical center enterprise,pneumonia,970,216
medical center enterprise,pneumonia,971,216
medical center enterprise,surgical infection prevention,972,217
medical center enterprise,surgical infection prevention,973,217
medical center enterprise,surgical xnfection prevention,974,218
medical center enterprise,surgical infection prevention,975,217
medical center enterprise,surgical infection prevention,976,217
medical center enterprise,surgical infection prevention,977,217
medical center enterprise,surgical infection prevention,978,217
medical center enterprise,surgical infection prevention,979,217
st vincents blount,heart attack,980,219
st vincents blount,heart attack,981,219
st vincents blount,heart attack,982,219
st vincents blount,heart attack,983,219
st vincents blount,heart attack,984,219
st vincents blount,heart attack,985,219
st vincents blount,heart attack,986,219
st vincents bxount,heart failure,987,220
st vincents blount,heart failure,988,221
st vincents blount,heart failure,989,221
st vincents blount,heart failure,990,221
st vincents blount,pneumonia,991,222
st vincents blount,pneumonia,992,222
st vincents blount,pneumonia,993,222
st vincents blount,pneumonia,994,222
st vincents blount,pneumonia,995,222
st vincents blount,pneumonia,996,222
st vincents blount,surgical infection prevention,997,223
st vincents blount,surgical infection prevention,998,223
st vincents blount,surgical infection prevention,999,223
