Release Date,original_index,unique_index
3 June 1983 (USA),1577,120
19 August 1983 (USA),1578,1379
6 February 1998 (USA),1579,326
31 December 1965 (USA),1580,1380
31 October 1997 (USA),1581,1381
27 April 2012 (USA),1582,1382
10 April 2012 (USA),1583,1383
19 April 2014 (USA),1584,1372
26 April 2013 (USA),1585,1384
6 March 2012 (USA),1586,1385
3 October 2015 (USA),1587,1386
2016 (USA),1588,432
12 August 1958 (USA),1589,1387
22 December 1955 (USA),1590,1388
11 July 1955 (West Germany),1591,1389
6 November 1956 (USA),1592,1390
10 August 1960 (USA),1593,1391
10 November 1953 (USA),1594,1392
13 March 1987 (USA),1595,1393
22 August 2012 (USA),1596,1394
17 December 1999 (USA),1597,881
22 May 2009 (USA),1598,874
8 August 2014 (Japan),1599,1395
21 January 2000 (USA),1600,1396
15 December 1982 (USA),1601,1397
19 March 1999 (USA),1602,1398
9 August 2002 (USA),1603,1399
4 August 2000 (USA),1604,1400
2 June 1995 (USA),1605,1401
18 April 2014 (USA),1606,1402
26 September 2014 (USA),1607,754
11 May 1990 (Turkey),1608,1403
21 March 2014 (USA),1609,1404
25 January 1985 (USA),1610,1405
16 August 1985 (USA),1611,1406
25 December 2003 (USA),1612,776
27 May 2005 (UK),1613,1407
28 July 1995 (USA),1614,1408
11 October 2002 (USA),1615,1409
16 February 1990 (USA),1616,1410
4 August 1965 (USA),1617,1411
27 October 1989 (USA),1618,1412
22 June 1966 (USA),1619,1413
13 September 1996 (USA),1620,1181
7 October 2010 (Netherlands),1621,1414
1 July 1965 (USA),1622,174
22 July 2016 (USA),1623,1415
12 December 2007 (USA),1624,1416
1 June 2007 (USA),1625,596
1 April 2005 (USA),1626,285
15 December 2000 (USA),1627,37
15 May 1992 (USA),1628,698
8 August 1997 (USA),1629,1417
5 December 1984 (USA),1630,1418
October 2013 (USA),1631,1419
November 2013 (Canada),1632,1420
5 February 1999 (USA),1633,1421
10 July 1998 (USA),1634,211
5 May 2011 (USA),1635,1422
22 April 1988 (USA),1636,1120
5 September 1997 (USA),1637,1423
15 July 2010 (USA),1638,1424
12 April 1991 (USA),1639,1425
13 September 2013 (USA),1640,676
January 2011 (USA),1641,1426
16 March 2001 (USA),1642,1427
14 July 1995 (USA),1643,1428
18 February 1994 (USA),1644,1429
20 May 2005 (South Korea),1645,1430
23 November 2011 (USA),1646,1240
21 December 2011 (USA),1647,1431
10 June 2011 (USA),1648,685
9 February 1990 (USA),1649,1432
4 October 1996 (USA),1650,1337
1 July 2005 (USA),1651,1433
15 March 1996 (USA),1652,745
18 April 1997 (USA),1653,1434
26 November 1986 (USA),1654,1435
August 2012 (USA),1655,1436
16 May 2014 (USA),1656,1076
22 April 2014 (USA),1657,1437
"May 2, 2014 Limited",1658,1438
31 December 2014 (USA),1659,1439
September 2012 (Brazil),1660,1440
21 November 2014 (USA),1661,1441
12 April 1962 (USA),1662,1442
28 July 1989 (USA),1663,1443
14 January 1994 (USA),1664,1444
5 August 1988 (USA),1665,1445
16 October 2008 (Russia),1666,1446
24 August 2012 (Taiwan),1667,1447
23 February 2007 (USA),1668,1260
11 October 2013 (USA),1669,1448
10 October 1980 (USA),1670,1449
October 2015 (USA),1671,1450
17 May 1991 (USA),1672,1451
1 March 2016 (USA),1673,1452
7 April 2017 (USA),1674,1453
7 August 1998 (USA),1675,1454
21 October 2011 (Bulgaria),1676,1455
26 August 2001 (USA),1677,1456
3 November 2015 (USA),1678,1457
6 September 2012 (United Arab Emirates),1679,1458
29 July 1994 (USA),1680,786
10 April 1998 (USA),1681,431
20 November 1998 (USA),1682,999
17 November 2000 (USA),1683,1270
18 November 2012 (USA),1684,1459
11 December 1998 (USA),1685,1460
24 April 2010 (USA),1686,1461
21 October 2003 (USA),1687,1462
9 February 1996 (USA),1688,1463
6 January 1995 (USA),1689,1464
16 August 2012 (Ukraine),1690,1465
28 February 2007 (Kuwait),1691,1466
5 April 2002 (USA),1692,1467
2 May 2010 (USA),1693,1468
14 January 2011 (USA),1694,1469
30 December 1997 (USA),1695,1470
3 October 1997 (USA),1696,1471
2007 (USA),1697,1472
15 August 1979 (USA),1698,1473
21 January 2005 (USA),1699,1474
14 January 2005 (USA),1700,1166
17 February 2006 (USA),1701,1475
8 August 2007 (USA),1702,1476
1 August 1997 (USA),1703,1477
16 October 2014 (USA),1704,1478
13 October 2006 (USA),1705,1479
4 September 2014 (Malaysia),1706,1480
28 March 2008 (USA),1707,1481
,1708,47
2015 (USA),1709,258
May 2016 (USA),1710,1482
17 June 2010 (United Arab Emirates),1711,1483
9 December 2011 (USA),1712,1484
8 April 2011 (USA),1713,1485
,1714,47
2016 (USA),1715,432
,1716,47
,1717,47
20 September 2009 (Kuwait),1718,1486
2016 (USA),1719,432
20 December 2002 (USA),1720,1487
22 November 1989 (USA),1721,1024
19 December 2003 (USA),1722,1488
28 May 1999 (USA),1723,1489
20 June 1997 (USA),1724,1490
"Mar 23, 1990 Wide",1725,1491
30 July 1999 (USA),1726,1492
20 July 2001 (USA),1727,1493
21 June 1991 (USA),1728,1494
11 August 2006 (USA),1729,1495
5 February 2016 (USA),1730,1496
2016 (USA),1731,432
3 June 2015 (France),1732,1497
February 2016 (USA),1733,1498
7 March 2008 (USA),1734,1499
10 September 2014 (France),1735,1500
2016 (USA),1736,432
14 July 2006 (UK),1737,1501
24 May 1978 (USA),1738,1502
25 November 2015 (USA),1739,1503
22 January 2015 (USA),1740,1504
2014 (USA),1741,1505
13 November 2015 (USA),1742,1506
6 November 2015 (USA),1743,751
6 November 2015 (USA),1744,751
"Jan 29, 2016 Limited",1745,1507
9 October 2014 (Hungary),1746,1508
13 November 2015 (USA),1747,1506
4 March 2016 (USA),1748,802
2016 (USA),1749,432
12 April 2012 (Russia),1750,1509
25 December 2014 (USA),1751,1510
20 February 2015 (USA),1752,671
22 May 2015 (USA),1753,778
17 April 2015 (USA),1754,794
1 July 2011 (USA),1755,200
29 March 2013 (USA),1756,1511
4 November 2011 (Brazil),1757,1512
2 May 2004 (USA),1758,1513
17 April 2015 (UK),1759,1514
21 April 2014 (USA),1760,1515
17 January 1992 (USA),1761,1516
26 September 1997 (USA),1762,1517
28 September 1994 (USA),1763,1518
"Jun 27, 2001 Wide",1764,1519
26 April 1995 (USA),1765,1520
26 May 1993 (USA),1766,1521
23 March 1994 (USA),1767,1522
27 April 2012 (UK),1768,1523
14 March 1997 (USA),1769,1524
23 July 1993 (USA),1770,1525
8 March 1991 (USA),1771,1526
18 September 1992 (USA),1772,1527
6 October 1995 (USA),1773,1528
5 June 1998 (USA),1774,1135
15 October 1999 (USA),1775,1529
25 May 2001 (USA),1776,1530
29 January 1964 (USA),1777,1531
25 June 1982 (USA),1778,1532
24 March 1972 (USA),1779,1533
24 July 1998 (USA),1780,1534
4 February 1994 (USA),1781,890
6 January 2009 (USA),1782,1535
16 July 2010 (USA),1783,985
6 February 1987 (USA),1784,1536
21 September 1990 (USA),1785,1537
9 January 2009 (USA),1786,1538
25 December 2013 (USA),1787,1539
14 May 2004 (USA),1788,1540
25 December 2012 (USA),1789,260
18 July 2008 (USA),1790,1541
10 October 2003 (USA),1791,1542
19 June 2015 (USA),1792,232
14 October 1994 (USA),1793,998
16 April 2004 (USA),1794,1543
31 October 2012 (USA),1795,1544
4 January 2002 (USA),1796,12
27 February 1981 (Australia),1797,1545
19 December 1980 (USA),1798,1546
26 December 1973 (UK),1799,1547
24 October 1969 (USA),1800,1548
1 November 1967 (USA),1801,1549
23 October 1960 (USA),1802,1550
7 August 1992 (USA),1803,941
19 October 1939 (USA),1804,1551
16 December 1973 (USA),1805,1552
17 April 2015 (USA),1806,794
14 October 1967 (Japan),1807,1553
11 November 1951 (USA),1808,1554
"May 1, 1958 Wide",1809,1555
9 December 1983 (USA),1810,1048
6 March 2015 (USA),1811,1556
24 January 2003 (USA),1812,1557
2 April 1970 (USA),1813,1558
20 December 1985 (USA),1814,1559
16 June 1969 (Brazil),1815,1560
22 May 2008 (USA),1816,1561
8 May 2015 (USA),1817,1562
7 April 1995 (USA),1818,944
6 August 1999 (USA),1819,286
13 May 2005 (USA),1820,1563
23 April 2010 (USA),1821,1564
27 September 2002 (USA),1822,1565
19 September 2008 (USA),1823,1566
19 March 2010 (USA),1824,1567
14 July 2006 (USA),1825,1568
13 July 1990 (USA),1826,1569
8 May 1998 (USA),1827,1570
24 September 2008 (South Africa),1828,1571
25 January 2011 (USA),1829,1572
22 August 2008 (USA),1830,1573
19 August 2014 (USA),1831,1574
7 February 2003 (USA),1832,1575
6 November 2014 (Singapore),1833,1576
21 June 2002 (USA),1834,829
25 December 2003 (USA),1835,776
31 May 1996 (USA),1836,1577
1 May 2013 (Philippines),1837,1578
17 April 2015 (USA),1838,794
21 January 1983 (USA),1839,1579
15 November 1989 (USA),1840,1580
October 2010 (USA),1841,1581
12 November 1982 (USA),1842,1582
13 January 1989 (USA),1843,1140
16 July 1999 (USA),1844,39
30 January 1998 (USA),1845,1583
22 June 2012 (Iceland),1846,1584
15 January 1999 (USA),1847,1585
24 November 1983 (USA),1848,1586
10 January 1997 (USA),1849,1587
28 August 2013 (France),1850,1588
9 August 1989 (USA),1851,1589
21 June 1985 (USA),1852,1590
22 June 1990 (USA),1853,1591
5 September 1991 (Germany),1854,1592
25 May 2007 (USA),1855,1082
13 May 1983 (USA),1856,1593
29 May 1981 (USA),1857,342
14 January 1970 (USA),1858,1594
,1859,47
27 July 1994 (USA),1860,1595
28 March 2006 (China),1861,1596
5 September 2008 (USA),1862,1597
30 November 2012 (USA),1863,1598
10 November 2011 (Croatia),1864,1599
15 March 1946 (USA),1865,1600
12 April 2002 (USA),1866,1601
10 November 1989 (USA),1867,1602
10 January 2014 (USA),1868,1603
7 February 2003 (Norway),1869,1604
19 June 1987 (West Germany),1870,1605
29 September 1991 (USA),1871,1606
14 November 2003 (USA),1872,1607
20 May 1994 (USA),1873,241
24 October 2007 (France),1874,1608
26 June 1998 (USA),1875,240
6 October 1995 (USA),1876,1528
13 May 2005 (France),1877,1609
30 July 1982 (USA),1878,1610
21 October 1983 (USA),1879,196
20 September 2002 (Greece),1880,1611
,1881,47
16 March 1990 (USA),1882,1612
28 January 2011 (USA),1883,242
21 October 2005 (USA),1884,1613
21 April 2000 (USA),1885,1614
27 July 2007 (USA),1886,894
6 December 2002 (USA),1887,1615
28 July 1995 (USA),1888,1408
7 September 2007 (USA),1889,1616
16 June 2000 (USA),1890,1617
18 February 2000 (USA),1891,1618
15 June 2005 (USA),1892,1619
24 July 1996 (USA),1893,1620
25 September 2009 (USA),1894,1621
10 November 2006 (USA),1895,548
15 July 2011 (USA),1896,1622
20 June 1975 (USA),1897,1623
23 May 1997 (USA),1898,1624
24 January 2014 (USA),1899,963
18 July 2001 (USA),1900,1625
4 July 1990 (USA),1901,1626
27 June 2007 (USA),1902,1627
8 October 1976 (USA),1903,1628
14 December 2005 (USA),1904,1629
22 October 2011 (USA),1905,1630
9 August 2013 (USA),1906,1075
29 January 1975 (France),1907,1631
20 February 1932 (USA),1908,1632
22 December 1933 (USA),1909,1633
4 July 2008 (Mexico),1910,1634
13 June 2008 (USA),1911,1074
17 December 1976 (USA),1912,1635
"Aug 27, 1943 Limited",1913,1636
12 January 1940 (USA),1914,1637
1 December 1944 (USA),1915,1638
20 October 1932 (USA),1916,1639
13 May 1935 (USA),1917,1640
13 March 1942 (USA),1918,1641
3 January 1932 (USA),1919,1642
11 April 2014 (USA),1920,812
20 January 2008 (USA),1921,1643
18 November 2011 (USA),1922,1644
26 January 2001 (USA),1923,720
9 April 2009 (Australia),1924,1645
"Jan 1, 2002 Wide",1925,1646
10 February 2012 (UK),1926,1647
20 August 2008 (USA),1927,1648
5 June 2009 (USA),1928,1649
27 September 2002 (USA),1929,1565
21 December 2007 (USA),1930,1106
5 November 1943 (USA),1931,1650
11 May 1936 (USA),1932,1651
15 June 1948 (USA),1933,1652
7 December 1945 (USA),1934,1653
20 September 1940 (USA),1935,1654
22 December 1944 (USA),1936,1655
19 June 1954 (USA),1937,1656
2 July 1988 (South Korea),1938,1657
26 April 1956 (USA),1939,1658
22 July 1955 (Finland),1940,1659
5 August 2005 (USA),1941,719
23 October 1942 (USA),1942,1660
8 November 1985 (USA),1943,1661
28 May 1980 (France),1944,1662
17 November 2006 (USA),1945,149
23 October 1969 (Sweden),1946,1663
11 July 1964 (Japan),1947,1664
"Dec 8, 1978 Wide",1948,1665
28 March 2008 (USA),1949,1481
17 January 1940 (USA),1950,1666
22 June 1954 (Japan),1951,1667
23 December 1971 (USA),1952,1668
22 December 1976 (USA),1953,1669
25 December 1973 (USA),1954,1670
16 June 1970 (USA),1955,1671
5 December 1986 (USA),1956,1672
2 October 1968 (USA),1957,1673
3 August 1968 (USA),1958,1674
14 July 1972 (USA),1959,1675
2 April 1958 (USA),1960,1676
16 December 1954 (Portugal),1961,1677
19 June 2009 (USA),1962,1678
3 May 2008 (USA),1963,1679
21 February 2014 (USA),1964,1680
22 August 2014 (USA),1965,1681
16 May 2014 (USA),1966,1076
1 May 1998 (USA),1967,1682
10 January 2003 (USA),1968,1683
25 December 2007 (USA),1969,1684
16 January 1998 (USA),1970,1685
3 October 2003 (USA),1971,1262
30 July 2004 (USA),1972,445
23 June 1965 (USA),1973,1686
2 July 2003 (USA),1974,504
24 May 2002 (USA),1975,686
19 May 2000 (USA),1976,1687
17 August 1934 (USA),1977,1688
20 December 1974 (USA),1978,1689
November 1944 (USA),1979,1690
22 April 1962 (USA),1980,1691
30 June 1951 (USA),1981,1692
24 November 1955 (Argentina),1982,1693
13 October 1950 (USA),1983,1694
26 December 1940 (USA),1984,1695
25 September 1961 (USA),1985,1696
6 September 1946 (USA),1986,1697
18 December 1961 (Sweden),1987,1698
13 July 2001 (USA),1988,1188
20 April 1957 (USA),1989,1699
19 October 1966 (USA),1990,1700
2 July 1948 (USA),1991,1701
9 September 2011 (USA),1992,335
25 December 1964 (Finland),1993,573
17 December 1974 (USA),1994,1702
"Aug 20, 1948 Limited",1995,1703
11 May 1939 (USA),1996,1704
17 December 1972 (USA),1997,1705
11 December 1981 (USA),1998,1706
24 December 1942 (Mexico),1999,1707
14 October 1953 (USA),2000,1708
17 May 1950 (USA),2001,1709
3 September 1949 (USA),2002,1710
13 November 1947 (USA),2003,1711
January 1950 (USA),2004,1712
"Aug 15, 1951 Wide",2005,1713
February 1948 (USA),2006,1714
1936 (Turkey),2007,1715
10 June 1955 (Belgium),2008,1716
21 October 2005 (USA),2009,1613
26 April 2013 (USA),2010,1384
1 May 1958 (UK),2011,1717
28 March 2013 (USA),2012,1718
30 August 2013 (Taiwan),2013,1719
20 June 2008 (USA),2014,1720
16 April 2003 (USA),2015,1721
18 October 1941 (USA),2016,1722
30 July 1952 (USA),2017,1723
28 May 1980 (France),2018,1662
20 January 1945 (USA),2019,1724
31 July 1948 (USA),2020,1725
3 June 1955 (USA),2021,1726
25 November 1998 (USA),2022,821
15 December 1995 (USA),2023,878
4 November 1961 (Japan),2024,1727
8 April 1964 (USA),2025,1728
2 September 1953 (USA),2026,1729
30 June 1957 (USA),2027,1730
13 February 1957 (USA),2028,1731
26 October 1967 (USA),2029,1732
19 August 1966 (UK),2030,1733
5 December 1963 (USA),2031,1734
23 February 1934 (USA),2032,1735
15 January 1951 (Sweden),2033,1736
April 1957 (USA),2034,688
22 September 1944 (Sweden),2035,1737
1 December 1942 (Sweden),2036,1738
12 April 1940 (USA),2037,1739
29 October 1970 (USA),2038,1740
5 June 1963 (USA),2039,1741
26 November 1938 (USA),2040,1742
25 October 1957 (West Germany),2041,1743
7 March 1931 (USA),2042,1744
8 February 2002 (USA),2043,503
20 July 1944 (USA),2044,1745
3 November 1938 (France),2045,1746
11 September 1932 (USA),2046,1747
26 May 1950 (USA),2047,1748
2 October 1937 (USA),2048,1749
2 October 1944 (Brazil),2049,1750
12 February 1993 (USA),2050,1751
10 October 1997 (USA),2051,1752
November 1988 (USA),2052,1753
10 September 1972 (Sweden),2053,1754
20 June 1980 (USA),2054,920
21 December 1979 (USA),2055,1755
17 January 1986 (USA),2056,1756
20 June 1986 (USA),2057,1757
"Apr 17, 1981 Limited",2058,1758
21 November 2012 (USA),2059,734
25 January 2002 (USA),2060,288
23 June 1976 (USA),2061,1759
4 March 2005 (USA),2062,916
"Mar 8, 2002 Wide",2063,1760
4 August 2000 (USA),2064,1400
8 November 1991 (USA),2065,1761
17 November 2012 (Japan),2066,1762
24 June 1977 (USA),2067,1763
1 November 1985 (USA),2068,1764
25 September 2015 (USA),2069,50
30 October 1992 (USA),2070,1765
4 May 2018 (USA),2071,1766
23 September 1944 (USA),2072,1767
18 February 1938 (USA),2073,1768
15 May 1939 (USA),2074,1769
21 March 1941 (USA),2075,1770
12 January 1940 (USA),2076,1637
21 October 1937 (USA),2077,1771
4 March 1994 (USA),2078,1772
17 September 1936 (USA),2079,1773
15 June 1938 (USA),2080,1774
8 October 1993 (USA),2081,932
20 June 2003 (USA),2082,1775
28 October 1994 (USA),2083,1776
2015 (USA),2084,258
26 May 2011 (Belarus),2085,1777
18 October 2002 (USA),2086,1778
10 March 2000 (UK),2087,1779
9 September 2005 (UK),2088,1780
1 November 2013 (USA),2089,1781
27 June 2003 (UK),2090,1782
9 November 2012 (Bulgaria),2091,1783
9 March 2007 (USA),2092,1784
17 October 2014 (USA),2093,1785
20 May 2011 (USA),2094,1786
17 December 2014 (USA),2095,1787
20 October 1939 (USA),2096,1788
21 November 2014 (USA),2097,1441
28 July 2006 (USA),2098,1289
25 December 2008 (USA),2099,1222
25 December 2002 (USA),2100,1789
25 December 2008 (USA),2101,1222
25 June 2004 (USA),2102,1229
5 October 2012 (USA),2103,815
9 June 1989 (USA),2104,1790
28 May 2018 (USA),2105,1791
1 June 2015 (USA),2106,1792
2016 (USA),2107,432
22 July 2016 (USA),2108,1415
30 March 1990 (USA),2109,1793
29 April 2011 (USA),2110,1794
19 September 1931 (USA),2111,1795
11 June 1969 (USA),2112,1796
4 April 1959 (USA),2113,1797
27 May 1967 (USA),2114,1798
November 1975 (USA),2115,1799
18 December 1970 (USA),2116,1800
20 October 1995 (USA),2117,1801
29 July 1970 (USA),2118,1802
26 May 1971 (USA),2119,1803
8 August 2014 (USA),2120,1804
7 March 2014 (USA),2121,814
15 August 2014 (USA),2122,1805
7 April 1995 (USA),2123,944
18 July 2003 (USA),2124,1806
22 May 1996 (USA),2125,1807
26 August 1953 (USA),2126,1808
25 December 2008 (USA),2127,1222
5 May 2006 (USA),2128,1809
11 March 1994 (USA),2129,1810
7 November 1997 (USA),2130,1811
3 August 1929 (USA),2131,1812
6 June 1997 (USA),2132,1813
25 May 2001 (USA),2133,1530
3 March 2017 (USA),2134,1814
1 August 2008 (USA),2135,278
22 March 2002 (USA),2136,1815
19 April 2002 (USA),2137,1816
2 April 2004 (USA),2138,654
11 July 2008 (USA),2139,912
19 May 2006 (USA),2140,820
27 April 2007 (USA),2141,1817
7 June 1996 (USA),2142,1818
"Jul 14, 2010 Wide",2143,1819
30 May 2003 (USA),2144,589
14 February 2008 (USA),2145,292
22 August 2008 (USA),2146,1573
11 October 2002 (USA),2147,1409
12 March 2004 (USA),2148,1820
21 December 2007 (USA),2149,1106
11 May 2012 (USA),2150,1821
1 July 2009 (USA),2151,831
25 December 2010 (USA),2152,1822
14 December 1990 (USA),2153,1823
8 June 2001 (USA),2154,1824
16 September 2005 (USA),2155,1825
8 December 2004 (USA),2156,1826
23 January 2009 (USA),2157,1277
13 November 1992 (USA),2158,1827
20 January 2012 (USA),2159,640
10 December 2004 (USA),2160,1828
7 December 2001 (USA),2161,1829
8 June 2007 (USA),2162,901
16 December 2011 (USA),2163,772
19 January 2007 (USA),2164,451
15 May 2009 (USA),2165,1830
16 February 2007 (USA),2166,1275
31 October 2008 (USA),2167,187
13 August 2010 (USA),2168,199
6 February 2009 (USA),2169,534
2 April 2010 (USA),2170,1831
9 September 2009 (USA),2171,1832
17 June 1983 (USA),2172,1833
8 June 1984 (USA),2173,1834
8 June 1984 (USA),2174,1834
16 June 1995 (USA),2175,180
20 June 1997 (USA),2176,1490
28 June 2006 (USA),2177,1835
30 March 1988 (USA),2178,1836
19 June 1981 (USA),2179,1837
23 June 1989 (USA),2180,605
16 June 1989 (USA),2181,1838
"Jan 17, 2014 Wide",2182,1839
1 November 2013 (USA),2183,1781
14 July 1989 (USA),2184,1840
11 June 1937 (USA),2185,1841
17 June 2011 (USA),2186,911
9 July 1982 (USA),2187,1842
28 May 2010 (USA),2188,1843
7 October 2011 (USA),2189,322
9 March 2012 (USA),2190,722
18 February 2011 (USA),2191,797
14 November 2003 (USA),2192,1607
12 October 1946 (Sweden),2193,1844
26 May 1973 (France),2194,1845
15 June 1990 (USA),2195,60
19 September 1997 (USA),2196,1846
20 June 1941 (USA),2197,1847
15 September 1995 (USA),2198,1848
19 January 2001 (USA),2199,161
28 August 1930 (USA),2200,1849
26 December 1990 (USA),2201,1850
2 November 2007 (USA),2202,592
6 December 1940 (USA),2203,1851
30 September 1938 (USA),2204,1852
15 October 2003 (USA),2205,1853
19 October 2007 (USA),2206,1366
29 March 2002 (USA),2207,593
20 November 1998 (USA),2208,999
11 February 2005 (USA),2209,1854
30 June 1999 (USA),2210,887
19 December 2008 (USA),2211,928
15 December 2006 (USA),2212,1223
3 November 2000 (USA),2213,1855
27 November 1996 (USA),2214,1243
16 November 2012 (USA),2215,1856
15 November 1935 (USA),2216,1857
31 December 1997 (USA),2217,1858
17 May 1932 (USA),2218,1859
8 April 2005 (USA),2219,1160
1 October 1993 (USA),2220,511
25 February 1994 (USA),2221,1860
20 December 2002 (USA),2222,1487
11 December 1985 (USA),2223,1861
8 December 1989 (USA),2224,1862
30 March 1984 (USA),2225,1863
22 September 1989 (USA),2226,1864
7 April 1993 (USA),2227,1865
28 September 2001 (USA),2228,889
29 September 2011 (Germany),2229,1866
6 July 2012 (USA),2230,1867
12 March 2010 (USA),2231,1868
26 September 2008 (USA),2232,310
13 April 2007 (USA),2233,1869
28 March 2008 (USA),2234,1481
December 1956 (USA),2235,628
21 February 1986 (USA),2236,1870
"Mar 20, 1998 Wide",2237,1871
31 March 2006 (USA),2238,835
21 May 1993 (USA),2239,1872
"Jul 3, 1987 Wide",2240,1873
28 June 1996 (USA),2241,1874
24 January 2009 (USA),2242,418
16 January 2004 (USA),2243,1875
"Oct 27, 2006 Wide",2244,1876
5 October 2001 (USA),2245,1877
10 January 2003 (USA),2246,1683
1 June 1956 (USA),2247,1878
3 June 2010 (Argentina),2248,1879
24 April 1981 (USA),2249,1880
23 April 1986 (USA),2250,1881
6 June 2003 (Spain),2251,1882
1974 (USA),2252,1883
3 October 1997 (USA),2253,1471
23 January 2009 (USA),2254,1277
"Aug 15, 2003 Wide",2255,1884
17 November 1995 (USA),2256,1885
21 February 1997 (USA),2257,616
31 December 1978 (Poland),2258,1886
17 October 1986 (USA),2259,1887
11 December 1992 (USA),2260,521
16 December 1988 (USA),2261,1888
27 June 1990 (USA),2262,1889
5 August 1983 (USA),2263,1310
25 December 1981 (USA),2264,1890
29 July 1988 (USA),2265,1891
30 June 1993 (USA),2266,1892
13 December 1996 (USA),2267,1893
22 February 2008 (USA),2268,1894
23 September 2005 (USA),2269,1895
3 March 2006 (USA),2270,940
7 April 2006 (USA),2271,1896
29 February 2008 (USA),2272,390
12 October 1972 (USA),2273,1897
9 August 2002 (USA),2274,1399
29 April 2005 (USA),2275,1898
20 January 2008 (USA),2276,1643
2015 (USA),2277,258
10 April 2003 (Germany),2278,1899
1 September 2006 (UK),2279,1900
16 February 2010 (USA),2280,1901
7 February 2007 (France),2281,1902
25 April 2008 (USA),2282,1903
18 November 2011 (USA),2283,1644
4 September 2009 (USA),2284,1904
1 June 2002 (USA),2285,1905
,2286,47
10 September 1975 (France),2287,1906
11 July 2001 (USA),2288,1907
12 May 2010 (USA),2289,1908
3 November 1999 (France),2290,1909
17 August 1990 (USA),2291,1910
31 May 1996 (USA),2292,1577
14 May 2010 (USA),2293,1911
30 April 1999 (USA),2294,1912
7 July 1995 (USA),2295,1913
16 August 1996 (USA),2296,1914
24 June 1994 (USA),2297,143
25 December 1997 (USA),2298,273
12 March 1982 (USA),2299,1915
21 November 2007 (USA),2300,853
"Nov 16, 1976 Wide",2301,1916
27 August 2010 (USA),2302,1917
21 April 1989 (USA),2303,1918
24 March 1995 (USA),2304,1919
21 April 1995 (USA),2305,1920
9 December 1983 (USA),2306,1048
12 October 1936 (Brazil),2307,1921
31 March 2000 (UK),2308,1922
21 October 1933 (USA),2309,1923
"Aug 25, 1995 Wide",2310,1924
21 June 2007 (Israel),2311,1925
27 September 1941 (USA),2312,1926
25 December 1995 (USA),2313,1927
"Apr 6, 2007 Wide",2314,1928
3 September 2010 (USA),2315,708
19 January 1996 (USA),2316,1929
25 December 1997 (USA),2317,273
12 September 2003 (USA),2318,1268
6 December 1996 (USA),2319,638
6 May 2005 (USA),2320,1930
23 February 2001 (USA),2321,784
24 November 1993 (USA),2322,1197
14 August 1987 (USA),2323,372
22 February 2002 (USA),2324,1931
29 September 2006 (USA),2325,1009
1 August 2008 (USA),2326,278
15 August 2003 (USA),2327,1932
"Sep 17, 1999 Wide",2328,1933
2 March 1990 (USA),2329,1934
6 March 1987 (USA),2330,1935
9 October 1992 (USA),2331,1936
6 March 1998 (USA),2332,1937
27 July 1990 (USA),2333,1938
8 February 1985 (USA),2334,1939
5 June 1992 (USA),2335,1940
3 August 1994 (USA),2336,1941
25 July 1997 (USA),2337,1942
25 September 1998 (USA),2338,1943
15 November 1991 (USA),2339,1944
12 July 2002 (USA),2340,1020
17 July 2008 (Greece),2341,1945
20 January 1978 (Finland),2342,1946
14 June 1972 (USA),2343,1947
2008 (USA),2344,193
28 April 2006 (USA),2345,283
14 June 2002 (USA),2346,1948
5 September 2008 (USA),2347,1597
22 December 2000 (USA),2348,1949
28 October 2005 (USA),2349,1065
24 April 2009 (USA),2350,1950
21 September 2014 (UK),2351,1951
23 January 2015 (South Africa),2352,1952
10 April 2015 (USA),2353,1953
7 February 2003 (USA),2354,1575
8 February 2008 (USA),2355,1954
10 March 2006 (USA),2356,1955
17 July 1998 (USA),2357,1956
17 October 2012 (Belgium),2358,1957
29 June 2012 (UK),2359,1958
29 July 1998 (USA),2360,867
22 November 2013 (USA),2361,1087
20 April 2007 (USA),2362,1959
10 May 2013 (USA),2363,1960
19 October 2007 (USA),2364,1366
27 February 1987 (USA),2365,376
11 April 2014 (USA),2366,812
23 September 2011 (USA),2367,986
14 January 2000 (USA),2368,53
22 December 2000 (USA),2369,1949
17 December 2010 (USA),2370,790
1 October 2010 (USA),2371,1961
19 June 2009 (USA),2372,1678
22 February 2013 (USA),2373,1962
26 September 2003 (USA),2374,1963
2 April 2004 (USA),2375,654
24 November 2010 (USA),2376,780
24 October 2003 (USA),2377,1964
11 May 1984 (USA),2378,471
30 September 2005 (USA),2379,1965
28 April 2000 (USA),2380,1966
15 February 1980 (USA),2381,1967
1 June 1971 (France),2382,1968
6 February 1970 (Norway),2383,1969
17 November 1933 (USA),2384,1970
10 October 1980 (USA),2385,1449
"Nov 30, 1990 Wide",2386,1971
6 June 1942 (USA),2387,1972
14 October 1973 (USA),2388,1973
"Mar 5, 1999 Wide",2389,358
18 October 1996 (USA),2390,1974
10 November 2000 (USA),2391,1975
21 December 1968 (Italy),2392,1976
22 November 1991 (USA),2393,144
20 June 1974 (USA),2394,1977
27 November 1976 (USA),2395,1978
19 November 1993 (USA),2396,1979
21 November 2007 (USA),2397,853
23 January 2004 (USA),2398,1980
21 December 2011 (USA),2399,1431
June 1974 (France),2400,1981
16 March 1979 (USA),2401,1982
3 December 2004 (USA),2402,1983
3 April 1996 (USA),2403,1984
1 September 2006 (USA),2404,1985
