jounral_abbreviation,article_jvolumn,original_index,unique_index
Br.J.Anaesth.,0.0,985,589
,51.0,986,590
Journal of human hypertension,13.0,987,591
,21.0,988,45
Acta Radiol,55.0,989,592
The American journal of clinical nutrition,72.0,990,593
Am. J. Respir. Crit. Care Med.,188.0,991,594
Tumour Biol.,35.0,992,215
,11.0,993,105
Burns,28.0,994,595
The American review of respiratory disease,144.0,995,596
,78.0,996,292
Female Pelvic Med Reconstr Surg,,997,597
,26.0,998,56
,13.0,999,69
