Condition,MeasureCode,original_index,unique_index,count
pneumonia,pn-3b,753,22,38
pneumonia,pn-4,754,23,37
pneumonia,pn-5c,755,24,37
pneumonia,pn-6,756,25,36
pneumonia,pn-7,757,26,40
surgical infection prevention,scip-card-2,758,0,36
surgical infection prevention,scip-inf-1,759,1,38
surgical infection prevention,scip-inf-2,760,2,37
surgical infection prevention,scip-inf-3,761,3,36
surgical infection prevention,scip-inf-4,762,4,35
surgical infection prevention,scip-inf-6,763,5,37
surgical infection prevention,scip-vte-1,764,6,36
surgical infection prevention,scip-vte-2,765,7,38
children s asthma care,cac-1,766,76,2
surgical infection prevention,scip-inf-1,767,1,38
surgical infection prevention,scip-inf-2,768,2,37
surgical infection prevention,scip-inf-3,769,3,36
surgical infection prevention,scip-inf-4,770,4,35
surgical infection prevention,scip-inf-6,771,5,37
surgical infection prevention,scip-vte-1,772,6,36
surgical infection prevention,scip-vte-2,773,7,38
children s asthma care,xax-1,774,77,1
children s asthma care,cac-2,775,43,3
children s asthma care,cac-3,776,44,3
heart attack,ami-1,777,8,36
heart attack,ami-2,778,9,38
heart attack,ami-3,779,10,38
heart attaxk,ami-4,780,78,1
heart attack,ami-5,781,12,37
heart attack,ami-7a,782,13,38
heart attack,ami-8a,783,14,38
heart failure,hf-1,784,15,34
heart failure,hf-2,785,16,37
heart failure,hf-3,786,17,40
heart failure,hf-4,787,18,38
pneumonia,pn-x,788,79,1
pneumonia,pn-3b,789,22,38
pneumonia,pn-4,790,23,37
pneumonia,pn-5c,791,24,37
pneumonia,pn-6,792,25,36
pneumonia,pn-7,793,26,40
surgical infection prevention,scip-card-2,794,0,36
surgical infection prevention,scip-inf-1,795,1,38
surgical infection prevention,scip-inf-2,796,2,37
surgical infection prevention,scip-inf-3,797,3,36
surgical infection prevention,scip-inf-4,798,4,35
surgical infection prevention,scip-inf-6,799,5,37
surgical infection prevention,scip-vte-1,800,6,36
surgical infection prevention,scip-vte-2,801,7,38
heart attack,ami-1,802,8,36
heart attack,ami-2,803,9,38
heart attack,ami-3,804,10,38
heart attack,ami-4,805,11,36
heart attack,ami-5,806,12,37
heart attack,ami-7a,807,13,38
heart attack,ami-8a,808,14,38
heart failure,hf-1,809,15,34
heart failure,hf-2,810,16,37
heart failure,hf-3,811,17,40
heart failure,hf-4,812,18,38
pneumonia,pn-2,813,21,40
pneumonia,pn-3b,814,22,38
pneumonia,pn-4,815,23,37
pneumonia,pn-5c,816,24,37
pneumonia,pn-6,817,25,36
pneumonia,pn-7,818,26,40
surgical infection prevention,scip-card-2,819,0,36
surgical infection prevention,scip-inf-1,820,1,38
surgical infection prevention,scip-inf-2,821,2,37
surgical infection prevention,scip-inf-3,822,3,36
surgical infection prevention,scip-inf-4,823,4,35
surgical infection prevention,scip-inf-6,824,5,37
surgical infection prevention,scip-vte-1,825,6,36
surgical infection prevention,scip-vte-2,826,7,38
heart attack,ami-1,827,8,36
heart attack,ami-2,828,9,38
heart attack,ami-3,829,10,38
heart attack,ami-4,830,11,36
heart attack,ami-5,831,12,37
heart attack,ami-7a,832,13,38
heart attack,ami-8a,833,14,38
heart failure,hf-1,834,15,34
heart failure,hf-2,835,16,37
heart failure,hf-3,836,17,40
heart failure,hf-4,837,18,38
pneumonia,pn-2,838,21,40
pneumonia,pn-3b,839,22,38
pneumonia,pn-4,840,23,37
pneumonia,pn-5c,841,24,37
pneumonia,pnx6,842,80,1
pneumonia,pn-7,843,26,40
surgical infection prevention,scip-card-2,844,0,36
surgical infection prevention,scip-inf-1,845,1,38
surgical infection prevention,scip-inf-2,846,2,37
surgical infection prevention,scip-inf-3,847,3,36
surgical infection prevention,scip-inf-4,848,4,35
surgical infection prevention,scip-inf-6,849,5,37
surgical infection prevention,scip-vte-1,850,6,36
surgical infxction prxvxntion,scip-vte-2,851,81,1
heart attack,ami-1,852,8,36
heart attack,ami-2,853,9,38
heart attack,ami-3,854,10,38
heart attack,ami-4,855,11,36
heart attack,ami-5,856,12,37
heart attack,ami-7a,857,13,38
heart attack,ami-8a,858,14,38
heart failure,hf-1,859,15,34
heart failure,hf-2,860,16,37
heart failure,hf-3,861,17,40
heart failure,hf-4,862,18,38
pneumonia,pn-2,863,21,40
pneumonia,pn-3b,864,22,38
pneumonia,px-4,865,73,2
pneumonia,pn-5c,866,24,37
pneumonia,pn-6,867,25,36
pneumonia,pn-7,868,26,40
surgical ixfectiox prevextiox,scip-card-2,869,60,2
surgical infection prevention,scip-inf-1,870,1,38
surgical infection prevention,scip-inf-2,871,2,37
surgical infection prevention,scip-inf-3,872,3,36
surgical infection prevention,scip-inf-4,873,4,35
surgical infection prevention,scip-inf-6,874,5,37
surgical infection prevention,scip-vte-1,875,6,36
surgical infection prevention,scip-vte-2,876,7,38
heart attack,ami-1,877,8,36
heart attack,ami-2,878,9,38
heart attack,ami-3,879,10,38
heart attack,ami-4,880,11,36
heart attack,ami-5,881,12,37
heart attack,ami-7a,882,13,38
heart attack,ami-8a,883,14,38
heart failure,hf-1,884,15,34
heart failure,hf-2,885,16,37
heart failure,hf-3,886,17,40
heart failure,hf-4,887,18,38
pneumonia,pn-2,888,21,40
pneumonia,pn-3b,889,22,38
pneumonia,pn-4,890,23,37
pneumonia,pn-5c,891,24,37
pneumonia,pn-6,892,25,36
pneumonia,pn-7,893,26,40
surgical infection prevention,scip-card-2,894,0,36
surgical infection prevention,scip-inf-1,895,1,38
surgical infection prevention,scip-inf-2,896,2,37
surgical infection prevention,scip-inf-3,897,3,36
surgical infection prevention,scip-inf-4,898,4,35
surgical infection prevention,scip-inf-6,899,5,37
surgical infection prevention,scip-vte-1,900,6,36
surgical infection prevention,scip-vte-2,901,7,38
children s asthma care,cac-1,902,76,2
children s asthma care,cac-2,903,43,3
children s asthma care,cac-3,904,44,3
heart attack,ami-1,905,8,36
heart attack,ami-2,906,9,38
heart attack,ami-3,907,10,38
heart attack,ami-4,908,11,36
heart attack,ami-5,909,12,37
heart attack,ami-7a,910,13,38
heart attack,ami-8a,911,14,38
heart failure,hf-1,912,15,34
heart failure,hf-2,913,16,37
heart failure,hf-3,914,17,40
heart failure,hf-4,915,18,38
pneumonia,pn-2,916,21,40
pneumonia,pn-3b,917,22,38
pneumonia,pn-4,918,23,37
pneumonia,pn-5c,919,24,37
pneumonia,pn-6,920,25,36
pneumonia,pn-7,921,26,40
surgical infection prevention,scip-card-2,922,0,36
surgical infection prevention,scip-inf-1,923,1,38
surgical infection prevention,scip-inf-2,924,2,37
surgical infection prevention,scip-inf-3,925,3,36
surgical infection prevention,scip-inf-4,926,4,35
surgical infection prevention,scip-inf-6,927,5,37
surgical infection prevention,scip-vte-1,928,6,36
surgical infection prevention,scip-vte-2,929,7,38
heart attack,amix1,930,66,2
heart attack,ami-2,931,9,38
heart attack,ami-3,932,10,38
heart attack,ami-4,933,11,36
heart attack,ami-5,934,12,37
heart attack,ami-7a,935,13,38
heart attack,ami-8a,936,14,38
heart failure,hf-1,937,15,34
heart failure,hf-2,938,16,37
heart failure,hf-3,939,17,40
heart failure,hf-4,940,18,38
pneumonia,pn-2,941,21,40
pneumonia,pn-3b,942,22,38
pneumonia,pn-4,943,23,37
pneumonia,pn-5c,944,24,37
pneumonia,pn-6,945,25,36
pneumonia,pn-7,946,26,40
surgical infection prevention,scip-card-2,947,0,36
surgical infection prevention,scip-inf-1,948,1,38
surgical infection prevention,scip-inf-2,949,2,37
surgical infection prevention,scip-inf-3,950,3,36
surgical infection prevention,scip-inf-4,951,4,35
surgical infection prevention,scip-inf-6,952,5,37
surgical infection prevention,scip-vte-1,953,6,36
surgical infection prevention,scip-vte-2,954,7,38
hexrt attxck,ami-1,955,82,1
heart attack,ami-2,956,9,38
heart attack,ami-3,957,10,38
heart attack,ami-4,958,11,36
heart attack,ami-5,959,12,37
heart attack,ami-7a,960,13,38
heart attack,ami-8a,961,14,38
heart failure,hf-1,962,15,34
heart failure,hf-2,963,16,37
heart failure,hf-3,964,17,40
heart failure,hf-4,965,18,38
pneumonia,pn-2,966,21,40
pneumonia,pn-3b,967,22,38
pneumonia,pn-4,968,23,37
pneumonia,pn-5c,969,24,37
pneumonia,pn-6,970,25,36
pneumonia,pn-7,971,26,40
surgical infection prevention,scip-card-2,972,0,36
surgical infection prevention,scip-inf-1,973,1,38
surgical xnfection prevention,scip-inf-2,974,83,1
surgical infection prevention,scip-inf-3,975,3,36
surgical infection prevention,scip-inf-4,976,4,35
surgical infection prevention,scip-inf-6,977,5,37
surgical infection prevention,scip-vte-1,978,6,36
surgical infection prevention,scip-vte-2,979,7,38
heart attack,ami-1,980,8,36
heart attack,ami-2,981,9,38
heart attack,ami-3,982,10,38
heart attack,ami-4,983,11,36
heart attack,ami-5,984,12,37
heart attack,ami-7a,985,13,38
heart attack,ami-8a,986,14,38
heart failure,hf-1,987,15,34
heart failure,hf-2,988,16,37
heart failure,hf-3,989,17,40
heart failure,hf-4,990,18,38
pneumonia,pn-2,991,21,40
pneumonia,pn-3b,992,22,38
pneumonia,pn-4,993,23,37
pneumonia,pn-5c,994,24,37
pneumonia,pn-6,995,25,36
pneumonia,pn-7,996,26,40
surgical infection prevention,scip-card-2,997,0,36
surgical infection prevention,scip-inf-1,998,1,38
surgical infection prevention,scip-inf-2,999,2,37
