abv,ibu,original_index,unique_index
0.056,55.0,1228,301
0.052,29.0,1229,620
0.062,,1230,76
0.052,,1231,102
0.048%,,1232,82
0.038%,18.0,1233,621
0.051,31.0,1234,622
0.054000000000000006%,,1235,92
0.053,20.0,1236,179
0.061,,1237,243
0.057999999999999996%,,1238,168
0.05,,1239,0
0.051,32.0,1240,565
0.05,,1241,0
0.055,,1242,8
0.099,,1243,265
0.043,18.0,1244,623
0.085,,1245,13
0.079,18.0,1246,624
0.047,11.0,1247,625
0.05%,40.0,1248,190
0.069,70.0,1249,626
0.07,32.0,1250,627
0.06,30.0,1251,216
0.051,20.0,1252,628
0.055,13.0,1253,629
0.051%,20.0,1254,104
0.042,,1255,81
0.065%,,1256,63
0.042,,1257,81
0.045,,1258,146
0.07200000000000001%,,1259,378
0.067,,1260,133
0.045,21.0,1261,630
0.055,,1262,8
0.055,,1263,8
0.05%,18.0,1264,352
0.09,30.0,1265,631
0.06,14.0,1266,632
0.085,85.0,1267,633
0.099,93.0,1268,634
0.08,88.0,1269,635
0.06%,25.0,1270,487
0.095,49.0,1271,636
0.066,44.0,1272,211
0.047%,,1273,93
0.062,,1274,76
0.07200000000000001%,,1275,378
0.05,,1276,0
0.099,,1277,265
0.063,,1278,202
0.09699999999999999%,,1279,637
0.05,20.0,1280,52
0.065,47.0,1281,638
0.05,35.0,1282,66
0.08%,,1283,126
0.08,,1284,219
0.05,,1285,0
0.05,,1286,0
0.065%,,1287,63
0.065%,60.0,1288,639
0.042,,1289,81
0.065,60.0,1290,640
0.051,,1291,124
0.045,,1292,146
0.045%,,1293,6
0.048,,1294,110
0.047%,,1295,93
0.05,12.0,1296,121
0.06%,,1297,137
0.047,,1298,159
0.055,,1299,8
0.055,,1300,8
0.051,20.0,1301,628
0.055%,,1302,35
0.05%,,1303,94
0.07,,1304,122
0.082,,1305,16
0.06%,24.0,1306,641
0.05%,12.0,1307,642
0.068,68.0,1308,643
0.055,15.0,1309,644
0.045,18.0,1310,645
0.057,30.0,1311,646
0.062,65.0,1312,189
0.037,34.0,1313,647
0.037,21.0,1314,648
0.037,53.0,1315,649
0.069%,,1316,12
0.069,,1317,321
0.069,,1318,321
0.072,75.0,1319,203
0.072,75.0,1320,203
0.042%,22.0,1321,650
0.052,27.0,1322,651
0.052,23.0,1323,373
0.054,42.0,1324,652
0.053%,11.0,1325,653
0.053,30.0,1326,654
0.071,62.0,1327,655
0.053,16.0,1328,656
0.056,,1329,322
0.063,61.0,1330,657
0.063,61.0,1331,657
0.048,12.0,1332,658
0.05%,24.0,1333,659
0.057%,70.0,1334,660
0.08%,100.0,1335,661
0.075,85.0,1336,662
0.06,24.0,1337,663
0.08,100.0,1338,664
0.063,30.0,1339,665
0.058,28.0,1340,666
0.083,,1341,171
0.08,,1342,219
0.075%,,1343,612
0.075%,,1344,612
0.065,,1345,7
0.043,8.0,1346,667
0.075,,1347,4
0.053,,1348,125
0.05,,1349,0
0.068,,1350,95
0.048,,1351,110
0.048,,1352,110
,,1353,218
0.087,80.0,1354,668
0.051,24.0,1355,669
0.075%,51.0,1356,670
0.065%,20.0,1357,671
0.092,,1358,271
0.048%,18.0,1359,672
0.051,24.0,1360,669
0.099,,1361,265
0.054000000000000006%,,1362,92
0.04,,1363,231
0.05%,,1364,94
0.062,,1365,76
0.062,,1366,76
0.055,,1367,8
0.055%,,1368,35
0.055,,1369,8
0.05,,1370,0
0.042,,1371,81
0.055,,1372,8
0.05,,1373,0
0.05,,1374,0
0.068,66.0,1375,673
0.048,44.0,1376,674
0.092,75.0,1377,675
0.04,,1378,231
0.04,,1379,231
0.04,,1380,231
0.04,,1381,231
0.055%,,1382,35
0.056,,1383,322
0.042,,1384,81
0.075,85.0,1385,662
0.068,75.0,1386,361
0.052,50.0,1387,676
0.067,75.0,1388,677
0.055%,30.0,1389,306
0.047,46.0,1390,678
0.058,40.0,1391,610
0.065,115.0,1392,679
0.05,,1393,0
0.054000000000000006%,,1394,92
0.087,,1395,496
0.058,,1396,169
0.055999999999999994%,28.0,1397,680
0.06,49.0,1398,681
0.056,18.0,1399,682
0.049,24.0,1400,683
0.047,14.0,1401,684
0.046%,24.0,1402,685
0.05%,35.0,1403,520
0.052,21.0,1404,686
0.05,,1405,0
0.05%,,1406,94
0.052,21.0,1407,686
0.07,70.0,1408,23
0.082,,1409,16
0.085,,1410,13
0.072,,1411,10
0.042,,1412,81
0.085,,1413,13
0.055,,1414,8
0.05,,1415,0
0.04,,1416,231
0.04,,1417,231
0.053,10.0,1418,687
0.053,14.0,1419,688
0.037,10.0,1420,689
0.052000000000000005%,30.0,1421,690
0.053,30.0,1422,654
0.086%,35.0,1423,691
0.042,24.0,1424,692
0.05,22.0,1425,336
0.042%,24.0,1426,693
0.07,22.0,1427,509
0.065,32.0,1428,694
0.055,15.0,1429,644
0.053%,,1430,282
0.07400000000000001%,,1431,695
0.085,86.0,1432,696
0.085,86.0,1433,696
0.07400000000000001%,,1434,695
0.053,,1435,125
0.061,11.0,1436,697
0.065,65.0,1437,370
0.048,10.0,1438,533
0.048,15.0,1439,578
0.057,29.0,1440,698
0.066%,,1441,262
0.048,,1442,110
0.045,40.0,1443,699
0.065,70.0,1444,700
0.05%,29.0,1445,701
0.055999999999999994%,21.0,1446,702
0.048,,1447,110
0.055%,,1448,35
0.052,,1449,102
0.048%,,1450,82
0.052000000000000005%,18.0,1451,42
0.05,29.0,1452,703
0.052,18.0,1453,526
0.05,29.0,1454,703
0.065%,70.0,1455,704
0.052,18.0,1456,526
0.065,70.0,1457,700
0.048,,1458,110
0.052000000000000005%,18.0,1459,42
0.034,6.0,1460,705
0.062%,,1461,123
0.05,,1462,0
0.05,,1463,0
0.09,,1464,38
0.088,85.0,1465,706
0.09%,,1466,3
0.088,85.0,1467,706
0.05,,1468,0
0.05%,,1469,94
0.062,,1470,76
0.05%,,1471,94
0.068,,1472,95
0.088,,1473,430
0.065%,,1474,63
0.039,,1475,707
0.049%,,1476,136
0.056,20.0,1477,708
0.056,30.0,1478,709
0.052000000000000005%,50.0,1479,710
0.054000000000000006%,,1480,92
0.046,,1481,145
0.042%,35.0,1482,711
0.072,,1483,10
0.054,,1484,75
0.055,,1485,8
0.055%,,1486,35
0.051%,31.0,1487,712
0.072,80.0,1488,579
0.06,,1489,15
0.061,,1490,243
0.055,,1491,8
0.045,,1492,146
0.045%,50.0,1493,713
0.049%,26.0,1494,714
0.048%,19.0,1495,715
0.06,38.0,1496,716
0.06,25.0,1497,254
0.056,47.0,1498,717
0.069%,,1499,12
0.063,,1500,202
0.063%,42.0,1501,718
0.045,,1502,146
0.045,,1503,146
0.043,,1504,74
0.04,,1505,231
0.055,,1506,8
0.061,66.0,1507,719
0.051,7.0,1508,720
0.067,70.0,1509,411
0.054,24.0,1510,298
0.058,27.0,1511,721
0.067%,70.0,1512,156
0.082,25.0,1513,722
0.049,27.0,1514,723
0.048,35.0,1515,724
0.048%,35.0,1516,725
0.047,,1517,159
0.051%,,1518,726
0.05,,1519,0
0.045,,1520,146
0.092%,72.0,1521,727
0.087,29.0,1522,728
0.054,36.0,1523,729
0.047,,1524,159
0.051%,,1525,726
0.051,,1526,124
0.047,,1527,159
0.095%,19.0,1528,730
0.065,26.0,1529,731
0.06%,29.0,1530,732
0.05%,45.0,1531,733
0.057,26.0,1532,734
0.05%,23.0,1533,735
0.06,,1534,15
0.065,65.0,1535,370
0.068,,1536,95
0.055,,1537,8
0.046%,20.0,1538,736
0.045,,1539,146
0.065,,1540,7
0.075%,,1541,612
0.055,,1542,8
0.048%,,1543,82
0.053%,,1544,282
0.055%,,1545,35
0.067%,,1546,266
0.042,,1547,81
0.040999999999999995%,,1548,263
0.065,,1549,7
0.053,,1550,125
0.049%,35.0,1551,737
0.052,,1552,102
0.08,,1553,219
,,1554,218
,,1555,218
,,1556,218
0.05,,1557,0
,,1558,218
0.065,65.0,1559,370
0.065,65.0,1560,370
0.053%,35.0,1561,738
0.085,,1562,13
0.085,,1563,13
0.065,65.0,1564,370
0.07%,,1565,141
0.065,65.0,1566,370
0.065,65.0,1567,370
0.087%,85.0,1568,739
0.065,65.0,1569,370
0.065,65.0,1570,370
0.087,85.0,1571,740
0.09%,,1572,3
0.08%,,1573,126
0.08,70.0,1574,462
0.08%,,1575,126
0.09,60.0,1576,741
0.087,85.0,1577,740
0.099,98.0,1578,742
0.053%,35.0,1579,738
0.099,100.0,1580,317
0.08,35.0,1581,743
0.087,85.0,1582,740
0.065,65.0,1583,370
0.092,85.0,1584,744
0.095,98.0,1585,745
0.099,98.0,1586,742
0.08%,35.0,1587,746
0.08,35.0,1588,743
0.08,35.0,1589,743
0.065,65.0,1590,370
0.065%,65.0,1591,594
0.065,65.0,1592,370
0.065%,65.0,1593,594
0.065,65.0,1594,370
0.052000000000000005%,,1595,278
0.087,60.0,1596,747
0.087%,85.0,1597,739
0.099%,98.0,1598,748
0.08%,85.0,1599,749
0.08,35.0,1600,743
0.065,65.0,1601,370
0.065,65.0,1602,370
0.055%,45.0,1603,419
0.055,55.0,1604,750
0.04,39.0,1605,751
0.048,,1606,110
0.053,,1607,125
0.052,23.0,1608,373
0.053%,48.0,1609,512
0.045,22.0,1610,752
0.044,28.0,1611,753
0.05,24.0,1612,754
0.042,35.0,1613,320
0.062%,65.0,1614,755
0.044,,1615,756
0.048,35.0,1616,724
0.055%,25.0,1617,350
0.05%,,1618,94
0.046%,,1619,757
0.05,61.0,1620,758
0.04,12.0,1621,759
0.05,17.0,1622,760
0.065,77.0,1623,761
0.062,62.0,1624,762
0.042,,1625,81
0.045,,1626,146
0.055,10.0,1627,506
0.048,15.0,1628,578
0.058,,1629,169
0.065%,65.0,1630,594
0.05,40.0,1631,193
0.05,35.0,1632,66
0.051,,1633,124
0.047%,,1634,93
0.049%,,1635,136
,,1636,218
0.047%,,1637,93
0.047,,1638,159
0.047,,1639,159
0.041,12.0,1640,763
0.059,25.0,1641,764
0.069,20.0,1642,765
0.067,74.0,1643,766
0.061,60.0,1644,767
0.055999999999999994%,,1645,80
0.073,,1646,11
0.07,75.0,1647,144
0.05,,1648,0
0.05,,1649,0
0.06,20.0,1650,284
0.07,,1651,122
0.06,24.0,1652,663
0.045,18.0,1653,645
0.055,25.0,1654,87
0.045,18.0,1655,645
0.055,20.0,1656,467
0.07%,70.0,1657,24
0.065,,1658,7
0.069,51.0,1659,768
0.057,31.0,1660,769
0.045,,1661,146
0.049,,1662,79
0.068,,1663,95
0.05%,,1664,94
0.054,45.0,1665,770
0.099,,1666,265
,,1667,218
,,1668,218
0.059000000000000004%,14.0,1669,771
0.069%,17.0,1670,772
0.06,15.0,1671,773
0.058,21.0,1672,774
0.057,68.0,1673,775
0.057999999999999996%,21.0,1674,776
0.059,14.0,1675,777
0.052000000000000005%,18.0,1676,42
0.052000000000000005%,18.0,1677,42
0.045,35.0,1678,778
0.055,30.0,1679,339
0.046,,1680,145
0.058,60.0,1681,561
0.044,5.0,1682,451
0.046,25.0,1683,779
0.099%,85.0,1684,198
0.051%,21.0,1685,780
0.059,,1686,32
0.053,52.0,1687,781
0.06,50.0,1688,557
0.051%,21.0,1689,780
0.072,55.0,1690,782
0.062%,55.0,1691,783
0.049,,1692,79
0.051,17.0,1693,399
0.055,45.0,1694,201
0.07%,,1695,141
0.047%,25.0,1696,784
0.057999999999999996%,18.0,1697,785
0.055,,1698,8
0.065,44.0,1699,786
0.065,44.0,1700,786
0.058,27.0,1701,721
0.08,,1702,219
0.08,,1703,219
0.08%,,1704,126
0.05,16.0,1705,384
0.05%,40.0,1706,190
0.09,60.0,1707,741
0.07,100.0,1708,787
0.099,100.0,1709,317
0.05,25.0,1710,57
0.07%,100.0,1711,788
0.064,,1712,127
0.064,,1713,127
,,1714,218
0.05,,1715,0
0.046,,1716,145
0.056,,1717,322
0.062,,1718,76
,,1719,218
0.055,40.0,1720,178
0.068,,1721,95
0.058,15.0,1722,90
0.061,31.0,1723,789
0.057%,25.0,1724,485
0.068,28.0,1725,790
0.065,70.0,1726,700
0.05%,14.0,1727,791
0.057%,42.0,1728,792
0.055,42.0,1729,572
0.06,60.0,1730,150
0.058,35.0,1731,793
0.052,21.0,1732,686
0.043%,45.0,1733,794
0.072,75.0,1734,203
0.048%,25.0,1735,795
0.038,,1736,46
0.035%,,1737,796
0.043,,1738,74
0.05,,1739,0
0.05,,1740,0
0.05,55.0,1741,797
0.055%,60.0,1742,798
0.05,100.0,1743,799
0.062,,1744,76
0.08,,1745,219
0.05,,1746,0
0.071,,1747,2
0.062,,1748,76
0.048,,1749,110
0.08,,1750,219
0.081,,1751,417
0.053,,1752,125
0.051,,1753,124
0.061,,1754,243
0.055,,1755,8
0.062,,1756,76
0.048,,1757,110
0.045,,1758,146
0.053,,1759,125
,,1760,218
0.055%,,1761,35
0.059,,1762,32
0.05,,1763,0
0.07%,,1764,141
0.055%,,1765,35
0.051,,1766,124
0.076,78.0,1767,800
0.07,80.0,1768,85
0.08,,1769,219
0.071%,36.0,1770,801
0.099,,1771,265
0.051,,1772,124
0.056,40.0,1773,802
0.07200000000000001%,,1774,378
0.063%,,1775,803
0.045%,28.0,1776,804
0.055999999999999994%,35.0,1777,805
0.073,55.0,1778,806
0.048,42.0,1779,807
0.073%,55.0,1780,808
0.056,35.0,1781,809
0.05,15.0,1782,273
0.068%,66.0,1783,810
0.052000000000000005%,40.0,1784,811
0.048%,22.0,1785,812
0.069%,20.0,1786,813
0.095,25.0,1787,814
0.091%,99.0,1788,815
0.055,,1789,8
0.05%,15.0,1790,374
0.06,,1791,15
0.065,,1792,7
0.055%,20.0,1793,575
0.05%,15.0,1794,374
0.07,85.0,1795,816
0.069%,20.0,1796,813
0.055,45.0,1797,201
0.081,,1798,417
0.05,20.0,1799,52
0.055,45.0,1800,201
0.07,85.0,1801,816
0.05,15.0,1802,273
0.055%,45.0,1803,419
0.055%,20.0,1804,575
0.057999999999999996%,20.0,1805,817
0.068,65.0,1806,466
0.08900000000000001%,88.0,1807,818
0.054000000000000006%,,1808,92
0.07,,1809,122
0.055,30.0,1810,339
0.071,95.0,1811,819
0.045,,1812,146
,,1813,218
0.08%,,1814,126
0.055,,1815,8
0.066,,1816,1
0.05%,11.0,1817,820
0.065,,1818,7
0.065%,,1819,63
0.065,,1820,7
0.05,45.0,1821,37
0.05,,1822,0
0.045%,30.0,1823,821
0.05,30.0,1824,505
0.040999999999999995%,16.0,1825,822
0.045%,17.0,1826,823
0.047,,1827,159
0.074,60.0,1828,824
0.065,,1829,7
0.065,,1830,7
0.07%,105.0,1831,825
0.07%,55.0,1832,826
0.077%,40.0,1833,827
0.053,20.0,1834,179
0.077,40.0,1835,828
0.06,53.0,1836,829
0.07,68.0,1837,543
0.068,,1838,95
0.05,,1839,0
0.069%,65.0,1840,830
0.051,,1841,124
0.047,,1842,159
0.051,,1843,124
0.052,,1844,102
0.072,65.0,1845,437
0.06,,1846,15
0.06,,1847,15
0.055999999999999994%,37.0,1848,222
0.048%,26.0,1849,831
0.05%,28.0,1850,443
0.072,65.0,1851,437
0.055999999999999994%,37.0,1852,222
0.069%,,1853,12
0.042%,,1854,313
0.06,,1855,15
0.068%,,1856,604
0.1,52.0,1857,832
0.042,16.0,1858,833
0.08,,1859,219
0.032,7.0,1860,834
0.065,62.0,1861,835
0.047,50.0,1862,836
0.099,111.0,1863,837
0.07,70.0,1864,23
0.067,74.0,1865,766
0.054,42.0,1866,652
0.052000000000000005%,34.0,1867,838
0.063%,57.0,1868,839
0.064,62.0,1869,840
0.099%,85.0,1870,198
0.059,47.0,1871,841
0.052,11.0,1872,842
0.049,35.0,1873,249
0.091%,103.0,1874,843
0.063,69.0,1875,130
0.06,48.0,1876,844
0.054000000000000006%,42.0,1877,845
0.052,34.0,1878,846
0.063,57.0,1879,847
0.064,62.0,1880,840
0.045,,1881,146
0.074,,1882,848
0.068%,65.0,1883,28
0.058,15.0,1884,90
0.058,,1885,169
0.08,,1886,219
,,1887,218
0.042,18.0,1888,849
0.053,,1889,125
0.061,,1890,243
0.057,58.0,1891,850
0.068,65.0,1892,466
0.057999999999999996%,39.0,1893,851
0.071,92.0,1894,852
0.085,,1895,13
0.082,,1896,16
0.049%,,1897,136
0.06%,70.0,1898,853
0.055,16.0,1899,854
0.056,25.0,1900,855
0.062%,,1901,123
0.049,18.0,1902,856
0.055,16.0,1903,854
0.084,90.0,1904,857
0.057999999999999996%,25.0,1905,586
0.07,113.0,1906,858
0.053,21.0,1907,859
0.055999999999999994%,11.0,1908,860
0.049%,44.0,1909,861
0.051,40.0,1910,556
0.07%,88.0,1911,862
0.058,35.0,1912,793
0.062,33.0,1913,863
0.05,,1914,0
0.06,55.0,1915,188
0.054000000000000006%,36.0,1916,864
0.05,22.0,1917,336
0.05,18.0,1918,328
0.052,32.0,1919,865
0.068,60.0,1920,866
0.05,,1921,0
0.092,,1922,271
0.063,100.0,1923,867
0.063,100.0,1924,867
0.06%,,1925,137
0.079,,1926,19
0.099,,1927,265
0.055%,,1928,35
0.05,,1929,0
0.064,,1930,127
0.099%,100.0,1931,868
0.043%,,1932,292
0.052000000000000005%,32.0,1933,869
0.046,12.0,1934,870
0.057%,,1935,316
0.084,90.0,1936,857
0.063,100.0,1937,867
0.07,18.0,1938,871
0.055,40.0,1939,178
0.08,,1940,219
0.05%,22.0,1941,872
0.035%,,1942,796
0.048,32.0,1943,571
0.055,65.0,1944,873
0.075,72.0,1945,874
0.077,65.0,1946,875
0.053%,45.0,1947,876
0.058,60.0,1948,561
0.05,20.0,1949,52
0.08,80.0,1950,421
0.057999999999999996%,40.0,1951,877
0.05%,20.0,1952,414
0.058,60.0,1953,561
0.065,45.0,1954,245
0.055,,1955,8
0.069,23.0,1956,878
0.085,110.0,1957,879
0.092,100.0,1958,880
0.085%,110.0,1959,881
0.072,40.0,1960,882
0.05,20.0,1961,52
0.099,100.0,1962,317
0.055,,1963,8
0.069,23.0,1964,878
0.083,50.0,1965,883
0.065,45.0,1966,245
0.05,20.0,1967,52
0.047,35.0,1968,884
,,1969,218
0.058,,1970,169
0.096,,1971,220
0.082,,1972,16
0.079%,,1973,885
0.06,,1974,15
0.055,,1975,8
0.096%,,1976,886
0.073,,1977,11
0.062%,,1978,123
0.06,,1979,15
0.058,,1980,169
0.055,,1981,8
0.05,22.0,1982,336
0.05%,22.0,1983,872
0.056,,1984,322
0.052,,1985,102
0.042,20.0,1986,448
0.065,52.0,1987,48
0.048%,12.0,1988,887
0.065%,52.0,1989,888
0.065,65.0,1990,370
0.049%,17.0,1991,22
0.057,25.0,1992,889
0.065,65.0,1993,370
0.047,9.0,1994,890
0.047,9.0,1995,890
0.054,33.0,1996,891
0.047,9.0,1997,890
0.052000000000000005%,9.0,1998,892
0.063,64.0,1999,893
0.047%,9.0,2000,894
0.047%,9.0,2001,894
0.047%,9.0,2002,894
0.062,,2003,76
0.057,15.0,2004,895
0.052000000000000005%,7.0,2005,896
0.05,7.0,2006,897
0.05%,7.0,2007,898
0.035,,2008,314
0.049,13.0,2009,899
0.057%,15.0,2010,900
0.054,32.0,2011,901
0.05%,7.0,2012,898
0.054,33.0,2013,891
0.047,14.0,2014,684
0.047,9.0,2015,890
0.051%,31.0,2016,712
0.05,,2017,0
0.05,,2018,0
0.045,,2019,146
0.045,,2020,146
0.051,25.0,2021,902
0.05,30.0,2022,505
0.07200000000000001%,70.0,2023,903
0.05,,2024,0
0.041,8.0,2025,904
0.041,8.0,2026,904
0.032,13.0,2027,905
0.053,49.0,2028,906
0.053,40.0,2029,71
0.047%,55.0,2030,907
0.083%,100.0,2031,908
0.052,29.0,2032,620
0.054,,2033,75
0.054,23.0,2034,909
0.057999999999999996%,20.0,2035,817
0.083,23.0,2036,910
0.099%,36.0,2037,911
0.09,30.0,2038,631
0.053%,23.0,2039,912
0.064,75.0,2040,913
0.063,75.0,2041,914
0.064,75.0,2042,913
0.064,75.0,2043,913
,,2044,218
0.09,30.0,2045,631
0.065%,55.0,2046,915
0.075,77.0,2047,334
0.055999999999999994%,50.0,2048,916
0.099,75.0,2049,917
0.063,23.0,2050,918
,,2051,218
0.054,,2052,75
0.071%,27.0,2053,919
0.054,23.0,2054,909
0.099%,60.0,2055,920
0.07%,,2056,141
0.09,24.0,2057,921
0.055,23.0,2058,592
0.052,24.0,2059,360
0.052,24.0,2060,360
0.08,,2061,219
0.091%,91.0,2062,922
0.09%,30.0,2063,923
0.075,77.0,2064,334
0.055,23.0,2065,592
0.099%,60.0,2066,920
0.054,23.0,2067,909
0.053,20.0,2068,179
0.055999999999999994%,50.0,2069,916
0.045,,2070,146
0.07,,2071,122
0.07200000000000001%,,2072,378
0.057,,2073,73
0.099%,85.0,2074,198
0.073%,69.0,2075,924
0.075,90.0,2076,925
0.04,37.0,2077,926
0.055,34.0,2078,927
0.051,45.0,2079,154
0.051,45.0,2080,154
0.09699999999999999%,120.0,2081,928
0.051%,20.0,2082,104
0.067,33.0,2083,929
0.062,99.0,2084,930
0.073,50.0,2085,931
0.05%,10.0,2086,932
0.056,35.0,2087,809
0.05,38.0,2088,177
0.059000000000000004%,18.0,2089,933
0.045,,2090,146
0.055,35.0,2091,160
0.057%,,2092,316
0.064%,,2093,242
0.054,,2094,75
0.08,95.0,2095,934
0.05%,,2096,94
0.05,44.0,2097,935
0.05,44.0,2098,935
0.049%,28.0,2099,161
0.05%,19.0,2100,936
0.05,19.0,2101,937
0.049%,28.0,2102,161
0.085,34.0,2103,938
0.048%,20.0,2104,504
0.062,35.0,2105,115
0.055999999999999994%,20.0,2106,939
0.05,20.0,2107,52
0.068%,110.0,2108,940
0.044000000000000004%,12.0,2109,941
0.072,93.0,2110,942
0.05,20.0,2111,52
0.05%,20.0,2112,414
0.052,,2113,102
0.085,,2114,13
0.05,20.0,2115,52
0.05,16.0,2116,384
0.07200000000000001%,93.0,2117,943
0.044,22.0,2118,544
0.05%,20.0,2119,414
0.063,60.0,2120,944
0.068,,2121,95
0.055999999999999994%,,2122,80
0.055,,2123,8
0.07%,80.0,2124,945
0.065,35.0,2125,946
0.07%,,2126,141
0.057,,2127,73
0.08,22.0,2128,947
0.057,,2129,73
0.064,,2130,127
0.055,,2131,8
0.048%,,2132,82
0.04%,,2133,408
0.066,,2134,1
0.047%,42.0,2135,948
0.055,35.0,2136,160
0.063,23.0,2137,918
0.056,12.0,2138,949
0.071,69.0,2139,950
0.06,,2140,15
0.096%,,2141,886
0.08,,2142,219
0.07,,2143,122
0.08,120.0,2144,951
0.08,120.0,2145,951
0.046%,20.0,2146,736
0.07%,75.0,2147,952
0.048%,16.0,2148,212
0.059,15.0,2149,953
0.05,,2150,0
0.073,,2151,11
0.07%,,2152,141
0.052,16.0,2153,954
0.057%,46.0,2154,955
0.063,50.0,2155,956
0.052,35.0,2156,957
0.055%,,2157,35
0.05,,2158,0
0.069,34.0,2159,958
0.099,101.0,2160,959
0.046,45.0,2161,960
0.045,,2162,146
,,2163,218
0.052,,2164,102
0.058,,2165,169
0.059,,2166,32
0.047,,2167,159
0.044,,2168,756
0.048,18.0,2169,961
0.052000000000000005%,,2170,278
0.040999999999999995%,,2171,263
0.049,,2172,79
0.051%,11.0,2173,962
0.04%,18.0,2174,963
0.062,40.0,2175,964
0.062,82.0,2176,965
0.053,22.0,2177,227
0.06,50.0,2178,557
0.055%,64.0,2179,304
0.055,31.0,2180,966
0.054,37.0,2181,967
0.053,27.0,2182,446
0.052,,2183,102
0.065%,,2184,63
0.075,,2185,4
,,2186,218
0.058,20.0,2187,968
0.052,12.0,2188,969
0.12,90.0,2189,970
0.055%,,2190,35
0.085,115.0,2191,971
0.058,36.0,2192,972
0.051,22.0,2193,973
0.052,50.0,2194,676
0.045,35.0,2195,778
0.055,,2196,8
0.07%,60.0,2197,347
0.07,35.0,2198,974
0.05,21.0,2199,975
0.045,18.0,2200,645
0.055,37.0,2201,976
0.045,28.0,2202,977
0.073,87.0,2203,978
0.055%,33.0,2204,979
0.05,,2205,0
0.068,,2206,95
0.062,72.0,2207,980
0.065%,,2208,63
0.06,30.0,2209,216
0.057,,2210,73
0.05,,2211,0
0.08%,,2212,126
0.082,,2213,16
0.075,93.0,2214,981
0.045,45.0,2215,982
0.08199999999999999%,25.0,2216,983
0.075%,85.0,2217,984
0.055%,52.0,2218,985
0.062,65.0,2219,189
0.054000000000000006%,26.0,2220,986
0.075,63.0,2221,987
0.051%,19.0,2222,988
0.041,41.0,2223,989
0.048,48.0,2224,990
0.052000000000000005%,27.0,2225,991
0.062%,70.0,2226,992
0.048,,2227,110
0.062%,70.0,2228,992
0.057,36.0,2229,444
0.054,20.0,2230,993
0.052,27.0,2231,651
0.062,70.0,2232,312
0.048,48.0,2233,990
0.046,,2234,145
0.063,69.0,2235,130
0.057999999999999996%,43.0,2236,994
0.057999999999999996%,43.0,2237,994
0.051%,17.0,2238,995
0.051%,36.0,2239,327
0.077,23.0,2240,996
0.045,,2241,146
0.065,,2242,7
0.07,68.0,2243,543
0.065%,,2244,63
0.045,,2245,146
0.05,,2246,0
0.06,,2247,15
0.072,,2248,10
0.048%,,2249,82
0.05%,,2250,94
0.05,10.0,2251,164
0.04,22.0,2252,997
0.04,42.0,2253,998
0.073%,83.0,2254,999
0.04%,17.0,2255,1000
0.04%,32.0,2256,1001
0.073,82.0,2257,1002
0.04%,34.0,2258,1003
0.04,29.0,2259,1004
0.055,,2260,8
0.06%,75.0,2261,354
0.047%,25.0,2262,784
0.065,,2263,7
0.065%,,2264,63
0.065,,2265,7
0.001%,,2266,1005
0.068%,,2267,604
0.064,,2268,127
0.078,,2269,286
0.085,,2270,13
0.085,90.0,2271,324
0.042%,10.0,2272,1006
0.055,,2273,8
0.06,,2274,15
0.045,50.0,2275,1007
0.045,15.0,2276,257
0.06,,2277,15
0.128%,,2278,1008
0.10400000000000001%,,2279,1009
0.068,24.0,2280,1010
0.099,51.0,2281,1011
0.076,,2282,1012
0.06,,2283,15
0.065%,33.0,2284,447
0.075,30.0,2285,1013
0.099,90.0,2286,1014
0.082,,2287,16
0.077,,2288,5
0.075,30.0,2289,1013
0.069%,,2290,12
0.048%,15.0,2291,1015
0.048,22.0,2292,362
0.067,,2293,133
0.058,,2294,169
0.072,,2295,10
0.053,22.0,2296,227
0.065%,70.0,2297,704
0.04%,,2298,408
0.09,75.0,2299,1016
0.08%,,2300,126
0.06,,2301,15
0.06,,2302,15
0.04,,2303,231
0.09,75.0,2304,1016
0.04,,2305,231
0.068,,2306,95
0.069,,2307,321
0.068%,,2308,604
0.068,,2309,95
0.068,,2310,95
0.052,,2311,102
0.092,25.0,2312,1017
0.079,23.0,2313,1018
0.075%,31.0,2314,1019
0.092,25.0,2315,1017
0.073,85.0,2316,279
0.075%,85.0,2317,984
0.04,37.0,2318,926
0.06%,55.0,2319,100
0.055999999999999994%,50.0,2320,916
0.047,,2321,159
0.085,85.0,2322,633
0.047,,2323,159
0.051%,17.0,2324,995
0.04%,37.0,2325,1020
0.052,20.0,2326,439
0.045%,10.0,2327,1021
0.06%,55.0,2328,100
0.047,,2329,159
0.052,67.0,2330,1022
0.054,20.0,2331,993
0.07,,2332,122
0.07,,2333,122
0.09%,,2334,3
0.07,,2335,122
0.055,,2336,8
,,2337,218
0.055,,2338,8
0.04,5.0,2339,1023
0.05,16.0,2340,384
0.068,65.0,2341,466
0.057,22.0,2342,1024
0.052000000000000005%,,2343,278
0.058,55.0,2344,1025
,,2345,218
0.08%,,2346,126
,,2347,218
0.075%,89.0,2348,1026
,,2349,218
0.049%,28.0,2350,161
0.052000000000000005%,,2351,278
0.055%,,2352,35
0.05,,2353,0
0.055,,2354,8
0.055%,,2355,35
0.06,,2356,15
0.049,30.0,2357,246
0.049,30.0,2358,246
0.049,30.0,2359,246
0.082,100.0,2360,1027
0.045,,2361,146
