article_jvolumn,article_jissue,original_index,unique_index,count
39.0,6.0,893,19,2.0
39.0,0.0,894,562,3.0
4.0,4.0,895,198,5.0
39.0,5.0,896,597,1.0
90.0,0.0,897,432,2.0
0.0,0.0,898,32,88.0
41.0,,899,598,
113.0,1.0,900,599,1.0
32.0,6.0,901,272,2.0
14.0,3.0,902,454,2.0
146.0,1.0,903,600,1.0
145.0,3.0,904,601,1.0
42.0,2.0,905,602,1.0
0.0,0.0,906,32,88.0
30.0,3.0,907,67,2.0
40.0,1.0,908,240,2.0
119.0,23.0,909,603,1.0
104.0,36.0,910,604,1.0
12.0,6.0,911,605,1.0
24.0,3.0,912,191,4.0
82.0,11.0,913,606,1.0
23.0,3.0,914,122,3.0
23.0,3.0,915,122,3.0
0.0,0.0,916,32,88.0
56.0,10.0,917,607,1.0
57.0,3.0,918,608,1.0
71.0,1.0,919,560,2.0
16.0,5.0,920,609,1.0
0.0,0.0,921,32,88.0
22.0,0.0,922,184,2.0
12.0,3.0,923,65,2.0
32.0,4.0,924,219,3.0
8.0,6.0,925,11,2.0
34.0,9.0,926,610,1.0
119.0,1.0,927,611,1.0
81.0,0.0,928,612,1.0
11.0,5.0,929,613,1.0
84.0,2.0,930,614,1.0
31.0,20.0,931,615,1.0
0.0,0.0,932,32,88.0
0.0,0.0,933,32,88.0
100.0,0.0,934,616,1.0
6.0,1.0,935,58,2.0
12.0,5.0,936,617,1.0
42.0,5.0,937,217,2.0
33.0,3.0,938,273,2.0
4.0,4.0,939,198,5.0
15.0,4.0,940,433,3.0
14.0,0.0,941,114,3.0
20.0,3.0,942,479,3.0
15.0,4.0,943,433,3.0
11.0,1.0,944,618,1.0
14.0,4.0,945,467,2.0
44.0,3.0,946,437,2.0
0.0,0.0,947,32,88.0
0.0,0.0,948,32,88.0
17.0,0.0,949,124,2.0
9.0,10.0,950,619,1.0
27.0,6.0,951,136,4.0
26.0,1.0,952,551,2.0
34.0,5.0,953,620,1.0
35.0,3.0,954,210,6.0
5.0,0.0,955,265,2.0
25.0,3.0,956,74,2.0
25.0,5.0,957,593,2.0
122.0,3.0,958,621,1.0
174.0,5.0,959,622,1.0
42.0,10.0,960,623,1.0
19.0,6.0,961,624,1.0
39.0,1.0,962,625,1.0
7.0,6.0,963,461,2.0
0.0,0.0,964,32,88.0
54.0,8.0,965,626,1.0
82.0,10.0,966,627,1.0
24.0,2.0,967,34,5.0
379.0,,968,628,
8.0,2.0,969,162,2.0
13.0,1.0,970,545,3.0
202.0,1.0,971,629,1.0
7.0,,972,16,
239.0,6.0,973,630,1.0
15.0,5.0,974,481,2.0
101.0,,975,631,
0.0,0.0,976,32,88.0
65.0,,977,632,
0.0,0.0,978,32,88.0
153.0,7.0,979,633,1.0
7457.0,0.0,980,634,1.0
29.0,2.0,981,6,3.0
39.0,0.0,982,562,3.0
73.0,2.0,983,635,1.0
19.0,2.0,984,78,4.0
0.0,6.0,985,636,1.0
51.0,7.0,986,637,1.0
13.0,9.0,987,346,3.0
21.0,0.0,988,48,5.0
55.0,7.0,989,363,2.0
72.0,5.0,990,515,2.0
188.0,9.0,991,638,1.0
35.0,4.0,992,457,2.0
11.0,2.0,993,69,2.0
28.0,4.0,994,104,3.0
144.0,2.0,995,639,1.0
78.0,3.0,996,640,1.0
,,997,1,
26.0,9.0,998,428,3.0
13.0,1.0,999,545,3.0
