article_language,journal_issn,original_index,unique_index,count
,0007-0912,985,638,
eng,,986,5,
eng,0950-9240 (Print) 0950-9240,987,639,1.0
,,988,9,
eng,1600-0455,989,640,1.0
,Feb-65,990,641,
eng,1535-4970,991,642,1.0
eng,1423-0380,992,215,3.0
,,993,9,
eng,0305-4179,994,643,1.0
eng,0003-0805 (Print) 0003-0805,995,644,1.0
,,996,9,
ENG,2154-4212,997,645,1.0
English,-4473,998,646,1.0
,,999,9,
