ProviderNumber,HospitalType,original_index,unique_index
10046,acute care hospitals,924,92
10046,acute care hospitals,925,92
10046,acuxe care hospixals,926,93
10046,acute care hospitals,927,92
10046,acute care hospitals,928,92
10046,acute care hospitals,929,92
10047,acute care hospitals,930,94
10047,acute care hospitals,931,94
10047,acute care hospitals,932,94
1xx47,acute care hospitals,933,95
10047,acute care hospitals,934,94
10047,acute care hospitals,935,94
10047,acute care hospitals,936,94
10047,acute care hospitals,937,94
10047,acute care hospitals,938,94
10047,acute care hospitals,939,94
10047,acute care hospitals,940,94
10047,acute care hospitals,941,94
10047,acute care hospitals,942,94
10047,acute care hospitals,943,94
10047,acute care hospitals,944,94
10047,acute care hospitals,945,94
10047,acute care hospitals,946,94
10047,acute care hospitals,947,94
10047,acute care hospitals,948,94
10047,acute care hosxitals,949,96
10047,acute care hospitals,950,94
10047,acute care hospitals,951,94
10047,acute care hospitals,952,94
10047,acute care hospitals,953,94
10047,acute care hospitals,954,94
1004x,acute care hospitals,955,97
10049,acute xare hospitals,956,98
10049,acute care hospitals,957,99
10049,acute care hospitals,958,99
10049,acute care hospitals,959,99
10049,acute care hospitals,960,99
10049,acute care hospitals,961,99
10049,acute care hospitals,962,99
10049,acute care hospitals,963,99
10049,acutexcarexhospitals,964,100
10049,acute care hospitals,965,99
10049,acute care hospitals,966,99
10049,acute care hospitals,967,99
10049,acute care hospitals,968,99
10049,acute care hospitals,969,99
10049,acute care hospitals,970,99
10049,acute care hospitals,971,99
10049,acute care hospitals,972,99
10049,acute care hospitals,973,99
10049,acute care hospitals,974,99
10049,acute care hospitals,975,99
10049,acutexcarexhospitals,976,100
10049,acute care hospitals,977,99
10049,acute care hospitals,978,99
10049,acute care hospitals,979,99
10050,acute care hospitals,980,101
10050,acute care hospitals,981,101
10050,acute care hospitals,982,101
10050,acute care hospitals,983,101
10050,acute care hospitals,984,101
10050,acute care hospitals,985,101
10050,acute care hospitals,986,101
10050,acute care hospitals,987,101
10050,acute care hospitals,988,101
10050,acute care hospitals,989,101
10050,acute care hospitals,990,101
10050,acute care hospitals,991,101
10050,acute care hospitals,992,101
10050,acute care hospitals,993,101
10050,acute care hospitals,994,101
10050,acute care hospitals,995,101
10050,acute care hospitals,996,101
10050,acute care hospitals,997,101
10050,acute care hospitals,998,101
10050,acute care hospitals,999,101
