Creator,Cast,original_index,unique_index
"Len Wiseman,John Hlavin","Kate Beckinsale,Stephen Rea,Michael Ealy,Theo James,India Eisley,Sandrine Holt,Charles Dance,Kris Holden-Ried,Jacob Blair,Adam Greydon Reid,Catlin Adams,Robert Lawrenson,Lee Majdoub,John Innes,Tyler McClendon",2159,2144
"George Nolfi,George Clayton Johnson","Brad Pitt,Catherine Zeta-Jones,George Clooney,Ed Kross,Julia Roberts,Don Tiffany,Anne Jacques,David Sontag,Larry Sontag,Andy Garcia,Casey Affleck,Dina Connolly,Scott Caan,Nelson Peltz,Mini Anden",2160,2145
"George Clayton Johnson,Jack Golden Russell","George Clooney,Cecelia Ann Birt,Paul L. Nolan,Carol Florence,Lori Galinski,Bernie Mac,Brad Pitt,Mark Gantt,Timothy Paul Perez,Elliott Gould,Frank Patton,Casey Affleck,Scott Caan,Eddie Jemison,Jorge R. Hernandez",2161,2146
"Brian Koppelman,David Levien","George Clooney,Brad Pitt,Matt Damon,Michael Mantell,Elliott Gould,Ray Xifo,Al Pacino,Adam Lazarre-White,Eddie Jemison,Don Cheadle,Shaobo Qin,Casey Affleck,Scott Caan,Bernie Mac,Carl Reiner",2162,2147
"Michele Mulroney,Kieran Mulroney","Robert Downey Jr.,Jude Law,Noomi Rapace,Rachel McAdams,Jared Harris,Stephen Fry,Paul Anderson,Kelly Reilly,Geraldine James,Eddie Marsan,William Houston,Wolf Kahler,Iain Mitchell,Jack Laskey,Patricia Slater",2163,2148
,"Ronald Bailey,Sam Blackburn,Leo Daniels,Walter Day,Kent Farries,Ben Gold,Billy Mitchell,Robert Mruczek,Darren Olsen,Mark Robichek,Todd Rogers,Steve Sanders,Joel West",2164,2149
"David Koepp,Akiva Goldsman","Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan Skarsgård,Pierfrancesco Favino,Nikolaj Lie Kaas,Armin Mueller-Stahl,Thure Lindhardt,David Pasquesi,Cosimo Fusco,Victor Alfieri,Franklin Amobi,Curt Lowens,Bob Yerkes,Marc Fiorini",2165,2150
"Mark Steven Johnson,Mark Steven Johnson","Matt Long,Raquel Alessi,Brett Cullen,Peter Fonda,Nicolas Cage,Donal Logue,Tony Ghosthawk,Hugh Sexton,Marcus Jones,Matt Norman,Lawrence Cameron Steele,Wes Bentley,Eddie Baroo,Jessica Napier,Laurence Breuls",2166,2151
J. Michael Straczynski,"Angelina Jolie,Gattlin Griffith,Michelle Gunn,Michael Kelly,Jan Devereaux,Erica Grant,Antonia Bennett,Kerri Randles,Frank Wood,Morgan Eastwood,Madison Hodges,John Malkovich,Colm Feore,Devon Conti,Ric Sarabia",2167,2152
"Dave Callaham,Sylvester Stallone","Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,Eric Roberts,Randy Couture,Steve Austin,David Zayas,Giselle Itié,Charisma Carpenter,Gary Daniels,Terry Crews,Mickey Rourke,Hank Amos,Amin Joseph",2168,2153
"Henry Selick,Neil Gaiman","Dakota Fanning,Teri Hatcher,Jennifer Saunders,Dawn French,Keith David,John Hodgman,Robert Bailey Jr.,Ian McShane,Aankha Neal,George Selick,Hannah Kaiser,Harry Selick,Marina Budovsky,Emerson Tenney,Jerome Ranft",2169,2154
"Travis Beacham,Phil Hay","Sam Worthington,Liam Neeson,Ralph Fiennes,Jason Flemyng,Gemma Arterton,Alexa Davalos,Tine Stapelfeldt,Mads Mikkelsen,Luke Evans,Izabella Miko,Liam Cunningham,Hans Matheson,Ashraf Barhom,Mouloud Achour,Ian Whyte",2170,2155
"Pamela Pettler,Shane Acker","Christopher Plummer,Martin Landau,John C. Reilly,Crispin Glover,Jennifer Connelly,Fred Tatasciore,Elijah Wood,Alan Oppenheimer,Tom Kane,Helen Wilson",2171,2156
"Joe Shuster,Jerry Siegel","Christopher Reeve,Richard Pryor,Jackie Cooper,Marc McClure,Annette O'Toole,Annie Ross,Pamela Stephenson,Robert Vaughn,Margot Kidder,Gavan O'Herlihy,Nancy Roberts,Graham Stark,Henry Woolf,Gordon Rollings,Peter Wear",2172,2157
Chris Columbus,"Hoyt Axton,John Louie,Keye Luke,Don Steele,Susan Burgess,Scott Brady,Arnie Moore,Corey Feldman,Harry Carey Jr.,Zach Galligan,Dick Miller,Phoebe Cates,Polly Holliday,Donald Elson,Belinda Balaski",2173,2158
"Dan Aykroyd,Harold Ramis","Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis,Annie Potts,William Atherton,Ernie Hudson,David Margulies,Steven Tash,Jennifer Runyon,Slavitza Jovan,Michael Ensign,Alice Drummond,Jordan Charney",2174,2159
"Bob Kane,Lee Batchler","Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell,Michael Gough,Pat Hingle,Drew Barrymore,Debi Mazar,Elizabeth Sanders,Rene Auberjonois,Joe Grifasi,Philip Moon,Jessica Tuck,Dennis Paladino",2175,2160
"Bob Kane,Akiva Goldsman","Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman,Alicia Silverstone,Michael Gough,Pat Hingle,John Glover,Elle Macpherson,Vivica A. Fox,Vendela Kirsebom Thomessen,Elizabeth Sanders,Jeep Swenson,John Fink,Michael Reid MacKay",2176,2161
"Michael Dougherty,Dan Harris","Brandon Routh,Kate Bosworth,Kevin Spacey,James Marsden,Parker Posey,Frank Langella,Sam Huntington,Eva Marie Saint,Marlon Brando,Kal Penn,Tristan Lake Leabu,David Fabrizio,Ian Roberts,Vincent Stone,Jack Larson",2177,2162
"Michael McDowell,Larry Wilson","Alec Baldwin,Geena Davis,Annie McEnroe,Maurice Page,Hugo Stanger,Michael Keaton,Rachel Mittelman,Catherine O'Hara,J. Jay Saunders,Mark Ettlinger,Jeffrey Jones,Winona Ryder,Glenn Shadix,Patrice Martinez,Cindy Daly",2178,2163
"Joe Shuster,Jerry Siegel","Gene Hackman,Christopher Reeve,Ned Beatty,Jackie Cooper,Sarah Douglas,Margot Kidder,Jack O'Halloran,Valerie Perrine,Susannah York,Clifton James,E.G. Marshall,Marc McClure,Terence Stamp,Leueen Willoughby,Robin Pappas",2179,2164
"Bob Kane,Sam Hamm","Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl,Pat Hingle,Billy Dee Williams,Michael Gough,Jack Palance,Jerry Hall,Tracey Walter,Lee Wallace,William Hootkins,Richard Strange,Carl Chase,Mac McDonald",2180,2165
"Dan Aykroyd,Harold Ramis","Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis,Ernie Hudson,Annie Potts,Peter MacNicol,Harris Yulin,David Margulies,Kurt Fuller,Janet Margolin,Wilhelm von Homburg,William T. Deutschendorf,Henry J. Deutschendorf II",2181,2166
"Lorne Cameron,Peter Lepeniotis","Will Arnett,Brendan Fraser,Liam Neeson,Katherine Heigl,Stephen Lang,Maya Rudolph,Jeff Dunham,Gabriel Iglesias,Sarah Gadon,James Rankin,Scott Yaphe,Joe Pingue,Annick Obonsawin,Julie Lemieux,Rob Tinkler",2182,2167
"Scott Mosier,Jimmy Hayward","Owen Wilson,Woody Harrelson,Amy Poehler,George Takei,Colm Meaney,Keith David,Dan Fogler,Jimmy Hayward,Kaitlyn Maher,Carlos Alazraqui,Jeff Biancalana,Danny Carey,Carlos Ponce,Robert Beltran,Lesley Nicol",2183,2168
"Michael G. Wilson,Richard Maibaum","Timothy Dalton,Carey Lowell,Robert Davi,Talisa Soto,Anthony Zerbe,Frank McRae,David Hedison,Wayne Newton,Benicio Del Toro,Anthony Starke,Everett McGill,Desmond Llewelyn,Pedro Armendáriz Jr.,Robert Brown,Priscilla Barnes",2184,2169
"Robert Pirosh,George Seaton","Groucho Marx,Chico Marx,Harpo Marx,Allan Jones,Maureen O'Sullivan,Margaret Dumont,Leonard Ceeley,Douglass Dumbrille,Esther Muir,Sig Ruman,Robert Middlemass,Vivien Fay,Ivie Anderson,The Crinoline Choir",2185,2170
"Greg Berlanti,Michael Green","Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong,Tim Robbins,Jay O. Sanders,Taika Waititi,Angela Bassett,Mike Doyle,Nick Jandl,Dylan James,Gattlin Griffith,Jon Tenney,Leanne Cochran,Temuera Morrison",2186,2171
"Steven Lisberger,Steven Lisberger","Jeff Bridges,Bruce Boxleitner,David Warner,Cindy Morgan,Barnard Hughes,Dan Shor,Peter Jurasik,Tony Stephano,Craig Chudy,Vince Deadrick Jr.,Sam Schatz,Jackson Bostwick,David S. Cass Sr.,Gerald Berns,Bob Neill",2187,2172
"Boaz Yakin,Doug Miro","Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint,Toby Kebbell,Richard Coyle,Ronald Pickup,Reece Ritchie,Gísli Örn Garðarsson,Claudio Pacifico,Thomas DuPont,Dave Pope,Domonkos Pardanyi,Massimilano Ubaldi",2188,2173
"John Gatins,Dan Gilroy","Hugh Jackman,Dakota Goyo,Evangeline Lilly,Anthony Mackie,Kevin Durand,Hope Davis,James Rebhorn,Karl Yune,Olga Fonda,John Gatins,Sophie Levy,Tess Levy,Charlie Levy,Gregory Sims,Torey Adkins",2189,2174
"Andrew Stanton,Mark Andrews","Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church,Mark Strong,Ciarán Hinds,Dominic West,James Purefoy,Bryan Cranston,Polly Walker,Daryl Sabara,Arkie Reece,Davood Ghadami,Pippa Nixon",2190,2175
"Alfred Gough,Miles Millar","Alex Pettyfer,Timothy Olyphant,Teresa Palmer,Dianna Agron,Callan McAuliffe,Kevin Durand,Jake Abel,Jeff Hochendoner,Patrick Sebes,Greg Townley,Reuben Langdon,Emily Wickersham,Molly McGinnis,Brian Howe,Andy Owen",2191,2176
"Patrick O'Brian,Peter Weir","Russell Crowe,Paul Bettany,James D'Arcy,Edward Woodall,Chris Larkin,Max Pirkis,Jack Randall,Max Benitz,Lee Ingleby,Richard Pates,Robert Pugh,Richard McCabe,Ian Mercer,Tony Dolan,David Threlfall",2192,2177
"Joseph Fields,Roland Kibbee","Groucho Marx,Harpo Marx,Chico Marx,Charles Drake,Lois Collier,Sig Ruman,Lisette Verea,Lewis L. Russell,Dan Seymour,Frederick Giermann,Harro Mellor,David Hoffman,Paul Harvey",2193,2178
Garry Michael White,"Gene Hackman,Al Pacino,Dorothy Tristan,Ann Wedgeworth,Richard Lynch,Eileen Brennan,Penelope Allen,Richard Hackman,Al Cingolani,Rutanya Alda",2194,2179
"Chester Gould,Jim Cash","Warren Beatty,Charlie Korsmo,Michael Donovan O'Donnell,Jim Wilkey,Stig Eldred,Neil Summers,Chuck Hicks,Lawrence Steven Meyers,William Forsythe,Ed O'Ross,Glenne Headly,Marvelee Cariaga,Michael Gallup,Seymour Cassel,James Keane",2195,2180
"James Ellroy,Brian Helgeland","Kevin Spacey,Russell Crowe,Guy Pearce,James Cromwell,Kim Basinger,Danny DeVito,David Strathairn,Ron Rifkin,Matt McCoy,Paul Guilfoyle,Paolo Seganti,Elisabeth Granli,Sandra Taylor,Steve Rankin,Graham Beckel",2196,2181
"Sid Kuller,Hal Fimberg","Groucho Marx,Chico Marx,Harpo Marx,Tony Martin,Virginia Grey,Margaret Dumont,Douglass Dumbrille,William Tannen,Marion Martin,Virginia O'Brien,Henry Armetta,Anna Demetrio,Paul Stanton,Russell Hicks,Bradley Page",2197,2182
Christopher McQuarrie,"Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey,Chazz Palminteri,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya,Paul Bartel,Carl Bressler,Phillipe Simon,Jack Shearer,Christine Estabrook",2198,2183
Guy Ritchie,"Benicio Del Toro,Dennis Farina,Vinnie Jones,Brad Pitt,Rade Serbedzija,Jason Statham,Alan Ford,Mike Reid,Robbie Gee,Lennie James,Ewen Bremner,Jason Flemyng,Ade,William Beck,Andy Beckwith",2199,2184
"George S. Kaufman,Morrie Ryskind","The Marx Brothers,Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Lillian Roth,Margaret Dumont,Louis Sorin,Hal Thompson,Margaret Irving,Kathryn Reece,Robert Greig,Edward Metcalf,The Music Masters",2200,2185
"Mario Puzo,Francis Ford Coppola","Al Pacino,Diane Keaton,Talia Shire,Andy Garcia,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello",2201,2186
"Steven Zaillian,Mark Jacobson","Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,Lymari Nadal,Ted Levine,Roger Guenveur Smith,John Hawkes,RZA,Yul Vazquez,Malcolm Goodwin,Ruby Dee,Ruben Santiago-Hudson,Carla Gugino,Skyler Fortgang",2202,2187
Irving Brecher,"Groucho Marx,Chico Marx,Harpo Marx,John Carroll,Diana Lewis,Walter Woolf King,Robert Barrat,June MacCloy,George Lessey",2203,2188
"Morrie Ryskind,John Murray","Groucho Marx,Chico Marx,Harpo Marx,Lucille Ball,Ann Miller,Frank Albertson,Cliff Dunstan,Donald MacBride,Philip Loeb,Philip Wood,Alexander Asro,Charles Halton",2204,2189
"Brian Helgeland,Dennis Lehane","Sean Penn,Tim Robbins,Kevin Bacon,Laurence Fishburne,Marcia Gay Harden,Laura Linney,Kevin Chapman,Tom Guiry,Emmy Rossum,Spencer Treat Clark,Andrew Mackin,Adam Nelson,Robert Wahlberg,Jenny O'Hara,John Doman",2205,2190
"Ben Affleck,Aaron Stockard","Casey Affleck,Michelle Monaghan,Morgan Freeman,Ed Harris,John Ashton,Amy Ryan,Amy Madigan,Titus Welliver,Michael Kenneth Williams,Edi Gathegi,Mark Margolis,Madeline O'Brien,Slaine,Trudi Goodman,Matthew Maher",2206,2191
David Koepp,"Jodie Foster,Kristen Stewart,Forest Whitaker,Dwight Yoakam,Jared Leto,Patrick Bauchau,Ann Magnuson,Ian Buchanan,Andrew Kevin Walker,Paul Schulze,Mel Rodriguez,Richard Conant,Paul Simon,Victor Thrash,Ken Turner",2207,2192
David Marconi,"Will Smith,Gene Hackman,Jon Voight,Lisa Bonet,Regina King,Stuart Wilson,Laura Cayouette,Loren Dean,Barry Pepper,Ian Hart,Jake Busey,Scott Caan,Jason Lee,Gabriel Byrne,James Le Gros",2208,2193
Kevin Bisch,"Will Smith,Eva Mendes,Kevin James,Amber Valletta,Julie Ann Emery,Adam Arkin,Robinne Lee,Nathan Lee Graham,Michael Rapaport,Jeffrey Donovan,Paula Patton,Philip Bosco,Kevin Sussman,Navia Nguyen,Matt Malloy",2209,2194
"Jim Thomas,John Thomas","Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek,M. Emmet Walsh,Ted Levine,Frederique Van Der Wal,Musetta Vander,Sofia Eng,Bai Ling,Garcelle Beauvais,Mike H. McGaughy,Jerry Wills,Rodney A. Grant,Buck Taylor",2210,2195
Grant Nieporte,"Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,Barry Pepper,Elpidia Carrillo,Robinne Lee,Joe Nunez,Bill Smitrovich,Tim Kelleher,Gina Hecht,Andy Milder,Judyann Elder,Sarah Jane Morris,Madison Pettis",2211,2196
Steve Conrad,"Will Smith,Jaden Smith,Thandie Newton,Brian Howe,James Karen,Dan Castellaneta,Kurt Fuller,Takayo Fischer,Kevin West,George Cheung,David Michael Silverman,Domenic Bove,Geoff Callan,Joyful Raven,Scott Klace",2212,2197
"Steven Pressfield,Jeremy Leven","Will Smith,Matt Damon,Charlize Theron,Bruce McGill,Joel Gretsch,J. Michael Moncrief,Peter Gerety,Lane Smith,Michael O'Neill,Thomas Jay Ryan,Trip Hamilton,Dermot Crowley,Harve Presnell,Danny Nelson,Bob Penny",2213,2198
"Arthur Miller,Arthur Miller","Daniel Day-Lewis,Winona Ryder,Paul Scofield,Joan Allen,Bruce Davison,Rob Campbell,Jeffrey Jones,Peter Vaughan,Karron Graves,Charlayne Woodard,Frances Conroy,Elizabeth Lawrence,George Gaynes,Mary Pat Gleason,Robert Breuler",2214,2199
"Tony Kushner,Doris Kearns Goodwin","Daniel Day-Lewis,Sally Field,David Strathairn,Joseph Gordon-Levitt,James Spader,Hal Holbrook,Tommy Lee Jones,John Hawkes,Jackie Earle Haley,Bruce McGill,Tim Blake Nelson,Joseph Cross,Jared Harris,Lee Pace,Peter McRobbie",2215,2200
"George S. Kaufman,Morrie Ryskind","Groucho Marx,Chico Marx,Harpo Marx,Kitty Carlisle,Allan Jones,Walter Woolf King,Sig Ruman,Margaret Dumont,Edward Keane,Robert Emmett O'Connor",2216,2201
"Jim Sheridan,Terry George","Daniel Day-Lewis,Daragh Donnelly,Frank Coughlan,Sean Kearns,Lorraine Pilkington,Niall Shanahan,John Wall,Maria McDermottroe,Carol Scanlan,Kate Perry,Andrea Irvine,Joan McGarry,Theresa McComb,Catherine Dunne,Kerrie Duggan",2217,2202
"James Fenimore Cooper,Colbert Clark","Harry Carey,Hobart Bosworth,Frank Coghlan Jr.,Edwina Booth,Lucile Browne,Walter Miller,Bob Kortman,Walter McGrail,Nelson McDowell,Edward Hearn,Mischa Auer,Yakima Canutt",2218,2203
Rebecca Miller,"Camilla Belle,Daniel Day-Lewis,Catherine Keener,Ryan McDonald,Paul Dano,Jason Lee,Jena Malone,Beau Bridges,Susanna Thompson",2219,2204
"Edith Wharton,Jay Cocks","Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Linda Faye Farkas,Michael Rees Davis,Terry Cook,Jon Garrison,Richard E. Grant,Alec McCowen,Geraldine Chaplin,Mary Beth Hurt,Stuart Wilson,Howard Erskine,John McLoughlin,Christopher Nilsson",2220,2205
"Gerry Conlon,Terry George","Alison Crosbie,Daniel Day-Lewis,Philip King,Emma Thompson,Nye Heron,Anthony Brophy,Frankie McCafferty,Paul Warriner,Julian Walsh,Stuart Wolfenden,Jo Connor,Karen Carlisle,Seamus Moran,Billy Byrne,Maureen McBride",2221,2206
"Jay Cocks,Jay Cocks","Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,Jim Broadbent,John C. Reilly,Henry Thomas,Liam Neeson,Brendan Gleeson,Gary Lewis,Stephen Graham,Eddie Marsan,Alec McCowen,David Hemmings,Lawrence Gilliard Jr.,Cara Seymour",2222,2207
"Mark Rosenthal,Lawrence Konner","Michael Douglas,Kathleen Turner,Danny DeVito,Spiros Focás,Avner Eisenberg,Paul David Magid,Howard Jay Patterson,Randall Edwin Nelson,Samuel Ross Williams,Timothy Daniel Furst,Hamid Fillali,Holland Taylor,Guy Cuevas,Peter DePalma,Mark Daly Richards",2223,2208
"Warren Adler,Michael Leeson","Michael Douglas,Kathleen Turner,Danny DeVito,Marianne Sägebrecht,Sean Astin,Heather Fairfield,G.D. Spradlin,Peter Donat,Dan Castellaneta,Gloria Cromwell,Harlan Arnold,Mary Fogarty,Rika Hofmann,Patricia Allison,Peter Brocco",2224,2209
Diane Thomas,"Michael Douglas,Kathleen Turner,Danny DeVito,Zack Norman,Alfonso Arau,Manuel Ojeda,Holland Taylor,Mary Ellen Trainor,Eve Smith,Joe Nesnow,José Chávez,Evita Muñoz 'Chachita',Camillo García,Rodrigo Puebla,Paco Morayta",2225,2210
"Craig Bolotin,Warren Lewis","Michael Douglas,Andy Garcia,Ken Takakura,Kate Capshaw,Yûsaku Matsuda,Shigeru Kôyama,John Spencer,Guts Ishimatsu,Yûya Uchida,Tomisaburô Wakayama,Miyuki Ono,Luis Guzmán,John Costelloe,Stephen Root,Richard Riehle",2226,2211
"Jack Engelhard,Amy Holden Jones","Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel,Oliver Platt,Billy Bob Thornton,Rip Taylor,Billy Connolly,Joel Brooks,Pierre Epstein,Danny Zorn,Kevin West,Pamela Holt,Tommy Bush,Mariclare Costello",2227,2212
"Andrew Klavan,Anthony Peckham","Michael Douglas,Sean Bean,Brittany Murphy,Skye McCole Bartusiak,Guy Torry,Jennifer Esposito,Shawn Doyle,Victor Argo,Conrad Goode,Paul Schulze,Lance Reddick,Famke Janssen,Oliver Platt,Aidan Devine,Alex Campbell",2228,2213
J.C. Chandor,"Kevin Spacey,Paul Bettany,Jeremy Irons,Zachary Quinto,Penn Badgley,Simon Baker,Mary McDonnell,Demi Moore,Stanley Tucci,Aasif Mandvi,Ashley Williams,Susan Blackwell,Maria Dizzia,Jimmy Palumbo,Al Sapienza",2229,2214
"Shane Salerno,Don Winslow","Blake Lively,Taylor Kitsch,Aaron Taylor-Johnson,Jana Banker,Candra Docherty,Nana Ghana,Gary Stretch,Benicio Del Toro,Diego Cataño,Shea Whigham,Karishma Ahluwalia,Joaquín Cosio,John Travolta,Jonathan Carr,Demian Bichir",2230,2215
"Brian Helgeland,Rajiv Chandrasekaran","Igal Naor,Said Faraj,Faycal Attougui,Aymen Hamdouchi,Matt Damon,Nicoye Banks,Jerry Della Salla,Sean Huze,Michael J. Dwyer,Edouard H.R. Gluck,Brian Siefkes,Adam Wendling,Abdul Henderson,Paul Karsko,Robert Miller",2231,2216
"John Glenn,Travis Wright","Shia LaBeouf,Michelle Monaghan,Rosario Dawson,Michael Chiklis,Anthony Mackie,Ethan Embry,Billy Bob Thornton,Anthony Azizi,Cameron Boyce,Lynn Cohen,Bill Smitrovich,Charles Carroll,William Sadler,Deborah Strang,Dariush Kashani",2232,2217
"Christopher Landon,Carl Ellsworth","Shia LaBeouf,Sarah Roemer,Carrie-Anne Moss,David Morse,Aaron Yoo,Jose Pablo Cantillo,Matt Craven,Viola Davis,Brandon Caruso,Luciano Rauso,Daniel Caruso,Kevin Quinn,Elyse Mirto,Suzanne Rico,Kent Shocknek",2233,2218
"Peter Steinfeld,Allan Loeb","Jim Sturgess,Kevin Spacey,Kate Bosworth,Aaron Yoo,Liza Lapira,Jacob Pitts,Laurence Fishburne,Jack McGee,Josh Gad,Sam Golzari,Helen Carey,Jack Gilpin,Donna Lows,Butch Williams,Ben Campbell",2234,2219
"George Zuckerman,Robert Wilder","Rock Hudson,Lauren Bacall,Robert Stack,Dorothy Malone,Robert Keith,Grant Williams,Robert J. Wilke,Edward Platt,Harry Shannon,John Larch,Joseph Granby,Roy Glenn,Maidie Norman,William Schallert,Joanne Jordan",2235,2220
"Sarah Kernochan,Zalman King","Kim Basinger,Mickey Rourke,Margaret Whitton,David Margulies,Christine Baranski,Karen Young,William De Acutis,Dwight Weist,Roderick Cook,Victor Truro,Justine Johnston,Cintia Cruz,Kim Chan,Lee Lai Sing,Rudolph Willrich",2236,2221
Stephen Peters,"Kevin Bacon,Matt Dillon,Neve Campbell,Theresa Russell,Denise Richards,Daphne Rubin-Vega,Robert Wagner,Bill Murray,Carrie Snodgress,Jeff Perry,Cory Pendergast,Marc Macaulay,Toi Svane Stepp,Dennis Neal,Diane Adams",2237,2222
"Leora Barish,Henry Bean","Stan Collymore,Sharon Stone,Neil Maskell,David Thewlis,Jan Chappell,David Morrissey,Terence Harvey,Hugh Dancy,Ellen Thomas,Mark Sangster,Tim Berrington,Indira Varma,Charlotte Rampling,Heathcote Williams,Flora Montgomery",2238,2223
"Ira Levin,Joe Eszterhas","Sharon Stone,William Baldwin,Tom Berenger,Polly Walker,Colleen Camp,Amanda Foreman,Martin Landau,CCH Pounder,Nina Foch,Keene Curtis,Nicholas Pryor,Anne Betancourt,Tony Peck,Frantz Turner,Melvyn Kinder",2239,2224
"David Simkins,Chris Columbus","Elisabeth Shue,Maia Brewton,Keith Coogan,Anthony Rapp,Calvin Levels,Vincent D'Onofrio,Penelope Ann Miller,George Newbern,John Ford Noonan,Bradley Whitford,Ron Canada,John Davis Chandler,Dan Ziskie,Allan Aarons,Marcia Bennett",2240,2225
"Carl Hiaasen,Andrew Bergman","Demi Moore,Burt Reynolds,Armand Assante,Ving Rhames,Robert Patrick,Paul Guilfoyle,Jerry Grayson,Rumer Willis,Robert Stanton,William Hill,Stuart Pankin,Dina Spybey-Waters,PaSean Wilson,Pandora Peaks,Barbara Alyn Woods",2241,2226
"Peter Buchman,Ernesto 'Che' Guevara","Julia Ormond,Benicio Del Toro,Oscar Isaac,Pablo Guevara,Franklin Díaz,Armando Suárez Cobián,Rodrigo Santoro,María Isabel Díaz,Demian Bichir,Mateo Gómez,Ramon Fernandez,Yul Vazquez,Jose Caro,Pedro Adorno,Jsu Garcia",2242,2227
Guillermo Arriaga,"Sean Penn,Naomi Watts,Danny Huston,Carly Nahon,Claire Pakis,Benicio Del Toro,Nick Nichols,Charlotte Gainsbourg,John Rubinstein,Eddie Marsan,Loyd Keith Salter,Antef A. Harris,Melissa Leo,Marc Musso,Teresa Delgado",2243,2228
"Guillermo Arriaga Jordan,Guillermo Arriaga","Brad Pitt,Cate Blanchett,Mohamed Akhzam,Peter Wight,Harriet Walter,Trevor Martin,Matyelok Gibbs,Georges Bousquet,Claudine Acs,André Oumansky,Michael Maloney,Dermot Crowley,Wendy Nottingham,Henry Maratray,Linda Broughton",2244,2229
David Ayer,"Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,Harris Yulin,Raymond J. Barry,Cliff Curtis,Dr. Dre,Snoop Dogg,Macy Gray,Charlotte Ayanna,Eva Mendes,Nick Chinlund,Jaime Gomez,Raymond Cruz",2245,2230
"David Benioff,David Benioff","Edward Norton,Philip Seymour Hoffman,Barry Pepper,Rosario Dawson,Anna Paquin,Brian Cox,Tony Siragusa,Levan Uchaneyshvili,Tony Devon,Misha Kuznetsov,Isiah Whitlock Jr.,Michael Genet,Patrice O'Neal,Al Palagonia,Aaron Stanford",2246,2231
"John Michael Hayes,Charles Bennett","James Stewart,Doris Day,Brenda de Banzie,Bernard Miles,Ralph Truman,Daniel Gélin,Mogens Wieth,Alan Mowbray,Hillary Brooke,Christopher Olsen,Reggie Nalder,Richard Wattis,Noel Willman,Alix Talton,Yves Brainville",2247,2232
"Mark Weisbrot,Tariq Ali","Tariq Ali,Raúl Castro,Hugo Chávez,Rafael Correa,Cristina Fernández de Kirchner,Néstor Kirchner,Fernando Lugo,Lula,Evo Morales",2248,2233
"Marc Brandel,Oliver Stone","Michael Caine,Andrea Marcovicci,Annie McEnroe,Bruce McGill,Viveca Lindfors,Rosemary Murphy,Mara Hobel,Pat Corley,Nicholas Hormann,Ed Marshall,Charles Fleischer,John Stinson,Richard Altman,Sparky Watt,Tracey Walter",2249,2234
"Oliver Stone,Rick Boyle","James Woods,James Belushi,Michael Murphy,John Savage,Elpidia Carrillo,Tony Plana,Colby Chester,Cynthia Gibb,Will MacMillan,Valerie Wildman,José Carlos Ruiz,Jorge Luke,Juan Fernández,Salvador Sánchez,Rosario Zúñiga",2250,2235
Oliver Stone,"Fidel Castro,Oliver Stone,Juanita Vera",2251,2236
"Edward Mann,Oliver Stone","Jonathan Frid,Martine Beswick,Joseph Sirola,Christina Pickles,Hervé Villechaize,Anne Meacham,Roger De Koven,Troy Donahue,Mary Woronov,Richard Cox,Timothy Ousey,Henry Judd Baker,Lucy Bingham,Alexis Kirk,Emil Meola",2252,2237
"John Ridley,John Ridley","Sean Penn,Billy Bob Thornton,Abraham Benrubi,Richard Rutowski,Jon Voight,Jennifer Lopez,Powers Boothe,Nick Nolte,Aida Linares,Sean Stone,Ilia Volok,Valeriy Nikolaev,Brent Briscoe,Bo Hopkins,Julie Hagerty",2253,2238
"Peter Morgan,Peter Morgan","Frank Langella,Michael Sheen,Sam Rockwell,Kevin Bacon,Matthew Macfadyen,Oliver Platt,Rebecca Hall,Toby Jones,Andy Milder,Kate Jennings Grant,Gabriel Jarret,Jim Meskimen,Patty McCormack,Geoffrey Blake,Clint Howard",2254,2239
