ounces,ibu,original_index,unique_index,count
12.0 oz.,75.0,805,276,5.0
12.0 oz.,,806,1,
12.0 oz,,807,0,
12.0 oz,20.0,808,104,9.0
16.0 oz.,,809,25,
16.0 ounce,27.0,810,277,1.0
16.0 ounce,104.0,811,278,1.0
12.0 ounce,,812,2,
16.0 oz,,813,56,
12.0 ounce,60.0,814,4,10.0
12.0 oz.,28.0,815,22,13.0
12.0 oz.,,816,1,
12.0 ounce,70.0,817,99,13.0
12.0 oz. Alumi-Tek,,818,5,
12.0 oz,,819,0,
12.0 ounce,,820,2,
12.0 oz,,821,0,
12.0 oz.,18.0,822,201,9.0
12.0 oz.,65.0,823,18,14.0
12.0 oz.,,824,1,
12.0 ounce,,825,2,
16.0 oz.,,826,25,
16.0 oz.,,827,25,
16.0 oz.,,828,25,
16.0 ounce,,829,23,
16.0 oz.,,830,25,
16.0 oz.,,831,25,
16.0 oz,,832,56,
16.0 ounce,,833,23,
16.0 oz,,834,56,
16.0 ounce,97.0,835,279,1.0
12.0 oz.,,836,1,
12.0 oz.,19.0,837,268,4.0
12.0 ounce,16.0,838,119,4.0
12.0 oz,17.0,839,232,4.0
12.0 oz,42.0,840,8,8.0
12.0 ounce,50.0,841,74,3.0
12.0 oz.,65.0,842,18,14.0
12.0 oz.,42.0,843,90,7.0
12.0 oz,73.0,844,280,1.0
12.0 ounce,40.0,845,101,9.0
12.0 oz,20.0,846,104,9.0
16.0 oz,,847,56,
16.0 ounce,,848,23,
16.0 oz.,,849,25,
16.0 oz. Alumi-Tek,90.0,850,281,1.0
12.0 oz. Alumi-Tek,,851,5,
12.0 oz,17.0,852,232,4.0
12.0 oz,21.0,853,282,5.0
12.0 oz.,,854,1,
12.0 oz.,9.0,855,170,5.0
12.0 oz,47.0,856,275,2.0
12.0 oz.,21.0,857,173,10.0
12.0 oz,,858,0,
12.0 ounce,,859,2,
12.0 oz.,28.0,860,22,13.0
12.0 oz. Alumi-Tek,36.0,861,52,3.0
12.0 ounce,70.0,862,99,13.0
12.0 oz.,,863,1,
12.0 oz. Alumi-Tek,69.0,864,283,1.0
12.0 ounce,18.0,865,284,6.0
12.0 oz. Alumi-Tek,27.0,866,285,2.0
12.0 oz.,33.0,867,246,4.0
12.0 oz.,,868,1,
12.0 oz.,20.0,869,75,19.0
12.0 oz.,,870,1,
12.0 ounce,10.0,871,286,3.0
12.0 oz,70.0,872,227,9.0
12.0 ounce,5.0,873,287,2.0
12.0 ounce,,874,2,
12.0 oz,,875,0,
12.0 ounce,,876,2,
12.0 oz,35.0,877,134,13.0
12.0 oz,45.0,878,109,11.0
12.0 oz.,30.0,879,153,17.0
12.0 oz,80.0,880,62,4.0
12.0 oz.,32.0,881,131,5.0
12.0 oz,24.0,882,236,3.0
12.0 oz.,42.0,883,90,7.0
16.0 oz. Alumi-Tek,73.0,884,288,1.0
12.0 OZ.,,885,3,
12.0 oz.,50.0,886,289,3.0
12.0 ounce,15.0,887,68,13.0
12.0 ounce,26.0,888,35,4.0
12.0 oz,70.0,889,227,9.0
16.0 oz,75.0,890,30,6.0
12.0 OZ.,35.0,891,17,6.0
16.0 oz.,74.0,892,290,1.0
16.0 oz.,70.0,893,291,6.0
16.0 oz,92.0,894,292,1.0
16.0 oz.,60.0,895,130,7.0
16.0 ounce,15.0,896,28,4.0
16.0 oz,65.0,897,293,2.0
12.0 oz,60.0,898,294,2.0
16.0 oz,,899,56,
16.0 oz.,20.0,900,269,11.0
16.0 oz.,70.0,901,291,6.0
16.0 oz.,70.0,902,291,6.0
16.0 oz.,60.0,903,130,7.0
16.0 ounce,15.0,904,28,4.0
16.0 ounce,11.0,905,295,1.0
12.0 ounce,70.0,906,99,13.0
12.0 oz.,18.0,907,201,9.0
12.0 oz.,36.0,908,296,2.0
12.0 oz,103.0,909,53,3.0
12.0 oz.,54.0,910,297,3.0
12.0 ounce,64.0,911,262,2.0
12.0 ounce,36.0,912,187,4.0
12.0 OZ.,40.0,913,298,1.0
12.0 oz.,55.0,914,132,9.0
16.0 oz.,30.0,915,220,7.0
12.0 oz.,30.0,916,153,17.0
16.0 oz,18.0,917,29,5.0
12.0 ounce,18.0,918,284,6.0
12.0 oz.,20.0,919,75,19.0
12.0 ounce,19.0,920,299,1.0
12.0 oz.,,921,1,
12.0 oz.,,922,1,
12.0 oz. Silo Can,,923,300,
12.0 oz.,,924,1,
12.0 oz.,21.0,925,173,10.0
12.0 oz.,21.0,926,173,10.0
12.0 oz.,35.0,927,113,17.0
16.0 oz.,22.0,928,158,6.0
16.0 OZ.,18.0,929,202,3.0
16.0 oz,33.0,930,301,1.0
16.0 oz.,60.0,931,130,7.0
16.0 oz,27.0,932,302,1.0
16.0 oz.,22.0,933,158,6.0
16.0 oz.,33.0,934,50,4.0
16.0 oz.,25.0,935,303,8.0
16.0 OZ.,36.0,936,304,1.0
16.0 oz.,18.0,937,211,6.0
16.0 oz.,27.0,938,257,3.0
16.0 oz.,25.0,939,303,8.0
16.0 oz,13.0,940,44,3.0
16.0 oz,65.0,941,293,2.0
16.0 oz,66.0,942,305,1.0
16.0 oz.,33.0,943,50,4.0
16.0 oz,23.0,944,244,2.0
16.0 oz.,26.0,945,306,2.0
16.0 oz.,60.0,946,130,7.0
16.0 oz,22.0,947,203,4.0
12.0 oz,,948,0,
12.0 oz,,949,0,
12.0 oz.,,950,1,
12.0 ounce,,951,2,
12.0 oz,,952,0,
12.0 oz.,,953,1,
12.0 ounce,75.0,954,234,5.0
12.0 OZ.,,955,3,
12.0 oz.,,956,1,
24.0 oz.,15.0,957,307,1.0
12.0 ounce,15.0,958,68,13.0
12.0 ounce,49.0,959,261,3.0
12.0 oz,,960,0,
12.0 oz,5.0,961,308,1.0
16.0 ounce,22.0,962,238,5.0
12.0 ounce,,963,2,
12.0 oz.,,964,1,
12.0 oz.,20.0,965,75,19.0
16.0 ounce,30.0,966,32,6.0
16.0 OZ.,,967,57,
16.0 oz.,10.0,968,200,3.0
16.0 oz. Alumi-Tek,30.0,969,309,1.0
16.0 oz.,48.0,970,310,1.0
16.0 oz.,99.0,971,214,2.0
16.0 ounce,22.0,972,238,5.0
16.0 oz,70.0,973,209,3.0
16.0 oz.,25.0,974,303,8.0
16.0 oz.,25.0,975,303,8.0
16.0 oz.,36.0,976,311,2.0
16.0 oz,48.0,977,267,2.0
16.0 oz,30.0,978,31,6.0
12.0 oz.,30.0,979,153,17.0
12.0 ounce,44.0,980,145,3.0
12.0 ounce,71.0,981,312,1.0
16.0 ounce,,982,23,
12.0 oz,69.0,983,92,4.0
16.0 oz. Alumi-Tek,,984,58,
12.0 oz.,54.0,985,297,3.0
16.0 ounce,20.0,986,38,13.0
16.0 ounce,,987,23,
16.0 OZ.,34.0,988,313,1.0
12.0 oz.,54.0,989,297,3.0
12.0 oz.,22.0,990,94,6.0
16.0 oz.,6.0,991,314,1.0
16.0 ounce,,992,23,
16.0 ounce,25.0,993,189,5.0
16.0 ounce,35.0,994,48,7.0
16.0 ounce,25.0,995,189,5.0
16.0 OZ.,,996,57,
16.0 ounce,35.0,997,48,7.0
12.0 oz,55.0,998,194,8.0
16.0 oz,,999,56,
12.0 oz.,43.0,1000,315,2.0
12.0 oz,67.0,1001,82,2.0
12.0 ounce,,1002,2,
16.0 oz.,,1003,25,
16.0 oz.,,1004,25,
16.0 oz.,,1005,25,
16.0 oz,,1006,56,
16.0 oz,,1007,56,
16.0 oz.,,1008,25,
16.0 oz,,1009,56,
16.0 oz,,1010,56,
12.0 oz. Alumi-Tek,40.0,1011,169,2.0
12.0 oz,18.0,1012,21,9.0
12.0 oz. Alumi-Tek,17.0,1013,93,3.0
12.0 oz,14.0,1014,186,4.0
16.0 oz.,70.0,1015,291,6.0
12.0 oz,18.0,1016,21,9.0
12.0 ounce,55.0,1017,110,7.0
12.0 oz,15.0,1018,164,6.0
12.0 ounce,45.0,1019,15,8.0
12.0 oz.,,1020,1,
12.0 oz.,28.0,1021,22,13.0
12.0 ounce,42.0,1022,316,3.0
12.0 oz.,20.0,1023,75,19.0
12.0 oz.,30.0,1024,153,17.0
12.0 ounce,42.0,1025,316,3.0
12.0 oz,28.0,1026,174,3.0
12.0 oz.,10.0,1027,91,4.0
12.0 OZ.,28.0,1028,114,2.0
12.0 oz,42.0,1029,8,8.0
12.0 oz.,,1030,1,
12.0 oz.,,1031,1,
12.0 ounce,,1032,2,
12.0 oz,,1033,0,
19.2 oz.,,1034,317,
12.0 ounce,,1035,2,
19.2 oz,,1036,318,
16.0 oz.,65.0,1037,26,7.0
16.0 oz,40.0,1038,185,4.0
16.0 ounce,77.0,1039,319,1.0
12.0 oz,45.0,1040,109,11.0
12.0 oz,30.0,1041,320,5.0
12.0 OZ.,,1042,3,
16.0 OZ.,30.0,1043,155,2.0
16.0 oz,86.0,1044,184,3.0
16.0 oz,85.0,1045,128,5.0
12.0 ounce,21.0,1046,321,2.0
12.0 oz. Alumi-Tek,68.0,1047,322,1.0
12.0 oz,22.0,1048,217,5.0
12.0 oz.,,1049,1,
12.0 ounce,,1050,2,
16.0 oz. Alumi-Tek,32.0,1051,323,1.0
16.0 oz.,34.0,1052,156,5.0
16.0 oz.,20.0,1053,269,11.0
16.0 oz.,60.0,1054,130,7.0
16.0 oz,30.0,1055,31,6.0
16.0 oz.,,1056,25,
12.0 oz.,25.0,1057,168,11.0
12.0 ounce,28.0,1058,154,4.0
12.0 oz,45.0,1059,109,11.0
12.0 oz,20.0,1060,104,9.0
12.0 oz.,60.0,1061,106,14.0
12.0 oz.,70.0,1062,11,12.0
12.0 oz.,20.0,1063,75,19.0
12.0 ounce,13.0,1064,60,2.0
12.0 oz.,90.0,1065,324,3.0
12.0 oz.,90.0,1066,324,3.0
12.0 oz.,20.0,1067,75,19.0
12.0 oz,,1068,0,
12.0 oz.,,1069,1,
12.0 oz.,40.0,1070,54,15.0
12.0 ounce,50.0,1071,74,3.0
12.0 oz.,,1072,1,
16.0 oz,,1073,56,
16.0 oz,21.0,1074,325,1.0
16.0 ounce,20.0,1075,38,13.0
16.0 oz.,20.0,1076,269,11.0
16.0 ounce,20.0,1077,38,13.0
16.0 ounce,20.0,1078,38,13.0
16.0 ounce,20.0,1079,38,13.0
16.0 oz,20.0,1080,47,14.0
16.0 ounce,20.0,1081,38,13.0
16.0 oz,20.0,1082,47,14.0
16.0 oz. Alumi-Tek,20.0,1083,326,2.0
16.0 oz,20.0,1084,47,14.0
16.0 oz,20.0,1085,47,14.0
16.0 oz,20.0,1086,47,14.0
16.0 oz,60.0,1087,327,6.0
16.0 oz.,35.0,1088,141,10.0
16.0 oz.,75.0,1089,70,6.0
16.0 oz.,70.0,1090,291,6.0
16.0 oz,60.0,1091,327,6.0
16.0 ounce,60.0,1092,328,3.0
16.0 oz,70.0,1093,209,3.0
16.0 oz,32.0,1094,329,1.0
16.0 oz.,75.0,1095,70,6.0
12.0 oz.,,1096,1,
12.0 oz.,17.0,1097,10,10.0
16.0 oz.,,1098,25,
12.0 oz.,,1099,1,
12.0 oz.,,1100,1,
12.0 oz,90.0,1101,330,3.0
12.0 ounce,22.0,1102,255,5.0
12.0 ounce,10.0,1103,286,3.0
12.0 oz.,27.0,1104,81,6.0
12.0 ounce,80.0,1105,67,3.0
12.0 oz,45.0,1106,109,11.0
12.0 oz,32.0,1107,331,4.0
12.0 oz.,42.0,1108,90,7.0
12.0 oz. Alumi-Tek,27.0,1109,285,2.0
12.0 oz,58.0,1110,332,2.0
12.0 oz.,75.0,1111,276,5.0
12.0 oz.,20.0,1112,75,19.0
12.0 oz.,20.0,1113,75,19.0
12.0 oz,55.0,1114,194,8.0
12.0 oz,28.0,1115,174,3.0
12.0 oz,,1116,0,
16.0 oz.,,1117,25,
16.0 oz,18.0,1118,29,5.0
12.0 OZ.,15.0,1119,333,1.0
16.0 oz.,80.0,1120,39,5.0
12.0 ounce,65.0,1121,16,8.0
12.0 oz. Alumi-Tek,45.0,1122,117,2.0
12.0 OZ.,,1123,3,
12.0 oz.,,1124,1,
12.0 oz.,37.0,1125,151,2.0
12.0 ounce,,1126,2,
12.0 ounce,,1127,2,
12.0 oz.,,1128,1,
12.0 oz,,1129,0,
12.0 ounce,,1130,2,
12.0 oz.,,1131,1,
12.0 ounce,,1132,2,
12.0 oz.,,1133,1,
12.0 oz,,1134,0,
12.0 OZ.,,1135,3,
12.0 oz.,,1136,1,
12.0 oz,,1137,0,
12.0 ounce,15.0,1138,68,13.0
12.0 oz,50.0,1139,334,5.0
12.0 oz,90.0,1140,330,3.0
12.0 oz,15.0,1141,164,6.0
12.0 oz. Alumi-Tek,,1142,5,
12.0 oz.,24.0,1143,235,6.0
12.0 oz.,16.0,1144,335,3.0
12.0 oz.,25.0,1145,168,11.0
12.0 oz.,40.0,1146,54,15.0
12.0 ounce,25.0,1147,228,6.0
12.0 ounce,20.0,1148,336,7.0
12.0 oz. Alumi-Tek,20.0,1149,337,2.0
12.0 OZ.,85.0,1150,338,3.0
12.0 oz.,45.0,1151,160,7.0
12.0 oz.,15.0,1152,63,11.0
12.0 oz,70.0,1153,227,9.0
12.0 oz.,19.0,1154,268,4.0
12.0 oz,64.0,1155,198,2.0
12.0 ounce,23.0,1156,95,2.0
12.0 oz,,1157,0,
12.0 ounce,15.0,1158,68,13.0
12.0 oz. Alumi-Tek,,1159,5,
12.0 oz,,1160,0,
16.0 oz.,11.0,1161,339,5.0
16.0 ounce,65.0,1162,340,5.0
16.0 oz.,65.0,1163,26,7.0
16.0 oz.,50.0,1164,142,4.0
16.0 ounce,65.0,1165,340,5.0
16.0 oz.,11.0,1166,339,5.0
12.0 oz.,,1167,1,
12.0 oz.,,1168,1,
12.0 oz.,,1169,1,
12.0 oz,,1170,0,
12.0 oz. Alumi-Tek,,1171,5,
12.0 oz,,1172,0,
12.0 oz,,1173,0,
12.0 oz.,,1174,1,
12.0 oz.,,1175,1,
12.0 OZ.,70.0,1176,12,2.0
12.0 oz. Alumi-Tek,10.0,1177,341,1.0
12.0 oz.,,1178,1,
16.0 ounce,65.0,1179,340,5.0
16.0 oz.,11.0,1180,339,5.0
24.0 oz.,18.0,1181,342,1.0
16.0 oz,18.0,1182,29,5.0
12.0 oz.,18.0,1183,201,9.0
12.0 oz,18.0,1184,21,9.0
12.0 oz.,9.0,1185,170,5.0
16.0 oz.,,1186,25,
16.0 oz.,15.0,1187,343,1.0
16.0 ounce,100.0,1188,344,2.0
12.0 oz.,30.0,1189,153,17.0
12.0 oz.,28.0,1190,22,13.0
12.0 ounce,,1191,2,
12.0 ounce,,1192,2,
12.0 oz,,1193,0,
12.0 ounce,,1194,2,
12.0 oz,12.0,1195,260,6.0
12.0 ounce,9.0,1196,345,2.0
12.0 oz,66.0,1197,346,2.0
12.0 oz. Alumi-Tek,95.0,1198,347,1.0
12.0 oz.,70.0,1199,11,12.0
16.0 oz,,1200,56,
12.0 oz.,,1201,1,
12.0 oz.,,1202,1,
12.0 oz,,1203,0,
12.0 oz.,,1204,1,
12.0 OZ.,,1205,3,
16.0 ounce,30.0,1206,32,6.0
16.0 oz.,30.0,1207,220,7.0
12.0 oz,40.0,1208,133,5.0
12.0 oz,42.0,1209,8,8.0
12.0 oz.,20.0,1210,75,19.0
12.0 oz.,75.0,1211,276,5.0
12.0 oz.,40.0,1212,54,15.0
12.0 oz,,1213,0,
16.0 oz,,1214,56,
12.0 oz.,47.0,1215,177,2.0
12.0 ounce,11.0,1216,233,3.0
12.0 ounce,30.0,1217,199,6.0
12.0 oz,42.0,1218,8,8.0
12.0 oz.,30.0,1219,153,17.0
16.0 ounce,33.0,1220,348,1.0
12.0 OZ.,8.0,1221,349,1.0
12.0 ounce,30.0,1222,199,6.0
16.0 oz,8.0,1223,350,1.0
16.0 oz,20.0,1224,47,14.0
16.0 OZ.,,1225,57,
16.0 oz.,,1226,25,
12.0 oz,65.0,1227,218,12.0
12.0 oz.,55.0,1228,132,9.0
16.0 oz.,29.0,1229,351,1.0
16.0 ounce,,1230,23,
16.0 oz.,,1231,25,
16.0 ounce,,1232,23,
12.0 oz. Silo Can,18.0,1233,352,1.0
12.0 oz.,31.0,1234,353,1.0
12.0 oz. Alumi-Tek,,1235,5,
12.0 oz.,20.0,1236,75,19.0
12.0 ounce,,1237,2,
12.0 oz. Silo Can,,1238,300,
12.0 oz,,1239,0,
12.0 oz,32.0,1240,331,4.0
12.0 ounce,,1241,2,
12.0 oz,,1242,0,
12.0 oz.,,1243,1,
12.0 oz,18.0,1244,21,9.0
12.0 ounce,,1245,2,
16.0 OZ.,18.0,1246,202,3.0
12.0 oz.,11.0,1247,354,1.0
12.0 oz.,40.0,1248,54,15.0
12.0 ounce,70.0,1249,99,13.0
12.0 ounce,32.0,1250,122,2.0
12.0 oz.,30.0,1251,153,17.0
16.0 OZ.,20.0,1252,355,2.0
12.0 oz.,13.0,1253,356,3.0
12.0 ounce,20.0,1254,336,7.0
12.0 oz.,,1255,1,
12.0 oz.,,1256,1,
12.0 ounce,,1257,2,
12.0 ounce,,1258,2,
12.0 oz.,,1259,1,
12.0 oz.,,1260,1,
12.0 oz.,21.0,1261,173,10.0
12.0 ounce,,1262,2,
12.0 ounce,,1263,2,
12.0 oz,18.0,1264,21,9.0
12.0 oz,30.0,1265,320,5.0
12.0 oz,14.0,1266,186,4.0
12.0 ounce,85.0,1267,357,6.0
12.0 ounce,93.0,1268,358,1.0
12.0 ounce,88.0,1269,359,1.0
12.0 ounce,25.0,1270,228,6.0
12.0 oz,49.0,1271,360,1.0
12.0 OZ.,44.0,1272,361,1.0
12.0 oz,,1273,0,
12.0 oz.,,1274,1,
16.0 oz,,1275,56,
16.0 ounce,,1276,23,
16.0 oz,,1277,56,
16.0 oz.,,1278,25,
16.0 oz.,,1279,25,
16.0 oz,20.0,1280,47,14.0
16.0 OZ.,47.0,1281,362,1.0
16.0 oz.,35.0,1282,141,10.0
16.0 OZ.,,1283,57,
12.0 oz,,1284,0,
16.0 oz.,,1285,25,
12.0 ounce,,1286,2,
12.0 oz.,,1287,1,
12.0 oz.,60.0,1288,106,14.0
12.0 ounce,,1289,2,
16.0 ounce,60.0,1290,328,3.0
12.0 OZ.,,1291,3,
12.0 oz,,1292,0,
12.0 oz.,,1293,1,
12.0 ounce,,1294,2,
12.0 oz,,1295,0,
12.0 oz,12.0,1296,260,6.0
12.0 oz. Alumi-Tek,,1297,5,
12.0 oz,,1298,0,
12.0 oz.,,1299,1,
16.0 oz,,1300,56,
12.0 oz,20.0,1301,104,9.0
12.0 oz. Alumi-Tek,,1302,5,
12.0 oz. Alumi-Tek,,1303,5,
12.0 oz.,,1304,1,
12.0 oz,,1305,0,
12.0 oz.,24.0,1306,235,6.0
12.0 oz,12.0,1307,260,6.0
12.0 OZ.,68.0,1308,363,2.0
12.0 ounce,15.0,1309,68,13.0
12.0 oz,18.0,1310,21,9.0
12.0 oz.,30.0,1311,153,17.0
12.0 oz,65.0,1312,218,12.0
12.0 ounce,34.0,1313,364,1.0
12.0 oz.,21.0,1314,173,10.0
12.0 oz.,53.0,1315,365,1.0
16.0 OZ.,,1316,57,
16.0 oz.,,1317,25,
16.0 ounce,,1318,23,
19.2 oz,75.0,1319,366,1.0
12.0 OZ.,75.0,1320,103,2.0
12.0 oz.,22.0,1321,94,6.0
12.0 oz.,27.0,1322,81,6.0
12.0 oz,23.0,1323,367,4.0
12.0 ounce,42.0,1324,316,3.0
12.0 oz,11.0,1325,20,4.0
12.0 ounce,30.0,1326,199,6.0
12.0 oz.,62.0,1327,368,1.0
12.0 oz,16.0,1328,143,9.0
12.0 oz.,,1329,1,
12.0 oz.,61.0,1330,369,3.0
12.0 oz.,61.0,1331,369,3.0
12.0 oz.,12.0,1332,89,3.0
12.0 ounce,24.0,1333,191,2.0
12.0 oz.,70.0,1334,11,12.0
16.0 oz.,100.0,1335,204,5.0
16.0 oz.,85.0,1336,178,6.0
16.0 ounce,24.0,1337,370,2.0
16.0 oz.,100.0,1338,204,5.0
16.0 oz,30.0,1339,31,6.0
16.0 OZ.,28.0,1340,371,1.0
24.0 ounce,,1341,372,
24.0 oz,,1342,216,
24.0 ounce,,1343,372,
24.0 oz,,1344,216,
24.0 oz.,,1345,181,
24.0 oz. Alumi-Tek,8.0,1346,373,1.0
24.0 oz,,1347,216,
24.0 ounce,,1348,372,
12.0 ounce,,1349,2,
12.0 oz. Alumi-Tek,,1350,5,
16.0 oz.,,1351,25,
16.0 oz.,,1352,25,
16.0 OZ.,,1353,57,
16.0 ounce,80.0,1354,273,3.0
16.0 oz.,24.0,1355,374,4.0
16.0 oz.,51.0,1356,375,1.0
16.0 oz,20.0,1357,47,14.0
16.0 ounce,,1358,23,
16.0 oz.,18.0,1359,211,6.0
16.0 oz,24.0,1360,376,3.0
24.0 oz.,,1361,181,
16.0 ounce,,1362,23,
12.0 oz.,,1363,1,
12.0 ounce,,1364,2,
16.0 oz.,,1365,25,
12.0 oz.,,1366,1,
16.0 oz.,,1367,25,
12.0 oz. Alumi-Tek,,1368,5,
12.0 oz.,,1369,1,
24.0 oz.,,1370,181,
12.0 oz.,,1371,1,
12.0 OZ.,,1372,3,
12.0 OZ.,,1373,3,
32.0 oz. Alumi-Tek,,1374,377,
32.0 OZ.,66.0,1375,378,1.0
32.0 oz.,44.0,1376,379,1.0
32.0 oz.,75.0,1377,380,1.0
16.0 OZ.,,1378,57,
16.0 oz.,,1379,25,
16.0 ounce,,1380,23,
16.0 oz.,,1381,25,
24.0 ounce,,1382,372,
24.0 oz. Alumi-Tek,,1383,381,
12.0 oz.,,1384,1,
16.0 oz.,85.0,1385,178,6.0
16.0 oz.,75.0,1386,70,6.0
16.0 ounce,50.0,1387,382,4.0
16.0 ounce,75.0,1388,237,2.0
16.0 oz.,30.0,1389,220,7.0
16.0 ounce,46.0,1390,383,1.0
16.0 oz.,40.0,1391,179,2.0
16.0 ounce,115.0,1392,85,3.0
12.0 oz,,1393,0,
16.0 OZ.,,1394,57,
16.0 ounce,,1395,23,
16.0 oz,,1396,56,
12.0 oz.,28.0,1397,22,13.0
12.0 ounce,49.0,1398,261,3.0
12.0 ounce,18.0,1399,284,6.0
12.0 oz.,24.0,1400,235,6.0
12.0 oz,14.0,1401,186,4.0
12.0 oz.,24.0,1402,235,6.0
12.0 oz,35.0,1403,134,13.0
12.0 oz,21.0,1404,282,5.0
12.0 oz,,1405,0,
12.0 oz.,,1406,1,
12.0 oz,21.0,1407,282,5.0
12.0 ounce,70.0,1408,99,13.0
16.0 oz.,,1409,25,
12.0 ounce,,1410,2,
12.0 oz.,,1411,1,
12.0 ounce,,1412,2,
12.0 oz.,,1413,1,
12.0 OZ.,,1414,3,
12.0 ounce,,1415,2,
12.0 ounce,,1416,2,
12.0 oz.,,1417,1,
12.0 oz,10.0,1418,384,2.0
12.0 OZ.,14.0,1419,385,2.0
16.0 oz,10.0,1420,76,2.0
16.0 oz.,30.0,1421,220,7.0
16.0 oz.,30.0,1422,220,7.0
16.0 ounce,35.0,1423,48,7.0
12.0 oz.,24.0,1424,235,6.0
16.0 ounce,22.0,1425,238,5.0
16.0 oz.,24.0,1426,374,4.0
16.0 oz,22.0,1427,203,4.0
16.0 oz.,32.0,1428,386,2.0
16.0 oz. Alumi-Tek,15.0,1429,387,2.0
16.0 oz.,,1430,25,
16.0 oz,,1431,56,
16.0 oz,86.0,1432,184,3.0
16.0 ounce,86.0,1433,388,1.0
16.0 oz.,,1434,25,
16.0 oz.,,1435,25,
12.0 oz,11.0,1436,20,4.0
12.0 ounce,65.0,1437,16,8.0
12.0 ounce,10.0,1438,286,3.0
12.0 oz,15.0,1439,164,6.0
12.0 oz. Alumi-Tek,29.0,1440,389,1.0
12.0 ounce,,1441,2,
12.0 oz.,,1442,1,
12.0 oz.,40.0,1443,54,15.0
12.0 ounce,70.0,1444,99,13.0
12.0 oz,29.0,1445,225,2.0
12.0 oz.,21.0,1446,173,10.0
12.0 oz.,,1447,1,
12.0 oz.,,1448,1,
16.0 ounce,,1449,23,
12.0 oz.,,1450,1,
12.0 oz.,18.0,1451,201,9.0
12.0 oz.,29.0,1452,390,3.0
12.0 oz.,18.0,1453,201,9.0
16.0 oz,29.0,1454,240,3.0
16.0 oz.,70.0,1455,291,6.0
16.0 oz.,18.0,1456,211,6.0
12.0 oz.,70.0,1457,11,12.0
12.0 ounce,,1458,2,
12.0 ounce,18.0,1459,284,6.0
12.0 oz.,6.0,1460,391,1.0
12.0 oz.,,1461,1,
12.0 ounce,,1462,2,
12.0 OZ.,,1463,3,
12.0 oz.,,1464,1,
12.0 ounce,85.0,1465,357,6.0
16.0 oz.,,1466,25,
16.0 oz.,85.0,1467,178,6.0
12.0 oz,,1468,0,
12.0 ounce,,1469,2,
12.0 OZ.,,1470,3,
12.0 oz.,,1471,1,
16.0 oz.,,1472,25,
16.0 oz.,,1473,25,
16.0 oz.,,1474,25,
12.0 OZ.,,1475,3,
12.0 oz,,1476,0,
12.0 oz. Alumi-Tek,20.0,1477,337,2.0
12.0 oz.,30.0,1478,153,17.0
12.0 oz. Alumi-Tek,50.0,1479,392,1.0
12.0 oz,,1480,0,
12.0 ounce,,1481,2,
12.0 oz,35.0,1482,134,13.0
12.0 oz,,1483,0,
12.0 oz.,,1484,1,
12.0 oz.,,1485,1,
16.0 oz,,1486,56,
16.0 oz.,31.0,1487,243,3.0
16.0 oz.,80.0,1488,39,5.0
12.0 ounce,,1489,2,
12.0 oz.,,1490,1,
12.0 oz,,1491,0,
12.0 oz,,1492,0,
16.0 ounce,50.0,1493,382,4.0
16.0 oz,26.0,1494,393,2.0
16.0 oz.,19.0,1495,394,1.0
16.0 oz.,38.0,1496,395,1.0
16.0 oz,25.0,1497,42,7.0
16.0 oz.,47.0,1498,396,2.0
16.0 oz.,,1499,25,
16.0 oz.,,1500,25,
16.0 oz.,42.0,1501,41,2.0
12.0 ounce,,1502,2,
12.0 oz.,,1503,1,
12.0 ounce,,1504,2,
12.0 oz.,,1505,1,
12.0 ounce,,1506,2,
12.0 oz,66.0,1507,346,2.0
12.0 oz.,7.0,1508,397,1.0
12.0 ounce,70.0,1509,99,13.0
12.0 oz,24.0,1510,236,3.0
12.0 oz,27.0,1511,78,5.0
12.0 ounce,70.0,1512,99,13.0
16.0 oz,25.0,1513,42,7.0
12.0 oz.,27.0,1514,81,6.0
12.0 OZ.,35.0,1515,17,6.0
12.0 oz,35.0,1516,134,13.0
16.0 ounce,,1517,23,
16.0 ounce,,1518,23,
16.0 oz,,1519,56,
16.0 ounce,,1520,23,
12.0 oz.,72.0,1521,398,3.0
12.0 oz.,29.0,1522,390,3.0
12.0 oz,36.0,1523,399,1.0
12.0 oz.,,1524,1,
12.0 oz,,1525,0,
12.0 ounce,,1526,2,
12.0 oz,,1527,0,
16.0 oz,19.0,1528,400,1.0
16.0 oz.,26.0,1529,306,2.0
16.0 oz,29.0,1530,240,3.0
16.0 ounce,45.0,1531,24,4.0
16.0 oz,26.0,1532,393,2.0
16.0 oz.,23.0,1533,401,6.0
16.0 oz.,,1534,25,
16.0 oz.,65.0,1535,26,7.0
16.0 oz.,,1536,25,
16.0 oz,,1537,56,
16.0 ounce,20.0,1538,38,13.0
16.0 oz.,,1539,25,
16.0 OZ.,,1540,57,
16.0 oz,,1541,56,
16.0 ounce,,1542,23,
16.0 oz,,1543,56,
16.0 oz.,,1544,25,
16.0 oz.,,1545,25,
16.0 oz,,1546,56,
16.0 oz.,,1547,25,
16.0 oz,,1548,56,
12.0 oz.,,1549,1,
12.0 ounce,,1550,2,
12.0 oz,35.0,1551,134,13.0
19.2 oz. Alumi-Tek,,1552,402,
16.0 oz,,1553,56,
32.0 oz.,,1554,403,
12.0 ounce,,1555,2,
16.0 ounce,,1556,23,
12.0 oz. Alumi-Tek,,1557,5,
12.0 ounce,,1558,2,
