Name,Year,original_index,unique_index
Manglehorn,2014,1732,1732
Jane Got a Gun,2015,1733,1733
Miss Pettigrew Lives for a Day,2008,1734,1734
Miss Julie,2014,1735,1735
Emerald City,2016,1736,1736
Ellie Parker,2005,1737,1737
Youngblood,1978,1738,1738
Creed,2015,1739,1739
The Bronze,2015,1740,1740
Wilde Salomé,2011,1741,1741
By the Sea,2015,1742,1742
Spotlight,2015,1743,1743
Trumbo,2015,1744,1744
The Finest Hours: An IMAX 3D Experience,2015 2016 2017,1745,1745
Kill the Messenger,2014,1746,1746
The 33,2015,1747,1747
London Has Fallen,2016,1748,1748
Snowden,2016,1749,1749
Dark Tide,2012,1750,1750
Big Eyes,2014,1751,1751
"McFarland, USA",2015,1752,1752
Far from the Madding Crowd,2015,1753,1753
While We're Young,2014,1754,1754
Few Options,2011,1755,1755
Mental,2012,1756,1756
Beautiful Boy,2010,1757,1757
God Is Good,2004,1758,1758
Child 44,2015,1759,1759
Lucky Them,2013,1760,1760
Juice,1992,1761,1761
Soul Food,1997,1762,1762
Jason's Lyric,1994,1763,1763
Baby Boy,2000 2001 2002,1764,1764
Friday,1995,1765,1765
Menace II Society,1993,1766,1766
Above the Rim,1994,1767,1767
Laugh at My Pain,2011,1768,1768
Love Jones,1997,1769,1769
Poetic Justice,1993,1770,1770
New Jack City,1991,1771,1771
South Central,1992,1772,1772
Dead Presidents,1995,1773,1773
The Truman Show,1998,1774,1774
Fight Club,1999,1775,1775
Memento,2000,1776,1776
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1777,1777
Blade Runner,1982,1778,1778
The Godfather,1972,1779,1779
Saving Private Ryan,1998,1780,1780
Schindler's List,1993,1781,1781
Midnight Movie,2008,1782,1782
Inception,2010,1783,1783
Platoon,1986,1784,1784
Goodfellas,1990,1785,1785
Gran Torino,2008,1786,1786
The Wolf of Wall Street,2013,1787,1787
Troy,2004,1788,1788
Django Unchained,2012,1789,1789
The Dark Knight,2008,1790,1790
Kill Bill: Vol. 1,2003,1791,1791
Love & Mercy,2014,1792,1792
The Shawshank Redemption,1994,1793,1793
Kill Bill: Vol. 2,2004,1794,1794
Supernatural Activity,2012,1795,1795
A Beautiful Mind,2001,1796,1796
Ordinary People,1980,1797,1797
Raging Bull,1980,1798,1798
The Sting,1973,1799,1799
Butch Cassidy and the Sundance Kid,1969,1800,1800
Cool Hand Luke,1967,1801,1801
The Magnificent Seven,1960,1802,1802
Unforgiven,1992,1803,1803
Mr. Smith Goes to Washington,1939,1804,1804
Papillon,1973,1805,1805
True Story,2015,1806,1806
In the Heat of the Night,1967,1807,1807
An American in Paris,1951,1808,1808
Gigi,1957 1958 1959,1809,1809
Terms of Endearment,1983,1810,1810
The Second Best Exotic Marigold Hotel,2015,1811,1811
Chicago,2002,1812,1812
Patton,1970,1813,1813
Out of Africa,1985,1814,1814
Midnight Cowboy,1969,1815,1815
Indiana Jones and the Kingdom of the Crystal Skull,2008,1816,1816
5 Flights Up,2014,1817,1817
A Goofy Movie,1995,1818,1818
The Iron Giant,1999,1819,1819
Monster-in-Law,2005,1820,1820
The Back-up Plan,2010,1821,1821
Sweet Home Alabama,2002,1822,1822
My Best Friend's Girl,2008,1823,1823
The Bounty Hunter,2010,1824,1824
"You, Me and Dupree",2006,1825,1825
Ghost,1990,1826,1826
Deep Impact,1998,1827,1827
Open Season 2,2008,1828,1828
Open Season 3,2010,1829,1829
The House Bunny,2008,1830,1830
The Zero Theorem,2013,1831,1831
Shanghai Knights,2003,1832,1832
The Scribbler,2014,1833,1833
Minority Report,2002,1834,1834
Paycheck,2003,1835,1835
The Arrival,1996,1836,1836
At Any Price,2012,1837,1837
1915,2015,1838,1838
The House on Sorority Row,1983,1839,1839
Sleepaway Camp III: Teenage Wasteland,1989,1840,1840
1915 Armenian Genocide,2010,1841,1841
The Slumber Party Massacre,1982,1842,1842
DeepStar Six,1989,1843,1843
Lake Placid,1999,1844,1844
Deep Rising,1998,1845,1845
Bernie,2011,1846,1846
Virus,1999,1847,1847
Of Unknown Origin,1983,1848,1848
The Relic,1997,1849,1849
Leviathan,2012,1850,1850
The Abyss,1989,1851,1851
Lifeforce,1985,1852,1852
RoboCop 2,1990,1853,1853
Wedlock,1991,1854,1854
Bug,2006,1855,1855
Blue Thunder,1983,1856,1856
Dead & Buried,1981,1857,1857
The Dunwich Horror,1970,1858,1858
Three Shadows,2010,1859,1859
Lurking Fear,1994,1860,1860
Dark Heritage,1989,1861,1861
"Surfer, Dude",2008,1862,1862
Killing Them Softly,2012,1863,1863
Take Shelter,2011,1864,1864
Gilda,1946,1865,1865
Frailty,2001,1866,1866
Dad,1989,1867,1867
Her,2013,1868,1868
Spun,2002,1869,1869
Mala Noche,1986,1870,1870
My Own Private Idaho,1991,1871,1871
Elephant,2003,1872,1872
Even Cowgirls Get the Blues,1993,1873,1873
Paranoid Park,2007,1874,1874
Buffalo '66,1998,1875,1875
To Die For,1995,1876,1876
Last Days,2005,1877,1877
Tex,1982,1878,1878
Rumble Fish,1983,1879,1879
Gerry,2002,1880,1880
Searching for Camelot,2014,1881,1881
Lord of the Flies,1990,1882,1882
The Rite,2011,1883,1883
Stay,2005,1884,1884
U-571,2000,1885,1885
Rescue Dawn,2006,1886,1886
Equilibrium,2002,1887,1887
Waterworld,1995,1888,1888
3:10 to Yuma,2007,1889,1889
Shaft,2000,1890,1890
Pitch Black,2000,1891,1891
Batman Begins,2005,1892,1892
A Time to Kill,1996,1893,1893
Surrogates,2009,1894,1894
Harsh Times,2005,1895,1895
Harry Potter and the Deathly Hallows: Part 2,2011,1896,1896
Jaws,1975,1897,1897
The Lost World: Jurassic Park,1997,1898,1898
Nebraska,2013,1899,1899
Jurassic Park III,2001,1900,1900
Die Hard 2,1990,1901,1901
Live Free or Die Hard,2007,1902,1902
Marathon Man,1976,1903,1903
King Kong,2005,1904,1904
Lady Magdalene's,2008,1905,1905
Don't Go to the Reunion,2013,1906,1906
David Holzman's Diary,1967,1907,1907
Freaks,1932,1908,1908
The Son of Kong,1933,1909,1909
Alone with Her,2006,1910,1910
Snuff: A Documentary About Killing on Camera,2008,1911,1911
King Kong,1976,1912,1912
Phantom of the Opera,1942 1943 1944,1913,1913
The Invisible Man Returns,1940,1914,1914
House of Frankenstein,1944,1915,1915
The Old Dark House,1932,1916,1916
Werewolf of London,1935,1917,1917
The Ghost of Frankenstein,1942,1918,1918
Dr. Jekyll and Mr. Hyde,1931,1919,1919
Joe,2013,1920,1920
Quid Pro Quo,2008,1921,1921
The Twilight Saga: Breaking Dawn - Part 1,2011,1922,1922
Shadow of the Vampire,2000,1923,1923
Balls Out: Gary the Tennis Coach,2009,1924,1924
My Little Eye,2001 2002 2003,1925,1925
Older Than America,2008,1926,1926
The Rocker,2008,1927,1927
Land of the Lost,2009,1928,1928
Bending All the Rules,2002,1929,1929
Walk Hard: The Dewey Cox Story,2007,1930,1930
Son of Dracula,1943,1931,1931
Dracula's Daughter,1936,1932,1932
Abbott and Costello Meet Frankenstein,1948,1933,1933
House of Dracula,1945,1934,1934
The Mummy's Hand,1940,1935,1935
The Mummy's Curse,1944,1936,1936
Them!,1954,1937,1937
Dracula's Widow,1988,1938,1938
The Creature Walks Among Us,1956,1939,1939
Revenge of the Creature,1955,1940,1940
The Dukes of Hazzard,2005,1941,1941
The Mummy's Tomb,1942,1942,1942
Transylvania 6-5000,1985,1943,1943
The Big Red One,1980,1944,1944
Let's Go to Prison,2006,1945,1945
The Bridge at Remagen,1969,1946,1946
633 Squadron,1964,1947,1947
The Deer Hunter,1977 1978 1979,1948,1948
Superhero Movie,2008,1949,1949
Gone with the Wind,1939,1950,1950
On the Waterfront,1954,1951,1951
Dirty Harry,1971,1952,1952
The Enforcer,1976,1953,1953
Magnum Force,1973,1954,1954
Two Mules for Sister Sara,1970,1955,1955
Heartbreak Ridge,1986,1956,1956
Coogan's Bluff,1968,1957,1957
Hang 'Em High,1968,1958,1958
Joe Kidd,1972,1959,1959
The Young Lions,1958,1960,1960
Men of the Fighting Lady,1954,1961,1961
Year One,2009,1962,1962
Jellyscream!,2008,1963,1963
3 Days to Kill,2014,1964,1964
When the Game Stands Tall,2014,1965,1965
Million Dollar Arm,2014,1966,1966
He Got Game,1998,1967,1967
Antwone Fisher,2002,1968,1968
The Great Debaters,2007,1969,1969
Fallen,1998,1970,1970
Out of Time,2003,1971,1971
The Manchurian Candidate,2004,1972,1972
Von Ryan's Express,1965,1973,1973
"Legally Blonde 2: Red, White & Blonde",2003,1974,1974
Spirit: Stallion of the Cimarron,2002,1975,1975
Dinosaur,2000,1976,1976
Treasure Island,1934,1977,1977
The Godfather: Part II,1974,1978,1978
Laura,1944,1979,1979
The Man Who Shot Liberty Valance,1962,1980,1980
Strangers on a Train,1951,1981,1981
The Night of the Hunter,1955,1982,1982
Harvey,1950,1983,1983
The Philadelphia Story,1940,1984,1984
The Hustler,1961,1985,1985
Notorious,1946,1986,1986
Judgment at Nuremberg,1961,1987,1987
Legally Blonde,2001,1988,1988
The Spirit of St. Louis,1957,1989,1989
The Fortune Cookie,1966,1990,1990
The Emperor Waltz,1948,1991,1991
Warrior,2011,1992,1992
"Kiss Me, Stupid",1964,1993,1993
The Front Page,1974,1994,1994
A Foreign Affair,1947 1948 1949,1995,1995
Hotel Imperial,1939,1996,1996
Avanti!,1972,1997,1997
Buddy Buddy,1981,1998,1998
The Major and the Minor,1942,1999,1999
The Big Heat,1953,2000,2000
In a Lonely Place,1950,2001,2001
White Heat,1949,2002,2002
Out of the Past,1947,2003,2003
All the King's Men,1949,2004,2004
A Place in the Sun,1950 1951 1952,2005,2005
Gentleman's Agreement,1947,2006,2006
Mutiny on the Bounty,1935,2007,2007
Marty,1955,2008,2008
Doom,2005,2009,2009
Pain & Gain,2013,2010,2010
Touch of Evil,1958,2011,2011
G.I. Joe: Retaliation,2013,2012,2012
Empire State,2013,2013,2013
Get Smart,2008,2014,2014
Bulletproof Monk,2003,2015,2015
The Maltese Falcon,1941,2016,2016
High Noon,1952,2017,2017
The Man with Bogart's Face,1980,2018,2018
To Have and Have Not,1944,2019,2019
Key Largo,1948,2020,2020
The Seven Year Itch,1955,2021,2021
Very Bad Things,1998,2022,2022
Sabrina,1995,2023,2023
Breakfast at Tiffany's,1961,2024,2024
Paris When It Sizzles,1964,2025,2025
Roman Holiday,1953,2026,2026
Love in the Afternoon,1957,2027,2027
Funny Face,1957,2028,2028
Wait Until Dark,1967,2029,2029
How to Steal a Million,1966,2030,2030
Charade,1963,2031,2031
It Happened One Night,1934,2032,2032
All About Eve,1950,2033,2033
12 Angry Men,1957,2034,2034
The Desert Song,1943,2035,2035
Mrs. Miniver,1942,2036,2036
Rebecca,1940,2037,2037
The Private Life of Sherlock Holmes,1970,2038,2038
Irma la Douce,1963,2039,2039
Angels with Dirty Faces,1938,2040,2040
Paths of Glory,1957,2041,2041
City Lights,1931,2042,2042
Collateral Damage,2002,2043,2043
Since You Went Away,1944,2044,2044
You Can't Take It With You,1938,2045,2045
Grand Hotel,1932,2046,2046
The Big Hangover,1950,2047,2047
The Life of Emile Zola,1937,2048,2048
Going My Way,1944,2049,2049
Groundhog Day,1993,2050,2050
Seven Years in Tibet,1997,2051,2051
Missing Link,1988,2052,2052
Jeremiah Johnson,1972,2053,2053
Brubaker,1980,2054,2054
The Electric Horseman,1979,2055,2055
The Clan of the Cave Bear,1986,2056,2056
Legal Eagles,1986,2057,2057
Caveman,1980 1981 1982,2058,2058
Life of Pi,2012,2059,2059
The Count of Monte Cristo,2002,2060,2060
Logan's Run,1976,2061,2061
The Jacket,2005,2062,2062
The Time Machine,2001 2002 2003,2063,2063
Hollow Man,2000,2064,2064
All I Want for Christmas,1991,2065,2065
6 Bullets,2012,2066,2066
Sorcerer,1977,2067,2067
To Live and Die in L.A.,1985,2068,2068
Everest,2015,2069,2069
Rampage,1987,2070,2070
Avengers: Infinity War - Part I,2018,2071,2071
Arsenic and Old Lace,1944,2072,2072
Bringing Up Baby,1938,2073,2073
Only Angels Have Wings,1939,2074,2074
The Lady Eve,1941,2075,2075
The Shop Around the Corner,1940,2076,2076
The Awful Truth,1937,2077,2077
Angie,1994,2078,2078
My Man Godfrey,1936,2079,2079
Holiday,1938,2080,2080
Gettysburg,1993,2081,2081
Hulk,2003,2082,2082
Stargate,1994,2083,2083
Queens of Country,2012,2084,2084
The Ledge,2011,2085,2085
Abandon,2002,2086,2086
Whatever Happened to Harold Smith?,1999,2087,2087
Green Street Hooligans,2005,2088,2088
Casting By,2012,2089,2089
Nicholas Nickleby,2002,2090,2090
Deadfall,2012,2091,2091
300,2006,2092,2092
Fury,2014,2093,2093
Pirates of the Caribbean: On Stranger Tides,2011,2094,2094
The Hobbit: The Battle of the Five Armies,2014,2095,2095
At the Circus,1939,2096,2096
The Hunger Games: Mockingjay - Part 1,2014,2097,2097
Miami Vice,2006,2098,2098
The Curious Case of Benjamin Button,2008,2099,2099
Catch Me If You Can,2002,2100,2100
Slumdog Millionaire,2008,2101,2101
The Notebook,2004,2102,2102
Pitch Perfect,2012,2103,2103
Star Trek V: The Final Frontier,1989,2104,2104
Star Trek: USS PAN,2018,2105,2105
Star Trek: Horizon,2015,2106,2106
Passage to Mars,2016,2107,2107
Star Trek Beyond,2016,2108,2108
Teenage Mutant Ninja Turtles,1990,2109,2109
Fast Five,2011,2110,2110
Monkey Business,1931,2111,2111
True Grit,1969,2112,2112
Rio Bravo,1959,2113,2113
The War Wagon,1967,2114,2114
Rooster Cogburn,1975,2115,2115
Rio Lobo,1970,2116,2116
Get Shorty,1995,2117,2117
Chisum,1970,2118,2118
Big Jake,1971,2119,2119
Teenage Mutant Ninja Turtles,2014,2120,2120
300: Rise of an Empire,2014,2121,2121
The Expendables 3,2014,2122,2122
Bad Boys,1995,2123,2123
Bad Boys II,2003,2124,2124
Mission: Impossible,1996,2125,2125
The War of the Worlds,1953,2126,2126
Valkyrie,2008,2127,2127
Mission: Impossible III,2006,2128,2128
The Hudsucker Proxy,1994,2129,2129
Starship Troopers,1997,2130,2130
The Cocoanuts,1929,2131,2131
Con Air,1997,2132,2132
Pearl Harbor,2001,2133,2133
Untitled Wolverine Sequel,2017,2134,2134
The Mummy: Tomb of the Dragon Emperor,2008,2135,2135
Blade II,2002,2136,2136
The Scorpion King,2002,2137,2137
Hellboy,2004,2138,2138
Hellboy II: The Golden Army,2008,2139,2139
The Da Vinci Code,2006,2140,2140
Next,2007,2141,2141
The Rock,1996,2142,2142
The Sorcerer's Apprentice,2009 2010 2011,2143,2143
The Italian Job,2003,2144,2144
Jumper,2008,2145,2145
Death Race,2008,2146,2146
The Transporter,2002,2147,2147
Secret Window,2004,2148,2148
Sweeney Todd: The Demon Barber of Fleet Street,2007,2149,2149
Dark Shadows,2012,2150,2150
Public Enemies,2009,2151,2151
The King's Speech,2010,2152,2152
Edward Scissorhands,1990,2153,2153
Swordfish,2001,2154,2154
Lord of War,2005,2155,2155
Blade: Trinity,2004,2156,2156
Underworld: Rise of the Lycans,2009,2157,2157
Dracula,1992,2158,2158
Underworld: Awakening,2012,2159,2159
Ocean's Twelve,2004,2160,2160
Ocean's Eleven,2001,2161,2161
Ocean's Thirteen,2007,2162,2162
Sherlock Holmes: A Game of Shadows,2011,2163,2163
Chasing Ghosts: Beyond the Arcade,2007,2164,2164
Angels & Demons,2009,2165,2165
Ghost Rider,2007,2166,2166
Changeling,2008,2167,2167
The Expendables,2010,2168,2168
Coraline,2009,2169,2169
Clash of the Titans,2010,2170,2170
9,2009,2171,2171
Superman III,1983,2172,2172
Gremlins,1984,2173,2173
Ghostbusters,1984,2174,2174
Batman Forever,1995,2175,2175
Batman & Robin,1997,2176,2176
Superman Returns,2006,2177,2177
Beetlejuice,1988,2178,2178
Superman II,1980,2179,2179
Batman,1989,2180,2180
Ghostbusters II,1989,2181,2181
The Nut Job,2013 2014 2015,2182,2182
Free Birds,2013,2183,2183
Licence to Kill,1989,2184,2184
A Day at the Races,1937,2185,2185
Green Lantern,2011,2186,2186
TRON,1982,2187,2187
Prince of Persia: The Sands of Time,2010,2188,2188
Real Steel,2011,2189,2189
John Carter,2012,2190,2190
I Am Number Four,2011,2191,2191
Master and Commander: The Far Side of the World,2003,2192,2192
A Night in Casablanca,1946,2193,2193
Scarecrow,1973,2194,2194
Dick Tracy,1990,2195,2195
L.A. Confidential,1997,2196,2196
The Big Store,1941,2197,2197
The Usual Suspects,1995,2198,2198
Snatch.,2000,2199,2199
Animal Crackers,1930,2200,2200
The Godfather: Part III,1990,2201,2201
American Gangster,2007,2202,2202
Go West,1940,2203,2203
Room Service,1938,2204,2204
Mystic River,2003,2205,2205
Gone Baby Gone,2007,2206,2206
Panic Room,2002,2207,2207
Enemy of the State,1998,2208,2208
Hitch,2005,2209,2209
Wild Wild West,1999,2210,2210
Seven Pounds,2008,2211,2211
The Pursuit of Happyness,2006,2212,2212
The Legend of Bagger Vance,2000,2213,2213
The Crucible,1996,2214,2214
Lincoln,2012,2215,2215
A Night at the Opera,1935,2216,2216
The Boxer,1997,2217,2217
The Last of the Mohicans,1932,2218,2218
The Ballad of Jack and Rose,2005,2219,2219
The Age of Innocence,1993,2220,2220
In the Name of the Father,1993,2221,2221
Gangs of New York,2002,2222,2222
The Jewel of the Nile,1985,2223,2223
The War of the Roses,1989,2224,2224
Romancing the Stone,1984,2225,2225
Black Rain,1989,2226,2226
Indecent Proposal,1993,2227,2227
Don't Say a Word,2001,2228,2228
Margin Call,2011,2229,2229
Savages,2012,2230,2230
Green Zone,2010,2231,2231
Eagle Eye,2008,2232,2232
Disturbia,2007,2233,2233
21,2008,2234,2234
Written on the Wind,1956,2235,2235
Nine 1/2 Weeks,1986,2236,2236
Wild Things,1997 1998 1999,2237,2237
Basic Instinct 2,2006,2238,2238
Sliver,1993,2239,2239
Adventures in Babysitting,1986 1987 1988,2240,2240
Striptease,1996,2241,2241
Che: Part One,2008,2242,2242
21 Grams,2003,2243,2243
Babel,2005 2006 2007,2244,2244
Training Day,2001,2245,2245
25th Hour,2002,2246,2246
The Man Who Knew Too Much,1956,2247,2247
South of the Border,2009,2248,2248
The Hand,1981,2249,2249
Salvador,1986,2250,2250
Comandante,2003,2251,2251
Seizure,1974,2252,2252
U Turn,1997,2253,2253
Frost/Nixon,2008,2254,2254
American Splendor,2002 2003 2004,2255,2255
The American President,1995,2256,2256
Lost Highway,1997,2257,2257
Eraserhead,1977,2258,2258
The Color of Money,1986,2259,2259
A Few Good Men,1992,2260,2260
Rain Man,1988,2261,2261
Days of Thunder,1990,2262,2262
Risky Business,1983,2263,2263
Taps,1981,2264,2264
Cocktail,1988,2265,2265
The Firm,1993,2266,2266
Jerry Maguire,1996,2267,2267
Vantage Point,2008,2268,2268
Flightplan,2005,2269,2269
16 Blocks,2006,2270,2270
Lucky Number Slevin,2006,2271,2271
In Bruges,2008,2272,2272
The King of Marvin Gardens,1972,2273,2273
xXx,2002,2274,2274
xXx: State of the Union,2005,2275,2275
I Think We're Alone Now,2008,2276,2276
At the Video Store,2015,2277,2277
Cinemania,2002,2278,2278
This Film Is Not Yet Rated,2006,2279,2279
Cleanflix,2009,2280,2280
Inland Empire,2006,2281,2281
The Auteur,2008,2282,2282
Rid of Me,2011,2283,2283
Extract,2009,2284,2284
The Anarchist Cookbook,2002,2285,2285
Subculture,1993,2286,2286
Love and Death,1975,2287,2287
Final Fantasy: The Spirits Within,2001,2288,2288
The Doors: When You're Strange,2009,2289,2289
The Straight Story,1999,2290,2290
Wild at Heart,1990,2291,2291
DragonHeart,1996,2292,2292
Robin Hood,2010,2293,2293
Entrapment,1999,2294,2294
First Knight,1995,2295,2295
Tin Cup,1996,2296,2296
Wyatt Earp,1994,2297,2297
The Postman,1997,2298,2298
Missing,1982,2299,2299
The Mist,2007,2300,2300
Carrie,1975 1976 1977,2301,2301
The Last Exorcism,2010,2302,2302
Pet Sematary,1989,2303,2303
Dolores Claiborne,1995,2304,2304
Swimming with Sharks,1994,2305,2305
Christine,1983,2306,2306
Swing Time,1936,2307,2307
Love's Labour's Lost,2000,2308,2308
Footlight Parade,1933,2309,2309
Desperado,1994 1995 1996,2310,2310
Planet Terror,2007,2311,2311
Sergeant York,1941,2312,2312
Four Rooms,1995,2313,2313
Grindhouse,2006 2007 2008,2314,2314
Machete,2010,2315,2315
From Dusk Till Dawn,1996,2316,2316
Jackie Brown,1997,2317,2317
Once Upon a Time in Mexico,2003,2318,2318
The English Patient,1996,2319,2319
Crash,2004,2320,2320
3000 Miles to Graceland,2001,2321,2321
A Perfect World,1993,2322,2322
No Way Out,1987,2323,2323
Dragonfly,2002,2324,2324
The Guardian,2006,2325,2325
Swing Vote,2008,2326,2326
Open Range,2003,2327,2327
For Love of the Game,1998 1999 2000,2328,2328
The Hunt for Red October,1990,2329,2329
Lethal Weapon,1987,2330,2330
Under Siege,1992,2331,2331
U.S. Marshals,1998,2332,2332
Presumed Innocent,1990,2333,2333
Witness,1985,2334,2334
Patriot Games,1992,2335,2335
Clear and Present Danger,1994,2336,2336
Air Force One,1997,2337,2337
Ronin,1998,2338,2338
Cape Fear,1991,2339,2339
Road to Perdition,2002,2340,2340
Fireflies in the Garden,2008,2341,2341
I Call First,1967,2342,2342
Boxcar Bertha,1972,2343,2343
Stories USA,2007,2344,2344
United 93,2006,2345,2345
Windtalkers,2002,2346,2346
Bangkok Dangerous,2008,2347,2347
The Family Man,2000,2348,2348
The Weather Man,2005,2349,2349
Fighting,2009,2350,2350
Salomé,2013,2351,2351
The Humbling,2014,2352,2352
Danny Collins,2015,2353,2353
How to Lose a Guy in 10 Days,2003,2354,2354
Fool's Gold,2008,2355,2355
Failure to Launch,2006,2356,2356
The Mask of Zorro,1998,2357,2357
The Paperboy,2012,2358,2358
Killer Joe,2011,2359,2359
The Negotiator,1998,2360,2360
Dallas Buyers Club,2013,2361,2361
Fracture,2007,2362,2362
Mud,2012,2363,2363
The Comebacks,2007,2364,2364
Hoosiers,1986,2365,2365
Draft Day,2014,2366,2366
Moneyball,2011,2367,2367
The Hurricane,1999,2368,2368
Miss Congeniality,2000,2369,2369
The Fighter,2010,2370,2370
The Social Network,2010,2371,2371
The Proposal,2009,2372,2372
Snitch,2013,2373,2373
The Rundown,2003,2374,2374
Walking Tall,2004,2375,2375
Faster,2010,2376,2376
Radio,2003,2377,2377
The Natural,1984,2378,2378
The Greatest Game Ever Played,2005,2379,2379
Frequency,2000,2380,2380
Cruising,1980,2381,2381
The Panic in Needle Park,1971,2382,2382
"Me, Natalie",1969,2383,2383
Duck Soup,1933,2384,2384
The Elephant Man,1980,2385,2385
Misery,1989 1990 1991,2386,2386
Yankee Doodle Dandy,1942,2387,2387
Mean Streets,1973,2388,2388
Analyze This,1998 1999 2000,2389,2389
Sleepers,1996,2390,2390
Men of Honor,2000,2391,2391
Once Upon a Time in the West,1968,2392,2392
The Addams Family,1991,2393,2393
Chinatown,1974,2394,2394
Network,1976,2395,2395
Addams Family Values,1993,2396,2396
No Country for Old Men,2007,2397,2397
The Butterfly Effect,2004,2398,2398
The Girl with the Dragon Tattoo,2011,2399,2399
The Conversation,1974,2400,2400
The China Syndrome,1979,2401,2401
The Machinist,2004,2402,2402
Primal Fear,1996,2403,2403
The Illusionist,2006,2404,2404
Point Break,1991,2405,2405
Speed 2: Cruise Control,1997,2406,2406
River's Edge,1986,2407,2407
Showtime,2002,2408,2408
The Animatrix,2003,2409,2409
The Lake House,2006,2410,2410
47 Ronin,2013,2411,2411
The Day the Earth Stood Still,2008,2412,2412
Spy,2015,2413,2413
Tune in Tomorrow...,1990,2414,2414
Sweet November,2001,2415,2415
Permanent Record,1988,2416,2416
Henry's Crime,2010,2417,2417
Providence,1991,2418,2418
The Last Time I Committed Suicide,1997,2419,2419
Me and Will,1999,2420,2420
The Prince of Pennsylvania,1988,2421,2421
Critters,1986,2422,2422
Head Above Water,1996,2423,2423
Young Frankenstein,1974,2424,2424
Big Daddy,1999,2425,2425
The Waterboy,1998,2426,2426
Anger Management,2003,2427,2427
Click,2006,2428,2428
Just Go with It,2011,2429,2429
I Now Pronounce You Chuck & Larry,2007,2430,2430
50 First Dates,2004,2431,2431
Mr. Deeds,2002,2432,2432
You Don't Mess with the Zohan,2008,2433,2433
Grown Ups,2010,2434,2434
Hard Rain,1998,2435,2435
Beautiful Girls,1996,2436,2436
Street Kings,2008,2437,2437
Caddyshack,1980,2438,2438
Eight Men Out,1988,2439,2439
Bull Durham,1988,2440,2440
White Men Can't Jump,1992,2441,2441
Major League II,1994,2442,2442
Major League: Back to the Minors,1998,2443,2443
A League of Their Own,1991 1992 1993,2444,2444
Puttin' on the Ritz,1930,2445,2445
Lust in the Dust,1985,2446,2446
Pucked,2006,2447,2447
Vanity Street,1932,2448,2448
The Pajama Game,1957,2449,2449
Brigadoon,1954,2450,2450
Road to Singapore,1940,2451,2451
Night and Day,1945 1946 1947,2452,2452
Enchantment,1921,2453,2453
Camelot,1967,2454,2454
Decoy,1946,2455,2455
The Unsinkable Molly Brown,1964,2456,2456
The Gift,2000,2457,2457
Boxing Helena,1993,2458,2458
15 Minutes,2001,2459,2459
Analyze That,2002,2460,2460
Rewind This!,2013,2461,2461
Rounders,1998,2462,2462
Pride and Glory,2008,2463,2463
Doctor Dolittle,1967,2464,2464
The Princess Bride,1987,2465,2465
It's a Wonderful Life,1946,2466,2466
Pete's Dragon,1977,2467,2467
I Remember Mama,1948,2468,2468
Miracle on 34th Street,1947,2469,2469
The Bells of St. Mary's,1945,2470,2470
The Yearling,1946,2471,2471
The Pride of the Yankees,1942,2472,2472
Meet Me in St. Louis,1944,2473,2473
Posse,1993,2474,2474
Journey to the Center of the Earth,1959,2475,2475
20000 Leagues Under the Sea,1954,2476,2476
Show Boat,1951,2477,2477
Little Women,1933,2478,2478
Gulliver's Travels,1939,2479,2479
National Velvet,1944,2480,2480
Mr. Hobbs Takes a Vacation,1962,2481,2481
Munchies,1987,2482,2482
Babe,1995,2483,2483
The Adventures of Ford Fairlane,1990,2484,2484
"Love, Wedding, Marriage",2011,2485,2485
Raising Helen,2004,2486,2486
The Wedding Date,2005,2487,2487
Made of Honor,2008,2488,2488
When in Rome,2010,2489,2489
License to Wed,2007,2490,2490
Confessions of a Shopaholic,2009,2491,2491
The Family Stone,2005,2492,2492
The Many Adventures of Winnie the Pooh,1977,2493,2493
Melody Time,1948,2494,2494
Fantasia/2000,1999,2495,2495
The Three Caballeros,1944,2496,2496
Fantasia,1939 1940 1941,2497,2497
Make Mine Music,1946,2498,2498
Rachel's Attic,2002,2499,2499
The Reluctant Dragon,1941,2500,2500
Treasure Island,1950,2501,2501
So Dear to My Heart,1948,2502,2502
(500) Days of Summer,2009,2503,2503
Matilda,1996,2504,2504
The Love Bug,1968,2505,2505
Herbie Goes to Monte Carlo,1977,2506,2506
Herbie Goes Bananas,1980,2507,2507
Herbie Rides Again,1974,2508,2508
Beethoven's 2nd,1993,2509,2509
Homeward Bound: The Incredible Journey,1993,2510,2510
Beethoven,1992,2511,2511
Holy Man,1998,2512,2512
Casper,1995,2513,2513
So This Is Christmas,2013,2514,2514
A Christmas Story,1982 1983 1984,2515,2515
Nic & Tristan Go Mega Dega,2010,2516,2516
Zack and Miri Make a Porno,2008,2517,2517
Chasing Amy,1997,2518,2518
Clerks II,2006,2519,2519
Dogma,1999,2520,2520
Red State,2011,2521,2521
Maid in Manhattan,2002,2522,2522
Mallrats,1995,2523,2523
Clerks,1994,2524,2524
The Witches,1990,2525,2525
The Crow,1993 1994 1995,2526,2526
Police Academy,1984,2527,2527
The Kids from 62-F,2015,2528,2528
In the Dog House,2014,2529,2529
How to Beat a Bully,2014,2530,2530
A Little Game,2014,2531,2531
Curious George 3: Back to the Jungle,2015,2532,2532
