HospitalName,EmergencyService,original_index,unique_index,count
andalusia regional hospital,no,764,69,23
andaluxia regional hoxpital,no,765,71,1
stringfellow memorial hospital,yes,766,21,26
stringfellow memorial hospital,yes,767,21,26
stringfellow memorial hospital,yes,768,21,26
stringfellow memorial hospital,yes,769,21,26
stringfellow memorial hospital,yes,770,21,26
stringfellow memorial hospital,yes,771,21,26
stringfellow memorial hospital,yes,772,21,26
stringfellow memorial hospital,yes,773,21,26
huntsville hospital,yes,774,72,26
huntsville hospital,yes,775,72,26
huntsville hospital,yes,776,72,26
huntsvxlle hospxtal,yes,777,73,1
huntsville hospital,yes,778,72,26
huntsville hospital,yes,779,72,26
huntsville hospital,yes,780,72,26
huntsville hospital,yes,781,72,26
huntsville hospital,yes,782,72,26
huntsville hospital,yes,783,72,26
huntsville hospital,yes,784,72,26
huntsville hospital,yes,785,72,26
huntsville hospital,yes,786,72,26
huntsville hospital,yes,787,72,26
huntsville hospital,yes,788,72,26
huntsville hospital,yes,789,72,26
huntsville hospital,yes,790,72,26
huntsville hospital,yes,791,72,26
huntsville hospital,yes,792,72,26
huntsville hospital,yes,793,72,26
huntsville hospital,yes,794,72,26
huntsville hospital,yes,795,72,26
huntsville hospital,yes,796,72,26
huntsville hospital,yxs,797,74,1
huntsville hospital,yes,798,72,26
huntsville hospital,yes,799,72,26
huntsville hospital,yes,800,72,26
huntsville hospital,yes,801,72,26
gadsden regional medical center,yes,802,75,24
gadsden regional medical center,yes,803,75,24
gadsden regional medical center,yes,804,75,24
gadsden regional medical center,yes,805,75,24
gadsden regional medical center,yes,806,75,24
gadsden regional medical center,yes,807,75,24
gadsden regional medical center,yes,808,75,24
gadsden regional medical center,xes,809,76,1
gadsden regional medical center,yes,810,75,24
gadsden regional medical center,yes,811,75,24
gadsden regional medical center,yes,812,75,24
gadsden regional medical center,yes,813,75,24
gadsden regional medical center,yes,814,75,24
gadsden regional medical center,yes,815,75,24
gadsden regional medical center,yes,816,75,24
gadsden regional medical center,yes,817,75,24
gadsden regional medical center,yes,818,75,24
gadsden regional medical center,yes,819,75,24
gadsden regional medical center,yes,820,75,24
gadsden regional medical center,yes,821,75,24
gadsden regional medical center,yes,822,75,24
gadsden regional medical center,yes,823,75,24
gadsden regional medical center,yes,824,75,24
gadsden regional medical center,yes,825,75,24
gadsden regional medical center,yes,826,75,24
chilton medical center,yes,827,77,25
chilton medical center,yes,828,77,25
chilton medical center,yes,829,77,25
chilton medical center,yes,830,77,25
chilton medical center,yes,831,77,25
chilton medical center,yes,832,77,25
chilton medical center,yes,833,77,25
chilton medical center,yes,834,77,25
chilton medical center,yes,835,77,25
chilton medical center,yes,836,77,25
chilton medical center,yes,837,77,25
chilton medical center,yes,838,77,25
chilton medical center,yes,839,77,25
chilton medical center,yes,840,77,25
chilton medical center,yes,841,77,25
chilton medical center,yes,842,77,25
chilton medical center,yes,843,77,25
chilton medical center,yes,844,77,25
chilton medical center,yes,845,77,25
chilton medical center,yes,846,77,25
chilton medical center,yes,847,77,25
chilton medical center,yes,848,77,25
chilton medical center,yes,849,77,25
chilton medical center,yes,850,77,25
chilton medical center,yes,851,77,25
marion regional medical center,yes,852,78,24
marion regional medical center,yes,853,78,24
marion regional medical center,yes,854,78,24
marion regional medical center,yes,855,78,24
marion regional medical center,yes,856,78,24
marion regional medical center,yes,857,78,24
marion regional medical center,yes,858,78,24
marion regional medical center,yes,859,78,24
marion regional medical center,yes,860,78,24
marion regional medical center,yes,861,78,24
marion regional medical center,yes,862,78,24
marion regional medical center,yes,863,78,24
marion regional medical center,yes,864,78,24
marion regional medical center,yes,865,78,24
marion regional medical center,yxs,866,79,1
marion regional medical center,yes,867,78,24
marion regional medical center,yes,868,78,24
marion regional medical center,yes,869,78,24
marion regional medical center,yes,870,78,24
marion regional medical center,yes,871,78,24
marion regional medical center,yes,872,78,24
marion regional medical center,yes,873,78,24
marion regional medical center,yes,874,78,24
marion regional medical center,yes,875,78,24
marion regional medical center,yes,876,78,24
fayette medical center,yes,877,80,24
fayette medical center,yes,878,80,24
fayette medical center,yes,879,80,24
fayette medical center,yes,880,80,24
fayette medical center,yes,881,80,24
fayette medical center,yes,882,80,24
fayette medical center,yes,883,80,24
fayette medical center,yes,884,80,24
fayette medical center,yes,885,80,24
fayette medical center,yes,886,80,24
fayette medical center,yes,887,80,24
fayette medical center,yes,888,80,24
fayette medical center,yex,889,81,1
fayette medical center,yes,890,80,24
fayette medical center,yes,891,80,24
fayette medical center,yes,892,80,24
fayette medical center,yes,893,80,24
fayette medical center,yes,894,80,24
fayette medical center,yes,895,80,24
fayette medical center,yes,896,80,24
fayette medical center,yes,897,80,24
fayette medical center,yes,898,80,24
fayette medical center,yes,899,80,24
fayette medical center,yes,900,80,24
fayette medical center,yes,901,80,24
riverview regional medical center,yes,902,82,24
rivxrvixw rxgional mxdical cxntxr,yes,903,83,1
riverview regional medical center,yes,904,82,24
riverview regional medical center,yes,905,82,24
riverview regional medical center,yes,906,82,24
riverview regional medical center,yes,907,82,24
riverview regional medical center,yes,908,82,24
riverview regional medical center,yes,909,82,24
riverview regional medical center,yes,910,82,24
riverview regional medical center,yes,911,82,24
riverview regional medical center,yes,912,82,24
riverview regional medical center,yes,913,82,24
riverview regional medical center,yes,914,82,24
riverview regional medical center,yes,915,82,24
riverview regional medical center,yes,916,82,24
riverview regional medical center,yes,917,82,24
riverview regional medical center,yes,918,82,24
riverview regional medical center,yex,919,84,1
riverview regional medical center,yes,920,82,24
xivexview xegional medical centex,yxs,921,85,1
riverview rexional medical center,yes,922,86,1
riverview regional medical center,yes,923,82,24
riverview regional medical center,yes,924,82,24
riverview regional medical center,yes,925,82,24
riverview regional medical center,yes,926,82,24
riverview regional medical center,yes,927,82,24
riverview regional medical center,yes,928,82,24
riverview regional medical center,yes,929,82,24
georgiana hospital,no,930,87,24
georgiana hospital,no,931,87,24
georgiana hospital,no,932,87,24
georgiana hospital,no,933,87,24
georgiana hospital,no,934,87,24
georgiana hospital,no,935,87,24
georgiana hospital,no,936,87,24
georgiana hospital,no,937,87,24
georgiaxa hospital,no,938,88,1
georgiana hospital,no,939,87,24
georgiana hospital,no,940,87,24
georgiana hospital,no,941,87,24
georgiana hospital,no,942,87,24
georgiana hospital,no,943,87,24
georgiana hospital,no,944,87,24
georgiana hospital,no,945,87,24
georgiana hospital,no,946,87,24
georgiana hospital,no,947,87,24
georgiana hospital,no,948,87,24
georgiana hospital,no,949,87,24
georgiana hospital,no,950,87,24
georgiana hospital,no,951,87,24
georgiana hospital,no,952,87,24
georgiana hospital,no,953,87,24
georgiana hospital,no,954,87,24
medical center enterprise,yes,955,89,23
medixal xenter enterprise,yes,956,90,1
medical center enterprise,yes,957,89,23
medical center enterprise,yes,958,89,23
medical center enterprise,yes,959,89,23
medical center enterprise,yes,960,89,23
medical center enterprise,yes,961,89,23
medxcal center enterprxse,yes,962,91,1
medical center enterprise,yes,963,89,23
medical center enterprise,yes,964,89,23
medical center enterprise,yes,965,89,23
medical center enterprise,yes,966,89,23
medical center enterprise,yes,967,89,23
medical center enterprise,yes,968,89,23
medical center enterprise,yes,969,89,23
medical center enterprise,yes,970,89,23
medical center enterprise,yes,971,89,23
medical center enterprise,yes,972,89,23
medical center enterprise,yes,973,89,23
medical center enterprise,yes,974,89,23
medical center enterprise,yes,975,89,23
medical center enterprise,yes,976,89,23
medical center enterprise,yes,977,89,23
medical center enterprise,yes,978,89,23
medical center enterprise,yes,979,89,23
st vincents blount,yes,980,92,19
st vincents blount,yes,981,92,19
st vincents blount,yes,982,92,19
st vincents blount,yes,983,92,19
st vincents blount,yes,984,92,19
st vincents blount,yes,985,92,19
st vincents blount,yes,986,92,19
st vincents bxount,yes,987,93,1
st vincents blount,yes,988,92,19
st vincents blount,yes,989,92,19
st vincents blount,yes,990,92,19
st vincents blount,yes,991,92,19
st vincents blount,yes,992,92,19
st vincents blount,yes,993,92,19
st vincents blount,yes,994,92,19
st vincents blount,yes,995,92,19
st vincents blount,yes,996,92,19
st vincents blount,yes,997,92,19
st vincents blount,yes,998,92,19
st vincents blount,yes,999,92,19
