Condition,MeasureName,original_index,unique_index
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),350,10
heart attack,heart attack patients given smoking cessation advice/counseling,351,11
heart attack,heart attack patients given beta blocker at discharge,352,12
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,353,7
heart attack,heart attack patients given aspirin at arrival,354,8
heart attack,heart attack patients given aspirin at discharge,355,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),356,10
heart attack,heart attack patients given smoking cessation advice/counseling,357,11
heart attack,heart attack patients given beta blocker at discharge,358,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,359,13
heart attack,heart attack patients given pci within 90 minutes of arrival,360,14
heart failure,heart failure patients given discharge instructions,361,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,362,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),363,17
heart failure,heart failure patients given smoking cessation advice/counseling,364,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,365,21
pnxumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,366,48
pneumonia,pneumonia patients given smoking cessation advice/counseling,367,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,368,24
pnexmonia,pneumonia patients given the most appropriate initial antibiotic(s),369,49
pneumonia,pneumonia patients assessed and given influenza vaccination,370,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,371,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,372,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,373,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),374,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,375,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),376,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,377,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,378,7
heart attack,heart attack patients given aspirin at arrival,379,8
heart attack,heaxt attack patients given aspixin at dischaxge,380,50
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),381,10
heart attack,heart attack patients given smoking cessation advice/counseling,382,11
heart attack,heart attack patients given beta blocker at discharge,383,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,384,13
heart attack,heart attack patients given pci within 90 minutes of arrival,385,14
hxart failurx,heart failure patients given discharge instructions,386,51
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,387,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),388,17
heart failure,heart xailure patients given smoking cessation advice/counseling,389,52
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,390,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,391,22
heart attack,heart attack patients given aspirin at discharge,392,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),393,10
heart attack,heart attack patients given smoking cessation advice/counseling,394,11
heart attack,heart attack patients given beta blocker at discharge,395,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,396,13
heart attack,heart attack patients given pci within 90 minutes of arrival,397,14
heart failure,heart failure patients given discharge instructions,398,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,399,16
hxart failurx,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),400,53
heart failure,heart failure patients given smoking cessation advice/counseling,401,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,402,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,403,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,404,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,405,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),406,25
pneumonia,pneumonia patients assessed and given influenza vaccination,407,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,408,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,409,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,410,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),411,3
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,412,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,413,7
heart attack,heart attack patients given aspirin at arrival,414,8
heart attack,heart attack patients given aspirin at discharge,415,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),416,10
heart attack,heart attack patients given smoking cessation advice/counseling,417,11
heart attack,heart attack patients given beta blocker at discharge,418,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,419,13
heart attack,heart attack patients given pci within 90 minutes of arrival,420,14
heart failure,heart failure patients given discharge instructions,421,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,422,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),423,17
heart failure,heart failure patients given smoking cessation advice/counseling,424,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,425,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,426,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,427,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,428,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),429,25
pneumonia,pneumonia patients assessed and given influenza vaccination,430,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,431,27
heart failure,heart failure patients given discharge instructions,432,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,433,16
heart failure,heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd),434,54
heart failure,heart failure patients given smoking cessation advice/counseling,435,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,436,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,437,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,438,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,439,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),440,25
pneumonia,pneumonia patients assessed and given influenza vaccination,441,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,442,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,443,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,444,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),445,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,446,4
surgical infection prevention,surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor),447,55
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,448,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,449,7
heart attack,heart attack patients given aspirin at arrival,450,8
heart attack,heart attack patients given aspirin at discharge,451,9
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,452,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,453,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,454,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,455,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),456,25
pneumonia,pneumonia patients assessed and given influenza vaccination,457,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,458,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,459,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,460,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),461,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,462,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),463,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,464,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,465,7
heart attack,heart attack patients given aspirin at arrival,466,8
hexrt attxck,heart attack patients given aspirin at discharge,467,56
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),468,10
heart attack,heart attack patients given smoking cessation advice/counseling,469,11
heart attack,heart attack patients given beta blocker at discharge,470,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,471,13
heart attack,heart attack patients given pci within 90 minutes of arrival,472,14
heart failure,heaxt failuxe patients given dischaxge instxuctions,473,57
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,474,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),475,17
heart failure,heart failure patients given smoking cessation advice/counseling,476,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,477,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,478,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,479,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,480,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),481,25
pneumonia,pneumonia patients assessed and given influenza vaccination,482,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,483,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,484,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,485,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),486,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,487,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),488,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,489,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,490,7
heart attack,heart attack patients given aspirin at arrival,491,8
heart attack,heart attack patients given aspirin at discharge,492,9
heart attack,hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),493,58
heart attack,heart attack patients given smoking cessation advice/counseling,494,11
heart attack,heart attack patients given beta blocker at discharge,495,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,496,13
heart attack,heart attack patients given pci within 90 minutes of arrival,497,14
heart failure,heart failure patients given discharge instructions,498,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,499,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),500,17
heart failure,heart failure patients given smoking cessation advice/counseling,501,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,502,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,503,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,504,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,505,24
pneumonix,pneumonia patients given the most appropriate initial antibiotic(s),506,59
pneumonia,pneumonix pxtients assessed xnd given influenzx vxccinxtion,507,60
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,508,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,509,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,510,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),511,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,512,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),513,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,514,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,515,7
heart attack,heart attack patients given aspirin at arrival,516,8
heart attack,heart attack patients given aspirin at discharge,517,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),518,10
heart attack,heart attack patients given smoking cessation advice/counseling,519,11
heart attack,heart attack patients given beta blocker at discharge,520,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,521,13
heart attack,heart attack patients given pci within 90 minutes of arrival,522,14
heart failure,heart failure patients given discharge instructions,523,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,524,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),525,17
heart failure,heart failure patients given smoking cessation advice/counseling,526,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,527,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,528,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,529,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,530,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),531,25
pneumonia,pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,532,61
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,533,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,534,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,535,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),536,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,537,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),538,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,539,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,540,7
heart attack,hexrt attxck pxtients given aspirin xt arrivxl,541,62
heart attack,heart attack patients given aspirin at discharge,542,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),543,10
heart attack,heart attack patients given smoking cessation advice/counseling,544,11
heart attack,heaxt attack patients given beta blockex at dischaxge,545,63
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,546,13
heart attack,heart attack patients given pci within 90 minutes of arrival,547,14
heart failure,heart failure patients given discharge instructions,548,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,549,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),550,17
heart failure,heart failure patients given smoking cessation advice/counseling,551,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,552,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,553,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,554,23
pxeumoxia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,555,64
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),556,25
pneumonia,pneumonia patients assessed and given influenza vaccination,557,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,558,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,559,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,560,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),561,3
surgical infection prevention,allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,562,65
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),563,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,564,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,565,7
heart attack,heart attack patients given aspirin at arrival,566,8
heart attack,heart attack patients given aspirin at discharge,567,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),568,10
heart attack,heart attack patients given smoking cessation advice/counseling,569,11
heart attack,heart attack patients given beta blocker at discharge,570,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,571,13
heart attack,heart attack patients given pci within 90 minutes of arrival,572,14
heart failure,heart failure patients given discharge instructions,573,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,574,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),575,17
heart failure,heart failure patients given smoking cessation advice/counseling,576,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,577,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,578,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,579,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,580,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),581,25
pneumonia,pneumonia patients assessed and given influenza vaccination,582,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,583,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,584,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,585,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),586,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,587,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),588,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,589,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,590,7
heart attack,heart attack patients given aspirin at arrival,591,8
heart attack,heart attack patients given aspirin at discharge,592,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),593,10
heart attack,heart attack patients given smoking cessation advice/counseling,594,11
heart attack,heart attack patients given beta blocker at discharge,595,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,596,13
heart attack,heart attack patients given pci within 90 minutes of arrival,597,14
heart failure,heart failure patients given discharge instructions,598,15
heart faixure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,599,66
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),600,17
heart failure,heart failure patients given smoking cessation advice/counseling,601,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,602,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,603,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,604,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,605,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),606,25
pneumonia,pneumonia patients assessed and given influenza vaccination,607,26
surgical ixfectiox prevextiox,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,608,67
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,609,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,610,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),611,3
surgical infection prevention,all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,612,68
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),613,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,614,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,615,7
heart attack,heart attack patients given aspirin at arrival,616,8
heart attack,heart attack patients given aspirin at discharge,617,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),618,10
heart attack,heart attack patients given smoking cessation advice/counseling,619,11
heart attack,heart attack patients given beta blocker at discharge,620,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,621,13
heart attack,heart attack patients given pci within 90 minutes of arrival,622,14
heart failure,heart failure patients given discharge instructions,623,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,624,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),625,17
heart failure,heart failure patients given smoking cessation advice/counseling,626,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,627,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,628,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,629,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,630,24
pneumonxa,pneumonia patients given the most appropriate initial antibiotic(s),631,69
pneumonia,pneumonia patients assessed and given influenza vaccination,632,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,633,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,634,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,635,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),636,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,637,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),638,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,639,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,640,7
heart attack,heart attack patients given aspirin at arrival,641,8
heart attack,heart attack patients given aspirin at discharge,642,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),643,10
heart attack,heart attack patients given smoking cessation advice/counseling,644,11
heart attack,heart attack patients given beta blocker at discharge,645,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,646,13
heart attack,heart attack patients given pci within 90 minutes of arrival,647,14
heart failure,heart failure patients given discharge instructions,648,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,649,16
heart failure,heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),650,70
heart failure,heart faxlure patxents gxven smokxng cessatxon advxce/counselxng,651,71
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,652,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,653,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,654,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,655,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),656,25
pneumonia,pneumonia patients assessed and given influenza vaccination,657,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,658,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,659,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,660,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),661,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,662,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),663,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,664,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,665,7
heart attack,heart attack patients given aspirin at arrival,666,8
heart attack,heart attack patients given aspirin at discharge,667,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),668,10
heart attack,heart attack patients given smoking cessation advice/counseling,669,11
heart attack,heart attack patients given beta blocker at discharge,670,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,671,13
heart attack,heartxattackxpatientsxgivenxpcixwithinx90xminutesxofxarrival,672,72
heart failure,heart failure patients given discharge instructions,673,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,674,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),675,17
heart failure,heart failure patients given smoking cessation advice/counseling,676,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,677,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,678,22
xneumonia,pneumonia patients given smoking cessation advice/counseling,679,73
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,680,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),681,25
pneumonia,pneumonia patients assessed and given influenza vaccination,682,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,683,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,684,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,685,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),686,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,687,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),688,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,689,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,690,7
heart attack,heart attack patients given aspirin at arrival,691,8
heart attack,heart attack patients given aspirin at discharge,692,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),693,10
heart attack,heart attack patients given smoking cessation advice/counseling,694,11
heart attaxk,heart attack patients given beta blocker at discharge,695,74
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,696,13
heart attack,heart attack patients given pci within 90 minutes of arrival,697,14
hexrt fxilure,heart failure patients given discharge instructions,698,75
